##Options: Namespace(nrepeat=1, nthreads=[-1], sketchsize=['1024', '2048'], k=['21'], fnames='fns.txt')
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	21	1024	8	48	1401.4457879066467	3630.351303577423
Dashing1-bin	21	1024	1	48	504.45746970176697	1417.4210188388824
Dashing1-txt	21	1024	1	48	508.17001247406006	1571.7254230976105
D2OP-bin-8	21	1024	8	48	727.7382662296295	307.4010593891144
D2OP-bin-4	21	1024	4	48	672.3539662361145	509.9973258972168
D2OP-bin-2	21	1024	2	48	675.1948430538177	232.81190514564514
D2OP-bin-1	21	1024	1	48	664.5879244804382	193.9685127735138
D2OP-bin-0.5	21	1024	0.5	48	669.2478437423706	185.07821416854858
D2FSS-bin-8	21	1024	8	48	865.0528697967529	313.52249121665955
D2FSS-bin-4	21	1024	4	48	836.7912285327911	498.11090540885925
D2FSS-bin-2	21	1024	2	48	826.6094479560852	216.40724396705627
D2FSS-bin-1	21	1024	1	48	822.423520565033	194.52293968200684
D2FSS-bin-0.5	21	1024	0.5	48	825.8873643875122	182.59644389152527
D2OP-txt-8	21	1024	8	48	672.0303149223328	1356.810195684433
D2OP-txt-4	21	1024	4	48	623.7856059074402	1399.9756166934967
D2OP-txt-2	21	1024	2	48	1070.7997314929962	1626.4362211227417
D2OP-txt-1	21	1024	1	48	1076.8185379505157	1752.7684268951416
D2OP-txt-0.5	21	1024	0.5	48	1076.7611808776855	1588.2066230773926
D2FSS-txt-8	21	1024	8	48	1224.8520107269287	1470.3289287090302
D2FSS-txt-4	21	1024	4	48	1236.1511449813843	1469.7152514457703
D2FSS-txt-2	21	1024	2	48	1200.252711057663	1524.5771553516388
D2FSS-txt-1	21	1024	1	48	1202.9959871768951	1717.4017300605774
D2FSS-txt-0.5	21	1024	0.5	48	1256.3152167797089	1774.9146463871002
Mash	21	2048	8	48	2590.1661264896393	3798.8220348358154
Dashing1-bin	21	2048	1	48	815.8589019775391	5229.365050792694
Dashing1-txt	21	2048	1	48	787.7532286643982	1846.9964954853058
D2OP-bin-8	21	2048	8	48	956.6307821273804	587.1275198459625
D2OP-bin-4	21	2048	4	48	1041.9753465652466	921.4711182117462
D2OP-bin-2	21	2048	2	48	915.2057683467865	291.4277296066284
D2OP-bin-1	21	2048	1	48	754.1905815601349	232.7778742313385
D2OP-bin-0.5	21	2048	0.5	48	738.4524099826813	216.0988006591797
D2FSS-bin-8	21	2048	8	48	886.2417316436768	584.8450436592102
D2FSS-bin-4	21	2048	4	48	794.8067481517792	873.8047721385956
D2FSS-bin-2	21	2048	2	48	928.5135486125946	300.37440729141235
D2FSS-bin-1	21	2048	1	48	872.0516662597656	241.92291021347046
D2FSS-bin-0.5	21	2048	0.5	48	937.0356681346893	216.23733758926392
D2OP-txt-8	21	2048	8	48	689.9873340129852	1460.162169933319
D2OP-txt-4	21	2048	4	48	615.6809785366058	1469.2857611179352
D2OP-txt-2	21	2048	2	48	707.1944406032562	1588.9629290103912
D2OP-txt-1	21	2048	1	48	698.3882212638855	1609.204698085785
D2OP-txt-0.5	21	2048	0.5	48	679.6000778675079	1575.1907577514648
D2FSS-txt-8	21	2048	8	48	785.9585514068604	1382.6612038612366
D2FSS-txt-4	21	2048	4	48	781.8144173622131	1408.4781460762024
D2FSS-txt-2	21	2048	2	48	805.9939954280853	1473.0299067497253
D2FSS-txt-1	21	2048	1	48	873.7589387893677	1597.2038016319275
D2FSS-txt-0.5	21	2048	0.5	48	837.7616384029388	1676.2813456058502
