##Options: Namespace(nrepeat=1, nthreads=[-1], sketchsize=['1024', '2048', '4096', '32768'], k=['27'], fnames='fns.txt')
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	27	1024	8	48	1382.606132030487	3605.7141201496124
Dashing1-bin	27	1024	1	48	519.4030115604401	1533.036852836609
Dashing1-txt	27	1024	1	48	438.05450105667114	1561.570900440216
D2OP-bin-8	27	1024	8	48	694.1564486026764	324.3151898384094
D2OP-bin-4	27	1024	4	48	653.6698532104492	514.3472023010254
D2OP-bin-2	27	1024	2	48	670.9159390926361	228.17499160766602
D2OP-bin-1	27	1024	1	48	669.1669542789459	199.85353255271912
D2OP-bin-0.5	27	1024	0.5	48	663.3701963424683	191.79981303215027
D2FSS-bin-8	27	1024	8	48	857.3634226322174	323.9010374546051
D2FSS-bin-4	27	1024	4	48	827.3509137630463	497.0509603023529
D2FSS-bin-2	27	1024	2	48	827.6532406806946	219.87468671798706
D2FSS-bin-1	27	1024	1	48	819.0440526008606	193.48309659957886
D2FSS-bin-0.5	27	1024	0.5	48	826.8664798736572	183.19685435295105
D2OP-txt-8	27	1024	8	48	671.3778109550476	1294.048733472824
D2OP-txt-4	27	1024	4	48	686.6001226902008	1323.508183479309
D2OP-txt-2	27	1024	2	48	1148.1845948696136	1575.636463880539
D2OP-txt-1	27	1024	1	48	1126.181198835373	1729.5305857658386
D2OP-txt-0.5	27	1024	0.5	48	1100.9807069301605	1565.5405883789062
D2FSS-txt-8	27	1024	8	48	1246.9769880771637	1439.3573291301727
D2FSS-txt-4	27	1024	4	48	1267.49085521698	1471.3626766204834
D2FSS-txt-2	27	1024	2	48	1198.3230957984924	1493.6163589954376
D2FSS-txt-1	27	1024	1	48	1233.796340227127	1724.8849720954895
D2FSS-txt-0.5	27	1024	0.5	48	1248.5829572677612	1596.6370482444763
Mash	27	2048	8	48	2770.4166910648346	3700.8953096866608
Dashing1-bin	27	2048	1	48	912.1919968128204	2287.440274953842
Dashing1-txt	27	2048	1	48	878.8886222839355	1762.7762548923492
D2OP-bin-8	27	2048	8	48	1119.3230340480804	634.3898975849152
D2OP-bin-4	27	2048	4	48	1093.507227897644	963.0429549217224
D2OP-bin-2	27	2048	2	48	1028.1629807949066	344.1616084575653
D2OP-bin-1	27	2048	1	48	999.1966693401337	230.360209941864
D2OP-bin-0.5	27	2048	0.5	48	945.3169813156128	194.3254110813141
D2FSS-bin-8	27	2048	8	48	869.0319805145264	585.4578218460083
D2FSS-bin-4	27	2048	4	48	863.1196844577789	900.6762244701385
D2FSS-bin-2	27	2048	2	48	929.8238437175751	303.2849614620209
D2FSS-bin-1	27	2048	1	48	907.5993535518646	245.94129490852356
D2FSS-bin-0.5	27	2048	0.5	48	799.2633695602417	200.07203912734985
D2OP-txt-8	27	2048	8	48	675.0146243572235	1350.6916372776031
D2OP-txt-4	27	2048	4	48	734.4857974052429	1363.5717568397522
D2OP-txt-2	27	2048	2	48	709.4214119911194	1520.934359073639
D2OP-txt-1	27	2048	1	48	658.3892276287079	1604.065791606903
D2OP-txt-0.5	27	2048	0.5	48	683.2902009487152	1473.9759330749512
D2FSS-txt-8	27	2048	8	48	814.8129968643188	1349.5877072811127
D2FSS-txt-4	27	2048	4	48	864.4025619029999	1368.6991729736328
D2FSS-txt-2	27	2048	2	48	872.691700220108	1424.5395228862762
D2FSS-txt-1	27	2048	1	48	860.1364953517914	1597.8030679225922
D2FSS-txt-0.5	27	2048	0.5	48	778.0140705108643	1420.2223057746887
Mash	27	4096	8	48	1325.0041120052338	3612.9834582805634
