##Options: Namespace(executable='dashing2', fnames='all_new_fns.txt', k=[31], nrepeat=1, nthreads=[112], only_cssize=None, only_type=None, pmhbbitsigs=False, sketchsize=[512, 1024, 2048, 8192])
##Results for all_new_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Dashing1-bin	31	512	1	112	899.4151870831847	1165.976233497262
Dashing1-txt	31	512	1	112	899.9376508500427	2877.695822348818
D2OP-bin-8	31	512	8	112	1494.1609456483275	1648.4910441040993
D2OP-bin-4	31	512	4	112	1505.5628867559135	987.2079510148615
D2OP-bin-2	31	512	2	112	1491.6564970146865	308.49256090447307
D2OP-bin-1	31	512	1	112	1498.8602020982653	139.19304179400206
D2OP-bin-0.5	31	512	0.5	112	1437.6205850932747	111.92286181077361
D2OP-txt-8	31	512	8	112	1479.4623737931252	2111.655561970547
D2OP-txt-4	31	512	4	112	1642.5498606599867	1239.7248262036592
D2OP-txt-2	31	512	2	112	1455.1061521153897	381.0590075161308
D2OP-txt-1	31	512	1	112	1443.2077512480319	297.72005653195083
D2OP-txt-0.5	31	512	0.5	112	1618.4528581704944	254.62420255504549
D2FSS-bin-8	31	512	8	112	2031.7525602988899	1037.2863778751343
D2FSS-bin-4	31	512	4	112	2036.0468157213181	1060.5197043716908
D2FSS-bin-2	31	512	2	112	1936.048292240128	365.90420454740524
D2FSS-bin-1	31	512	1	112	1786.8618482649326	147.12394429184496
D2FSS-bin-0.5	31	512	0.5	112	1999.6544854938984	120.94181125238538
D2FSS-txt-8	31	512	8	112	1792.8564178775996	1711.9729899317026
D2FSS-txt-4	31	512	4	112	1743.4911360424012	1314.6366140078753
D2FSS-txt-2	31	512	2	112	2111.020993763581	396.0540508106351
D2FSS-txt-1	31	512	1	112	1724.659030199051	285.85475076176226
D2FSS-txt-0.5	31	512	0.5	112	1784.6194216106087	278.39149670116603
Mash	31	512	8	112	2902.20603588596	3685.9698726739734
Bindash-8	31	512	8	112	4692.889075178653	141.01556303538382
Bindash-4	31	512	4	112	4677.909498013556	147.18759278021753
Bindash-2	31	512	2	112	4706.0306297075	148.08679786883295
Bindash-1	31	512	1	112	4693.433251518756	159.43490820005536
Bindash-0.5	31	512	0.5	112	4688.8450474999845	149.84460538439453
PMH-bin-8-500000	31	512	8	112	2592.751050291583	2344.154330322519
PMH-bin-8-2500000	31	512	8	112	3651.4667301997542	653.8142501339316
PMH-bin-4-500000	31	512	4	112	2673.0159705337137	1148.9083589147776
PMH-bin-4-2500000	31	512	4	112	3620.7645325455815	1123.5319157280028
PMH-bin-2-500000	31	512	2	112	2570.212759964168	433.31485973857343
PMH-bin-2-2500000	31	512	2	112	3838.9674945715815	287.6528541445732
PMH-bin-1-500000	31	512	1	112	2656.8359808456153	142.56314573064446
PMH-bin-1-2500000	31	512	1	112	3736.5763024482876	183.93112079426646
PMH-bin-0.5-500000	31	512	0.5	112	2592.2327287439257	111.09877328388393
PMH-bin-0.5-2500000	31	512	0.5	112	3537.4564450588077	118.1162684224546
PMH-txt-8-500000	31	512	8	112	2543.179459385574	1705.8395864628255
PMH-txt-8-2500000	31	512	8	112	3609.6462496649474	1768.3116236869246
PMH-txt-4-500000	31	512	4	112	2558.830728597939	1283.4865753278136
PMH-txt-4-2500000	31	512	4	112	3529.0592687241733	1531.2271593362093
PMH-txt-2-500000	31	512	2	112	2551.754215816036	471.6826103609055
PMH-txt-2-2500000	31	512	2	112	3501.3786523919553	439.38030049577355
PMH-txt-1-500000	31	512	1	112	2528.252077765763	276.56361871398985
PMH-txt-1-2500000	31	512	1	112	3469.0691380165517	302.09919458441436
PMH-txt-0.5-500000	31	512	0.5	112	2550.0812914241105	229.33387313596904
PMH-txt-0.5-2500000	31	512	0.5	112	3519.237194908783	228.5393257588148
Dashing1-bin	31	1024	1	112	890.7813186235726	1558.5628904830664
Dashing1-txt	31	1024	1	112	888.5474751144648	3083.9460028950125
