##Options: Namespace(executable='dashing2', fnames='all_new_fns.txt', k=[31], nrepeat=1, nthreads=[1], only_cssize=None, only_type=None, pmhbbitsigs=False, sketchsize=[512, 1024, 2048])
##Results for all_new_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Dashing1-bin	31	512	1	1	23689.35790885985	6157.621670136228
Dashing1-txt	31	512	1	1	23653.675175791606	6288.508367743343
D2OP-bin-8	31	512	8	1	39746.01904212125	4297.6219036877155
D2OP-bin-4	31	512	4	1	39737.59362431802	6973.834847027436
D2OP-bin-2	31	512	2	1	39516.750695206225	5819.689102688804
D2OP-bin-1	31	512	1	1	39952.489377271384	5499.377641571686
D2OP-bin-0.5	31	512	0.5	1	39306.89131046645	4775.389186361805
D2OP-txt-8	31	512	8	1	39126.512121047825	4473.903905648738
D2OP-txt-4	31	512	4	1	39815.78473050892	6975.792390169576
D2OP-txt-2	31	512	2	1	43841.18542345427	5953.603131799027
D2OP-txt-1	31	512	1	1	44907.43492946401	5539.312354659662
D2OP-txt-0.5	31	512	0.5	1	44034.305191474035	5066.08886641264
D2FSS-bin-8	31	512	8	1	47350.2890292611	4602.854212762788
D2FSS-bin-4	31	512	4	1	46444.234623689204	7036.399079475552
D2FSS-bin-2	31	512	2	1	47055.00020608865	5854.43792582117
D2FSS-bin-1	31	512	1	1	46411.0783634875	5501.911687724292
D2FSS-bin-0.5	31	512	0.5	1	46784.20358365029	5016.282602336258
D2FSS-txt-8	31	512	8	1	46543.265649199486	4415.416490783915
D2FSS-txt-4	31	512	4	1	46366.44263240695	6970.580344159156
D2FSS-txt-2	31	512	2	1	46372.93213248253	5827.762150229886
D2FSS-txt-1	31	512	1	1	47612.68258375302	5546.779978560284
D2FSS-txt-0.5	31	512	0.5	1	52494.38169577904	5486.5757696554065
Mash	31	512	8	1	66560.22288675606	63701.452461890876
Bindash-8	31	512	8	1	110886.2933693789	1296.2690509893
Bindash-4	31	512	4	1	114494.51928287745	1303.8908208664507
Bindash-2	31	512	2	1	112237.6132589411	1298.371430663392
Bindash-1	31	512	1	1	124306.77761480585	1353.5590403880924
Bindash-0.5	31	512	0.5	1	125915.44190507755	1317.9189422335476
