##Options: Namespace(executable='dashing2', fnames='all_new_fns.txt', k=[31], nrepeat=1, nthreads=[8], only_cssize=None, only_type=None, pmhbbitsigs=False, sketchsize=[512, 1024, 2048])
##Results for all_new_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Dashing1-bin	31	512	1	8	3026.7810669932514	964.9430571123958
Dashing1-txt	31	512	1	8	3034.649634649977	2475.593375507742
D2OP-bin-8	31	512	8	8	5238.766700817272	1150.8712021522224
D2OP-bin-4	31	512	4	8	5256.353737944737	1274.33582646586
D2OP-bin-2	31	512	2	8	5142.8206573575735	885.3270646426827
D2OP-bin-1	31	512	1	8	5164.917883250862	792.9154566656798
D2OP-bin-0.5	31	512	0.5	8	5662.459669193253	665.1425777729601
D2OP-txt-8	31	512	8	8	5143.06048486568	1505.44348968938
D2OP-txt-4	31	512	4	8	5074.787595054135	1326.2829515691847
D2OP-txt-2	31	512	2	8	5128.527777865529	907.020004702732
D2OP-txt-1	31	512	1	8	5226.592267442495	869.2693368792534
D2OP-txt-0.5	31	512	0.5	8	5133.052526624873	1221.9683397319168
D2FSS-bin-8	31	512	8	8	6797.382459606975	1206.4991868846118
D2FSS-bin-4	31	512	4	8	6896.04958963953	1223.424656080082
D2FSS-bin-2	31	512	2	8	6937.903088249266	868.1910426411778
D2FSS-bin-1	31	512	1	8	6908.078310236335	787.505706211552
D2FSS-bin-0.5	31	512	0.5	8	6857.054789569229	693.7598208114505
D2FSS-txt-8	31	512	8	8	6846.254283171147	1175.1843493375927
D2FSS-txt-4	31	512	4	8	6947.776233453304	1240.4305933527648
D2FSS-txt-2	31	512	2	8	6746.821826800704	1343.171895235777
D2FSS-txt-1	31	512	1	8	6816.785045236349	859.4254980478436
D2FSS-txt-0.5	31	512	0.5	8	6811.060127155855	780.0048967562616
Mash	31	512	8	8	8381.519481793046	8762.522863630205
Bindash-8	31	512	8	8	15808.839862564579	254.01253231614828
Bindash-4	31	512	4	8	15855.949854515493	251.05279330909252
Bindash-2	31	512	2	8	15996.113251432776	252.86389589868486
Bindash-1	31	512	1	8	15905.58073168993	250.29968236386776
