##Options: Namespace(executable='dashing2', fnames='fns.txt', k=[21, 31], nrepeat=3, nthreads=[112], only_cssize=None, only_type=None, pmhbbitsigs=False, sketchsize=[1024, 2048, 4096])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Bindash-0.5	31	1024	0.5	112	4665.79793728143	226.47218432556838
D2FSS-bin-0.5	31	1024	0.5	112	1978.3600841434672	154.63345061428845
D2FSS-txt-0.5	31	1024	0.5	112	1848.8334171278402	260.3281710408628
D2OP-bin-0.5	31	1024	0.5	112	1407.1890675416216	152.9165992103517
D2OP-txt-0.5	31	1024	0.5	112	1390.5409989003092	276.7537395590916
PMH-bin-0.5-2500000	31	1024	0.5	112	3306.643896301277	188.7622662326321
PMH-bin-0.5-500000	31	1024	0.5	112	2469.968269441277	147.83279203344136
PMH-txt-0.5-2500000	31	1024	0.5	112	3304.818306892179	273.15758485533297
PMH-txt-0.5-500000	31	1024	0.5	112	2456.760880690068	262.85395612195134
Bindash-1	21	1024	1	112	4471.861852884293	243.1548469029367
Bindash-1	31	1024	1	112	4695.295077745803	219.5714293802157
D2FSS-bin-1	31	1024	1	112	1716.3829724434763	516.9171881554648
D2FSS-txt-1	31	1024	1	112	1714.3858244065195	531.8566613905132
D2OP-bin-1	31	1024	1	112	1401.8644991731271	466.707290481776
D2OP-txt-1	31	1024	1	112	1450.5154557712376	549.0668551642448
Dashing1-bin	31	1024	1	112	1116.777137090452	1559.140106040053
Dashing1-txt	31	1024	1	112	864.3072446575388	3014.7324663903564
PMH-bin-1-2500000	31	1024	1	112	3416.567369324155	334.03443501051515
PMH-bin-1-500000	31	1024	1	112	2496.317130582407	391.8787287613377
PMH-txt-1-2500000	31	1024	1	112	3317.967892795801	540.2847860399634
PMH-txt-1-500000	31	1024	1	112	2510.8598939590156	503.73236693721265
Bindash-2	21	1024	2	112	4488.365237844177	248.75824786629528
Bindash-2	31	1024	2	112	4675.9628128753975	220.72111573722214
D2FSS-bin-2	31	1024	2	112	1718.0385307502002	859.2547622937709
D2FSS-txt-2	31	1024	2	112	1806.1047598822042	1234.6292673395947
D2OP-bin-2	31	1024	2	112	1409.025438499637	956.6866542454809
D2OP-txt-2	31	1024	2	112	1400.8452381817624	1382.321327923797
PMH-bin-2-2500000	31	1024	2	112	3334.9641045043245	991.2382552167401
PMH-bin-2-500000	31	1024	2	112	2447.193476429209	1064.465479042381
PMH-txt-2-2500000	31	1024	2	112	3557.807928243652	1313.7173072937876
PMH-txt-2-500000	31	1024	2	112	2517.1897120382637	1269.8602546993643
Bindash-4	21	1024	4	112	4483.673715995625	240.7598122768104
Bindash-4	31	1024	4	112	4815.8720977939665	214.95549139752984
D2FSS-bin-4	31	1024	4	112	1849.3992545045912	1823.6409689895809
