##Options: Namespace(fnames='fns.txt', k=['31'], nrepeat=1, nthreads=['96'], sketchsize=['2048'])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	2048	8	96	2344.4281616210938	3655.7624638080597
Bindash-8	31	2048	8	96	2478.539861679077	300.4240529537201
Bindash-4	31	2048	4	96	2495.066198825836	304.68818521499634
Bindash-2	31	2048	2	96	2463.4132318496704	317.7274913787842
Bindash-1	31	2048	1	96	2545.8046531677246	307.0515537261963
Bindash-0.5	31	2048	0.5	96	2452.2035524845123	308.9824743270874
Dashing1-bin	31	2048	1	96	504.48830103874207	1127.799459695816
Dashing1-txt	31	2048	1	96	496.47263288497925	2902.3378643989563
D2OP-bin-8	31	2048	8	96	756.2259044647217	286.1559052467346
D2OP-bin-4	31	2048	4	96	854.8137152194977	268.176157951355
D2OP-bin-2	31	2048	2	96	992.9351606369019	184.76655173301697
D2OP-bin-1	31	2048	1	96	1103.8008182048798	168.3038101196289
D2OP-bin-0.5	31	2048	0.5	96	860.910551071167	157.8122913837433
D2FSS-bin-8	31	2048	8	96	1001.1608934402466	517.1082084178925
D2FSS-bin-4	31	2048	4	96	1075.997546672821	583.2082006931305
D2FSS-bin-2	31	2048	2	96	1507.0736124515533	265.57893896102905
D2FSS-bin-1	31	2048	1	96	1608.2044360637665	215.933185338974
D2FSS-bin-0.5	31	2048	0.5	96	1733.3471212387085	171.73842000961304
D2OP-txt-8	31	2048	8	96	1654.482705116272	868.4832601547241
D2OP-txt-4	31	2048	4	96	1704.7287640571594	538.1645293235779
D2OP-txt-2	31	2048	2	96	1825.5651226043701	437.2824285030365
D2OP-txt-1	31	2048	1	96	1681.8651959896088	803.7307617664337
D2OP-txt-0.5	31	2048	0.5	96	2018.9449474811554	353.4891974925995
D2FSS-txt-8	31	2048	8	96	992.9924778938293	894.9409878253937
D2FSS-txt-4	31	2048	4	96	994.8757741451263	613.6604330539703
D2FSS-txt-2	31	2048	2	96	990.9172163009644	400.66693687438965
D2FSS-txt-1	31	2048	1	96	2309.7942855358124	355.9583237171173
D2FSS-txt-0.5	31	2048	0.5	96	2399.7518503665924	303.48314690589905
