##Options: Namespace(fnames='fns.txt', k=['31'], nrepeat=2, nthreads=['268'], sketchsize=['8192'])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	8192	8	268	3826.819281445816	2645.020901426673
PMH-bin-8-2500000	31	8192	8	268	4180.558987874538	2687.2482277248055
PMH-bin-8-10000000	31	8192	8	268	4481.445967040956	2697.7369314283133
PMH-bin-4-500000	31	8192	4	268	3847.9353265576065	1391.1893427111208
PMH-bin-4-2500000	31	8192	4	268	4205.304656503722	1415.9471201915294
PMH-bin-4-10000000	31	8192	4	268	4534.150172831491	1427.1568315550685
PMH-bin-2-500000	31	8192	2	268	3836.284714013338	591.498007632792
PMH-bin-2-2500000	31	8192	2	268	4159.248768430203	609.1215738542378
PMH-bin-2-10000000	31	8192	2	268	4493.651320453733	820.2817000560462
PMH-bin-1-500000	31	8192	1	268	3831.3968551009893	539.9721693694592
PMH-bin-1-2500000	31	8192	1	268	4255.116547059268	651.4734391439706
PMH-bin-1-10000000	31	8192	1	268	4523.4890687689185	574.5937441829592
PMH-bin-0.5-500000	31	8192	0.5	268	3845.5335457269102	512.8083274196833
PMH-bin-0.5-2500000	31	8192	0.5	268	4219.705375773832	510.6951859090477
PMH-bin-0.5-10000000	31	8192	0.5	268	4756.05165005289	530.0175811648369
