##Results for fns.txt = 118467 genomes
#Experiments performed on KNL node with 68 threads with quadruple hyperthreading enabled, with a total of 272 threads in use
#Tool	k	sketchsize	bytes_per_reg	num_threads	sketch_time	dist_time
Mash	31	2048	8	268	6295.481323104352	19166.997629551217
Bindash-8	31	2048	8	268	5660.859351905063	1054.2305486053228
Bindash-4	31	2048	4	268	5703.1284184698015	1063.54305514507
Bindash-2	31	2048	2	268	5664.770842030644	1070.8967061378062
Bindash-1	31	2048	1	268	5696.217394322157	1073.9497730694711
Bindash-0.5	31	2048	0.5	268	5699.077117327601	1079.747132634744
Dashing1-bin	31	2048	1	268	2790.6429386101663	8641.43740939349
Dashing1-txt	31	2048	1	268	1521.2997080162168	9724.601839551702
D2OP-bin-8	31	2048	8	268	2341.8762571252882	310.4081019293517
D2OP-bin-4	31	2048	4	268	626.0684135388583	29.491922849789262
D2OP-bin-2	31	2048	2	268	623.8120589461178	23.762958507984877
D2OP-bin-1	31	2048	1	268	621.4411140233278	23.556741677224636
Mash	31	32768	8	268	2076.3190761208534	5857.007549541071
Bindash-8	31	32768	8	268	2101.507548123598	369.5786511916667
Bindash-4	31	32768	4	268	2143.1276316680014	376.40749387070537
Bindash-2	31	32768	2	268	2124.408860988915	373.10522470623255
Bindash-1	31	32768	1	268	2102.376111095771	375.63850558921695
Bindash-0.5	31	32768	0.5	268	2120.8727225400507	376.425719531253
Dashing1-bin	31	32768	1	268	404.1141399573535	4791.87489913404
Dashing1-txt	31	32768	1	268	433.19173622876406	795.0316271260381
D2OP-bin-8	31	32768	8	268	806.9387109894305	1950.9671663604677
D2OP-bin-4	31	32768	4	268	813.576577404514	775.5680850669742
D2OP-bin-2	31	32768	2	268	797.4169223494828	234.79758362658322
D2OP-bin-1	31	32768	1	268	808.1046842895448	116.32460322603583
D2OP-bin-0.5	31	32768	0.5	268	780.3698153849691	104.71760390512645
D2FSS-bin-8	31	32768	8	268	929.4720172155648	1943.1344278622419
D2FSS-bin-4	31	32768	4	268	948.4697717670351	775.1604370567948
D2FSS-bin-2	31	32768	2	268	997.347667414695	231.80065561458468
D2FSS-bin-1	31	32768	1	268	940.6173864323646	115.2010361328721
D2FSS-bin-0.5	31	32768	0.5	268	954.8821531217545	106.29060189425945
Mash	31	4096	8	268	6314.065512765199	26441.935831820592
Bindash-8	31	4096	8	268	5733.4826218206435	1593.007806899026
Bindash-4	31	4096	4	268	5776.906318077818	1608.68482763879
Bindash-2	31	4096	2	268	5747.166541812941	1616.4187499396503
Bindash-1	31	4096	1	268	5764.464098419994	1618.5983777549118
Bindash-0.5	31	4096	0.5	268	5734.610214062035	1623.0795582979918
Dashing1-bin	31	4096	1	268	1532.9933444913477	15088.420357303694
Dashing1-txt	31	4096	1	268	393.65153464861214	590.9545665569603
D2OP-bin-8	31	4096	8	268	623.3566095419228	53.85656553506851
D2OP-bin-4	31	4096	4	268	639.5303088054061	41.95002302341163
D2OP-bin-2	31	4096	2	268	642.8931581005454	28.375062320381403
D2OP-bin-1	31	4096	1	268	641.722946671769	26.076716855168343
D2OP-bin-0.5	31	4096	0.5	268	637.7878826484084	31.96216130256653
D2FSS-bin-8	31	4096	8	268	644.1196487098932	53.85512815415859
D2FSS-bin-4	31	4096	4	268	691.9551434703171	41.20297946408391
D2FSS-bin-2	31	4096	2	268	644.2345390021801	28.239816876128316
D2FSS-bin-1	31	4096	1	268	732.5387301705778	25.933518700301647
D2FSS-bin-0.5	31	4096	0.5	268	621.7788344882429	31.341536473482847
PMH-bin-8-500000	31	1024	8	268	3577.639024699107	260.7569549102336
PMH-bin-8-2500000	31	1024	8	268	4009.538325883448	241.06122155115008
PMH-bin-8-10000000	31	1024	8	268	4336.832992980257	245.60662676766515
PMH-bin-4-500000	31	1024	4	268	3660.316428165883	413.43284633010626
PMH-bin-4-2500000	31	1024	4	268	3993.3977234307677	427.83423947915435
PMH-bin-4-10000000	31	1024	4	268	4316.494586804882	415.31920260190964
PMH-bin-2-500000	31	1024	2	268	3661.329789409414	379.3100201431662
