##Options: Namespace(fnames='fns.txt', k=[31], nrepeat=2, nthreads=[96], sketchsize=[2048])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	2048	8	96	2350.2489522648975	5063.4335841862485
Bindash-8	31	2048	8	96	2494.670150739141	294.68497750815004
Bindash-4	31	2048	4	96	2487.342603556812	306.50941668171436
Bindash-2	31	2048	2	96	2440.251578146592	308.8772746762261
Bindash-1	31	2048	1	96	2424.775994163938	300.0452658170834
Bindash-0.5	31	2048	0.5	96	2452.971939381212	299.21544819604605
Dashing1-bin	31	2048	1	96	504.93009521998465	1117.2248442061245
Dashing1-txt	31	2048	1	96	614.9891619943082	2965.4970457348973
D2OP-bin-8	31	2048	8	96	813.5118451444432	300.3899114066735
D2OP-bin-4	31	2048	4	96	974.4936934718862	347.8722590887919
D2OP-bin-2	31	2048	2	96	1171.7845109673217	262.1078716032207
D2OP-bin-1	31	2048	1	96	1425.7770860353485	199.44991847500205
D2OP-bin-0.5	31	2048	0.5	96	1605.0295863002539	164.00276619195938
D2FSS-bin-8	31	2048	8	96	1975.010062164627	714.4937367280945
D2FSS-bin-4	31	2048	4	96	2197.872291754	532.8832837920636
D2FSS-bin-2	31	2048	2	96	2344.895329615101	267.09705514553934
D2FSS-bin-1	31	2048	1	96	2504.5268836747855	194.15251175127923
D2FSS-bin-0.5	31	2048	0.5	96	2661.7290529487655	159.65559511631727
D2OP-txt-8	31	2048	8	96	2612.9269361970946	865.4295666022226
D2OP-txt-4	31	2048	4	96	2727.0890650162473	637.8125092266127
D2OP-txt-2	31	2048	2	96	2916.4373266110197	371.30262515693903
D2OP-txt-1	31	2048	1	96	3042.475167086348	855.2563798390329
D2OP-txt-0.5	31	2048	0.5	96	2009.7666756184772	377.41672691423446
D2FSS-txt-8	31	2048	8	96	2516.6150697888806	1890.3913748208433
D2FSS-txt-4	31	2048	4	96	2992.0664066011086	605.7892613718286
D2FSS-txt-2	31	2048	2	96	2789.5594739811495	780.6182480044663
D2FSS-txt-1	31	2048	1	96	1724.8087307941169	349.20256375335157
D2FSS-txt-0.5	31	2048	0.5	96	1055.4377717385069	281.17259072791785
