##Options: Namespace(fnames='fns.txt', k=['31'], nrepeat=3, nthreads=['96'], sketchsize=['512'])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	512	8	96	1567.3136046063155	101.16220486722887
PMH-bin-8-2500000	31	512	8	96	2352.709416879341	102.28765383549035
PMH-bin-8-10000000	31	512	8	96	2760.8679069317877	189.6135355308652
PMH-bin-4-500000	31	512	4	96	1699.92815409787	242.08594541996717
PMH-bin-4-2500000	31	512	4	96	2678.5910337530077	255.8243086580187
PMH-bin-4-10000000	31	512	4	96	3282.8774095214903	267.36230190098286
PMH-bin-2-500000	31	512	2	96	2071.98051074706	237.71649445593357
PMH-bin-2-2500000	31	512	2	96	2930.498738663271	242.35038576833904
PMH-bin-2-10000000	31	512	2	96	3284.5318113397807	257.0429441332817
PMH-bin-1-500000	31	512	1	96	1571.8571175076067	304.05501128546894
PMH-bin-1-2500000	31	512	1	96	2974.119488194585	253.35173019953072
PMH-bin-1-10000000	31	512	1	96	3208.3696482349187	256.5338809732348
PMH-bin-0.5-500000	31	512	0.5	96	2227.197390437126	245.32793680951
PMH-bin-0.5-2500000	31	512	0.5	96	2302.350754134357	242.52473817951977
PMH-bin-0.5-10000000	31	512	0.5	96	2699.2784999012947	238.57232828065753
PMH-txt-8-500000	31	512	8	96	1591.9532391503453	226.3535299822688
PMH-txt-8-2500000	31	512	8	96	2303.04087966308	217.8887731283903
PMH-txt-8-10000000	31	512	8	96	3389.897255854681	218.0407721605152
PMH-txt-4-500000	31	512	4	96	2689.5262125357985	343.4905445612967
PMH-txt-4-2500000	31	512	4	96	2303.928980961442	347.2699205726385
