##Options: Namespace(executable='dashing2', fnames='sampled_fns.txt', k=[31], nrepeat=3, nthreads=[96], only_cssize=[2500000], only_type='pmh', pmhbbitsigs=False, sketchsize=[1024])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-2500000	31	16384	8	96	672.1192234419286	194.82709421217442
PMH-bin-4-2500000	31	16384	4	96	606.4319286495447	78.32776546105742
PMH-bin-2-2500000	31	16384	2	96	664.5229481048882	29.699251491576433
PMH-bin-1-2500000	31	16384	1	96	583.5112460963428	35.13604735583067
PMH-bin-0.5-2500000	31	16384	0.5	96	641.8818561173975	14.064499322324991
PMH-txt-8-2500000	31	16384	8	96	606.3259505778551	184.56434416025877
PMH-txt-4-2500000	31	16384	4	96	651.894066143781	79.90388957038522
PMH-txt-2-2500000	31	16384	2	96	646.6834824681282	38.18046027049422
PMH-txt-1-2500000	31	16384	1	96	621.9994563274086	28.198452297598124
PMH-txt-0.5-2500000	31	16384	0.5	96	649.0907830558717	26.65493220463395
PMH-bin-8-2500000	31	2048	8	96	460.6465507335961	16.46722985804081
PMH-bin-4-2500000	31	2048	4	96	480.82499551028013	17.541267417371273
PMH-bin-2-2500000	31	2048	2	96	478.66554314270616	14.080710411071777
PMH-bin-1-2500000	31	2048	1	96	491.4636540040374	14.356267608702183
PMH-bin-0.5-2500000	31	2048	0.5	96	517.2199907191098	18.973130259662867
PMH-txt-8-2500000	31	2048	8	96	525.4827234558761	20.444964423775673
PMH-txt-4-2500000	31	2048	4	96	450.4250630065799	24.349544893950224
PMH-txt-2-2500000	31	2048	2	96	446.98389406874776	22.461349841207266
PMH-txt-1-2500000	31	2048	1	96	447.39649929106236	25.85735333710909
PMH-txt-0.5-2500000	31	2048	0.5	96	489.4668692946434	23.638607785105705
PMH-bin-8-2500000	31	256	8	96	670.3018984384835	5.465687917545438
PMH-bin-4-2500000	31	256	4	96	612.5017033796757	14.341680215671659
PMH-bin-2-2500000	31	256	2	96	708.9920467361808	14.965417681261897
PMH-bin-1-2500000	31	256	1	96	631.930439254269	13.998732309788465
PMH-bin-0.5-2500000	31	256	0.5	96	612.6682787314057	23.88295224122703
PMH-txt-8-2500000	31	256	8	96	670.1168979518116	12.337330866605043
PMH-txt-4-2500000	31	256	4	96	646.269401723519	18.17411688156426
PMH-txt-2-2500000	31	256	2	96	647.528658028692	21.291162997484207
PMH-txt-1-2500000	31	256	1	96	745.7374878469855	26.014089876785874
PMH-txt-0.5-2500000	31	256	0.5	96	699.9223930705339	22.573876783251762
PMH-txt-4-2500000	31	32768	4	96	729.3360068164766	207.2515700533986
PMH-txt-2-2500000	31	32768	2	96	766.8385884948075	68.95107612758875
PMH-txt-1-2500000	31	32768	1	96	754.6608037240803	42.482203625142574
PMH-txt-0.5-2500000	31	32768	0.5	96	722.7608105577528	32.13218307495117
PMH-bin-8-2500000	31	4096	8	96	619.3002577349544	24.387800488620996
PMH-bin-4-2500000	31	4096	4	96	626.2363797239959	25.58310855925083
PMH-bin-2-2500000	31	4096	2	96	570.7413019575179	12.14717661589384
PMH-bin-1-2500000	31	4096	1	96	645.9451046101749	9.328164465725422
PMH-bin-0.5-2500000	31	4096	0.5	96	651.258472494781	8.363309774547815
PMH-txt-8-2500000	31	4096	8	96	655.4089515134692	30.252779249101877
PMH-txt-4-2500000	31	4096	4	96	538.3216771073639	30.18381481990218
PMH-txt-2-2500000	31	4096	2	96	612.3318743221462	21.633825611323118
PMH-txt-1-2500000	31	4096	1	96	450.8559831865132	19.999838437885046
PMH-txt-0.5-2500000	31	4096	0.5	96	452.30581333115697	20.990843057632446
PMH-bin-8-2500000	31	8192	8	96	808.2859144434333	190.34245546162128
PMH-bin-4-2500000	31	8192	4	96	598.7478075884283	110.48190070688725
PMH-bin-2-2500000	31	8192	2	96	603.8295746780932	37.14379705116153
PMH-bin-1-2500000	31	8192	1	96	642.3119218945503	33.845021672546864
PMH-bin-0.5-2500000	31	8192	0.5	96	606.5226786695421	18.6462527140975
PMH-txt-8-2500000	31	8192	8	96	703.6573836021125	208.3639236986637
PMH-txt-4-2500000	31	8192	4	96	608.6219205521047	119.23955081775784
PMH-bin-8-5000000	31	1024	8	96	495.4152347240597	12.887101283296943
PMH-bin-4-5000000	31	1024	4	96	499.6435266826302	14.064105892553926
PMH-bin-2-5000000	31	1024	2	96	509.4379596672952	15.828113386407495
PMH-bin-1-5000000	31	1024	1	96	508.3645654749125	18.814644606783986
PMH-bin-0.5-5000000	31	1024	0.5	96	494.85767306014895	13.742808787152171
PMH-txt-8-5000000	31	1024	8	96	495.0712007265538	16.4625622946769
PMH-txt-4-5000000	31	1024	4	96	492.81082952581346	20.039877930656075
PMH-txt-2-5000000	31	1024	2	96	492.87068696692586	19.560405608266592
PMH-txt-1-5000000	31	1024	1	96	497.2129884082824	24.954409455880523
PMH-txt-0.5-5000000	31	1024	0.5	96	478.50654308870435	25.417447371408343
PMH-bin-8-5000000	31	16384	8	96	718.2306943498552	419.14098554477096
PMH-bin-4-5000000	31	16384	4	96	750.5897393301129	69.8851140961051
PMH-bin-2-5000000	31	16384	2	96	702.1120148785412	33.926713932305574
PMH-bin-1-5000000	31	16384	1	96	717.2623826749623	27.885743342339993
PMH-bin-0.5-5000000	31	16384	0.5	96	704.0851461477578	21.71145821362734
PMH-txt-8-5000000	31	16384	8	96	717.8734796606004	1429.9314960688353
PMH-txt-4-5000000	31	16384	4	96	890.1379623152316	73.64809393510222
PMH-txt-2-5000000	31	16384	2	96	809.3434025868773	46.91787392646074
PMH-txt-1-5000000	31	16384	1	96	838.8820487819612	44.307682029902935
PMH-txt-0.5-5000000	31	16384	0.5	96	671.6716860681772	34.19561593607068
PMH-bin-8-5000000	31	2048	8	96	612.0337511263788	48.39581752568483
PMH-bin-4-5000000	31	2048	4	96	607.1802215315402	31.97664324566722
PMH-bin-2-5000000	31	2048	2	96	590.1408923119307	19.03673703223467
PMH-bin-1-5000000	31	2048	1	96	608.4773350097239	11.39292212203145
PMH-bin-0.5-5000000	31	2048	0.5	96	589.0990426465869	10.630016189068556
PMH-txt-8-5000000	31	2048	8	96	601.5568150617182	53.353825606405735
PMH-txt-4-5000000	31	2048	4	96	596.362261660397	40.788517855107784
PMH-txt-2-5000000	31	2048	2	96	622.554742962122	25.325355235487223
PMH-txt-1-5000000	31	2048	1	96	608.3063231557608	22.891518834978342
PMH-txt-0.5-5000000	31	2048	0.5	96	628.4509131833911	18.89928535744548
PMH-bin-8-5000000	31	256	8	96	483.5876917503774	165.53240685909986
PMH-bin-4-5000000	31	256	4	96	474.52905796840787	166.761124137789
PMH-bin-2-5000000	31	256	2	96	472.7997788116336	60.66377557069063
PMH-bin-1-5000000	31	256	1	96	479.03410904482007	236.5912472270429
PMH-bin-0.5-5000000	31	256	0.5	96	491.91164312139153	8.66270636022091
PMH-txt-8-5000000	31	256	8	96	497.1719482727349	14.736610013991594
PMH-txt-4-5000000	31	256	4	96	486.20783857628703	14.433277033269405
PMH-txt-2-5000000	31	256	2	96	487.8202367313206	34.36167565360665
PMH-txt-1-5000000	31	256	1	96	491.3674159385264	15.550783392041922
PMH-txt-0.5-5000000	31	256	0.5	96	499.78561291098595	19.320635858923197
PMH-bin-8-5000000	31	32768	8	96	765.6941290087998	644.9660247564316
PMH-bin-4-5000000	31	32768	4	96	782.6195135675371	220.11042556911707
PMH-bin-2-5000000	31	32768	2	96	754.8999813124537	73.73560405522585
PMH-bin-1-5000000	31	32768	1	96	781.5539151057601	34.974470064044
PMH-bin-0.5-5000000	31	32768	0.5	96	774.2179554440081	26.727881349623203
PMH-txt-8-5000000	31	32768	8	96	805.9536374248564	644.4589742869139
PMH-txt-4-5000000	31	32768	4	96	785.8955444730818	209.20160128176212
PMH-txt-2-5000000	31	32768	2	96	816.5599500052631	66.74488302320242
PMH-txt-1-5000000	31	32768	1	96	793.6770039498806	42.227260522544384
PMH-txt-0.5-5000000	31	32768	0.5	96	781.933542933315	33.24458955600858
PMH-txt-2-5000000	31	4096	2	96	511.444065798074	49.55474203452468
PMH-txt-1-5000000	31	4096	1	96	498.99592227116227	19.683181926608086
PMH-txt-0.5-5000000	31	4096	0.5	96	502.77029426023364	16.70538503676653
PMH-bin-8-5000000	31	512	8	96	472.6895208414644	11.358490034937859
PMH-bin-4-5000000	31	512	4	96	473.1046055648476	13.528103448450565
PMH-bin-2-5000000	31	512	2	96	479.54117762856185	13.674595987424254
PMH-bin-1-5000000	31	512	1	96	483.7913547810167	15.77046279236674
PMH-bin-0.5-5000000	31	512	0.5	96	486.8691520001739	14.7845819592475
PMH-txt-8-5000000	31	512	8	96	501.59847389534116	12.3280282095074
PMH-txt-4-5000000	31	512	4	96	492.0137342400849	22.8415348362177
PMH-txt-2-5000000	31	512	2	96	484.15326763130724	22.6564577091485
PMH-txt-1-5000000	31	512	1	96	546.742828540504	25.77983289770782
PMH-txt-0.5-5000000	31	512	0.5	96	506.9756871126592	26.751430608332157
Bindash-8	31	1024	8	96	545.7767201215029	11.399204291403294
Bindash-4	31	1024	4	96	550.7329966388643	10.716006863862276
Bindash-2	31	1024	2	96	545.2879683375359	10.864940110594034
Bindash-1	31	1024	1	96	547.3961872495711	10.886387161910534
Bindash-0.5	31	1024	0.5	96	547.0466071590781	11.189939718693495
Bindash-8	31	16384	8	96	574.8366438895464	88.28840012475848
Bindash-4	31	16384	4	96	574.6923701763153	84.89234581589699
Bindash-2	31	16384	2	96	571.1164375469089	87.05546704679728
Bindash-1	31	16384	1	96	575.2884892299771	90.41841027140617
Bindash-0.5	31	16384	0.5	96	573.0157118886709	90.41561492532492
Bindash-8	31	2048	8	96	553.9116067886353	15.32110721245408
Bindash-4	31	2048	4	96	543.0242023058236	14.568761207163334
Bindash-2	31	2048	2	96	539.0473222546279	15.88518076390028
Bindash-1	31	2048	1	96	557.8748112656176	15.089334357529879
Bindash-0.5	31	2048	0.5	96	549.0366413109004	16.197154734283686
Bindash-8	31	256	8	96	550.1265355683863	6.64515533298254
Bindash-4	31	256	4	96	541.4140499718487	7.090417098253965
Bindash-2	31	256	2	96	537.7799184732139	6.742496874183416
