##Options: Namespace(fnames='fns.txt', k=['31'], nrepeat=1, nthreads=['96'], sketchsize=['16384'])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	16384	8	96	2320.2032108306885	3426.278284549713
Bindash-8	31	16384	8	96	2538.0085215568542	1897.2823991775513
Bindash-4	31	16384	4	96	2558.313915014267	1913.7667133808136
Bindash-2	31	16384	2	96	2585.8414709568024	1854.4438514709473
Bindash-1	31	16384	1	96	2516.437036514282	1855.6708691120148
Bindash-0.5	31	16384	0.5	96	2582.899445772171	1899.0984816551208
Dashing1-bin	31	16384	1	96	506.01491141319275	4821.413454294205
Dashing1-txt	31	16384	1	96	508.0712697505951	3824.374433040619
D2OP-bin-8	31	16384	8	96	767.6068997383118	4316.269551753998
D2OP-bin-4	31	16384	4	96	881.4165346622467	1953.0924818515778
D2OP-bin-2	31	16384	2	96	999.8049559593201	617.5578067302704
D2OP-bin-1	31	16384	1	96	1635.3791279792786	476.0161859989166
D2OP-bin-0.5	31	16384	0.5	96	1208.9666023254395	320.5841886997223
D2FSS-bin-8	31	16384	8	96	1423.9956014156342	13478.449417591095
D2FSS-bin-4	31	16384	4	96	2040.6808750629425	23954.52136683464
D2FSS-bin-2	31	16384	2	96	2165.8446140289307	14539.498895406723
D2FSS-bin-1	31	16384	1	96	2292.304746866226	859.7935633659363
D2FSS-bin-0.5	31	16384	0.5	96	2356.498251914978	930.3859477043152
D2OP-txt-8	31	16384	8	96	1894.004759311676	33937.41648435593
