##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=1, nthreads=['96'], sketchsize=['2048'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	2048	8	96	549.4489181041718	159.1997892856598
Bindash-8	31	2048	8	96	555.8490283489227	13.430156707763672
Bindash-4	31	2048	4	96	547.1982731819153	13.498682975769043
Bindash-2	31	2048	2	96	540.5742268562317	13.536390542984009
Bindash-1	31	2048	1	96	552.9795913696289	13.57323956489563
Bindash-0.5	31	2048	0.5	96	564.1118040084839	13.498755931854248
Dashing1-bin	31	2048	1	96	105.0378086566925	70.16524291038513
Dashing1-txt	31	2048	1	96	102.97987341880798	220.47744035720825
D2OP-bin-8	31	2048	8	96	158.06799745559692	18.723922729492188
D2OP-bin-4	31	2048	4	96	159.1242527961731	17.284714460372925
D2OP-bin-2	31	2048	2	96	159.7285656929016	13.598668098449707
D2OP-bin-1	31	2048	1	96	162.48184251785278	12.566581964492798
D2OP-bin-0.5	31	2048	0.5	96	155.88851714134216	13.166684627532959
D2FSS-bin-8	31	2048	8	96	321.792845249176	17.995378017425537
D2FSS-bin-4	31	2048	4	96	310.1214191913605	18.278890371322632
D2FSS-bin-2	31	2048	2	96	266.32844710350037	12.733089923858643
D2FSS-bin-1	31	2048	1	96	277.18594670295715	12.553049802780151
D2FSS-bin-0.5	31	2048	0.5	96	274.8047466278076	14.682029485702515
D2OP-txt-8	31	2048	8	96	156.0781433582306	24.688974618911743
D2OP-txt-4	31	2048	4	96	158.41224002838135	25.377172231674194
D2OP-txt-2	31	2048	2	96	157.80042243003845	24.319406032562256
D2OP-txt-1	31	2048	1	96	161.2385425567627	22.757795572280884
D2OP-txt-0.5	31	2048	0.5	96	160.4689383506775	20.772093534469604
D2FSS-txt-8	31	2048	8	96	280.92525458335876	23.819944858551025
D2FSS-txt-4	31	2048	4	96	255.15995693206787	23.482203245162964
D2FSS-txt-2	31	2048	2	96	260.76872062683105	23.07174777984619
D2FSS-txt-1	31	2048	1	96	293.9587733745575	22.07199263572693
D2FSS-txt-0.5	31	2048	0.5	96	270.7882788181305	19.595503568649292
