##Options: Namespace(fnames='fns.txt', k=['31'], nrepeat=1, nthreads=['96'], sketchsize=['8192'])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	8192	8	96	2333.6369490623474	3438.025661945343
Bindash-8	31	8192	8	96	2460.162055492401	1002.1301012039185
Bindash-4	31	8192	4	96	2472.125541448593	992.8971543312073
Bindash-2	31	8192	2	96	2544.9766688346863	964.184023141861
Bindash-1	31	8192	1	96	2509.8573808670044	994.2777810096741
Bindash-0.5	31	8192	0.5	96	2464.2941451072693	1011.9452719688416
Dashing1-bin	31	8192	1	96	532.1380507946014	2767.267087697983
Dashing1-txt	31	8192	1	96	497.2441165447235	3223.26696062088
D2OP-bin-8	31	8192	8	96	766.2536075115204	1195.8942987918854
D2OP-bin-4	31	8192	4	96	851.1098251342773	789.3688156604767
D2OP-bin-2	31	8192	2	96	739.6440906524658	404.5675435066223
D2OP-bin-1	31	8192	1	96	738.2987310886383	283.5976011753082
D2OP-bin-0.5	31	8192	0.5	96	748.2576396465302	219.13897252082825
D2FSS-bin-8	31	8192	8	96	1188.5059280395508	1341.2526886463165
D2FSS-bin-4	31	8192	4	96	1168.1964588165283	15348.559306621552
D2FSS-bin-2	31	8192	2	96	1419.8630304336548	1483.8092036247253
D2FSS-bin-1	31	8192	1	96	1538.8461799621582	568.1264111995697
D2FSS-bin-0.5	31	8192	0.5	96	1685.7036263942719	350.36888217926025
D2OP-txt-8	31	8192	8	96	1399.9258489608765	19028.856912851334
D2OP-txt-4	31	8192	4	96	1541.734939813614	10451.64001584053
D2OP-txt-2	31	8192	2	96	1685.0655348300934	585.6109347343445
D2OP-txt-1	31	8192	1	96	1720.502696275711	775.0319037437439
D2OP-txt-0.5	31	8192	0.5	96	1781.0923147201538	516.4384617805481
D2FSS-txt-8	31	8192	8	96	2473.9810400009155	9498.83255147934
D2FSS-txt-4	31	8192	4	96	2337.071547985077	11273.307217121124
D2FSS-txt-2	31	8192	2	96	2456.942925453186	1974.9082040786743
D2FSS-txt-1	31	8192	1	96	2530.51606631279	672.4820122718811
D2FSS-txt-0.5	31	8192	0.5	96	2629.84877204895	551.2257702350616
