##Options: Namespace(fnames='fns.txt', k=['31'], nrepeat=2, nthreads=['268'], sketchsize=['4096'])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	4096	8	268	3697.719643285498	885.2097798548639
PMH-bin-8-2500000	31	4096	8	268	4047.8474701102823	865.7861065668985
PMH-bin-8-10000000	31	4096	8	268	4407.118678295985	873.1136484565213
PMH-bin-4-500000	31	4096	4	268	3696.772280004807	628.4642595686018
PMH-bin-4-2500000	31	4096	4	268	4079.4389680549502	845.9997164839879
PMH-bin-4-10000000	31	4096	4	268	4420.777540508658	745.9659031415358
PMH-bin-2-500000	31	4096	2	268	3714.5681953951716	451.3624594081193
PMH-bin-2-2500000	31	4096	2	268	4086.623903387226	473.62840118072927
PMH-bin-2-10000000	31	4096	2	268	4400.524368041195	537.3759485119954
PMH-bin-1-500000	31	4096	1	268	3715.9086840916425	486.7195019479841
PMH-bin-1-2500000	31	4096	1	268	4076.745251085609	675.4111549248919
PMH-bin-1-10000000	31	4096	1	268	4465.685792832635	489.6954846289009
PMH-bin-0.5-500000	31	4096	0.5	268	3724.7208645595238	453.1846603564918
PMH-bin-0.5-2500000	31	4096	0.5	268	4077.383506433107	458.00024506263435
PMH-bin-0.5-10000000	31	4096	0.5	268	4376.219202240929	464.8034093249589
