##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=3, nthreads=['96'], sketchsize=['8192'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	8192	8	96	333.23531068116426	52.79856748506427
PMH-bin-8-2500000	31	8192	8	96	468.07191954925656	53.554076325148344
PMH-bin-8-10000000	31	8192	8	96	543.6519172377884	58.02611096948385
PMH-bin-4-500000	31	8192	4	96	333.28142534941435	38.330058723688126
PMH-bin-4-2500000	31	8192	4	96	468.81004935875535	36.774486254900694
PMH-bin-4-10000000	31	8192	4	96	543.65032864362	39.080007553100586
PMH-bin-2-500000	31	8192	2	96	332.0680996477604	20.544161327183247
PMH-bin-2-2500000	31	8192	2	96	479.819672357291	20.62796137854457
PMH-bin-2-10000000	31	8192	2	96	555.7921724021435	21.25437866151333
PMH-bin-1-500000	31	8192	1	96	341.69115279614925	16.647645957767963
PMH-bin-1-2500000	31	8192	1	96	468.1529873535037	18.1156632527709
PMH-bin-1-10000000	31	8192	1	96	569.0635543316603	17.75424813479185
PMH-bin-0.5-500000	31	8192	0.5	96	338.7315335534513	14.690590746700764
PMH-bin-0.5-2500000	31	8192	0.5	96	480.13970320671797	15.815596714615822
PMH-bin-0.5-10000000	31	8192	0.5	96	570.1061796210706	16.316547609865665
PMH-txt-8-500000	31	8192	8	96	343.07927824929357	68.5760240405798
PMH-txt-8-2500000	31	8192	8	96	484.05317871272564	57.212568670511246
PMH-txt-8-10000000	31	8192	8	96	552.1198396757245	55.32745033875108
PMH-txt-4-500000	31	8192	4	96	352.0256571546197	45.0498510338366
PMH-txt-4-2500000	31	8192	4	96	478.0885001271963	44.76512821018696
PMH-txt-4-10000000	31	8192	4	96	565.8611966967583	45.20098365098238
PMH-txt-2-500000	31	8192	2	96	345.2724990993738	28.393122658133507
PMH-txt-2-2500000	31	8192	2	96	483.15086440742016	55.28576884791255
PMH-txt-2-10000000	31	8192	2	96	567.5339923128486	29.823207393288612
PMH-txt-1-500000	31	8192	1	96	350.1184126138687	52.81200570240617
PMH-txt-1-2500000	31	8192	1	96	478.8268327303231	29.037601869553328
PMH-txt-1-10000000	31	8192	1	96	567.8503674939275	153.26362636312842
PMH-txt-0.5-500000	31	8192	0.5	96	493.45667858049273	25.78733491525054
PMH-txt-0.5-2500000	31	8192	0.5	96	486.1149136647582	24.822958040982485
PMH-txt-0.5-10000000	31	8192	0.5	96	577.1576125361025	25.53456725925207
