##Options: Namespace(fnames='fns.txt', k=[31], nrepeat=2, nthreads=[96], sketchsize=[1024])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	1024	8	96	2279.2951378505677	3600.2530635483563
Bindash-8	31	1024	8	96	2467.784151274711	211.83472321927547
Bindash-4	31	1024	4	96	2480.0642285291106	206.75088578090072
Bindash-2	31	1024	2	96	2466.4505924209952	209.73455735854805
Bindash-1	31	1024	1	96	2415.09613693133	206.97231160663068
Bindash-0.5	31	1024	0.5	96	2432.036835471168	213.09728821739554
Dashing1-bin	31	1024	1	96	1255.708958843723	758.6138364020735
Dashing1-txt	31	1024	1	96	489.09878199175	2884.7741670478135
D2OP-bin-8	31	1024	8	96	785.4444420598447	159.03514670580626
D2OP-bin-4	31	1024	4	96	932.7318843733519	182.70561332069337
D2OP-bin-2	31	1024	2	96	1131.1781711224467	182.01923581399024
D2OP-bin-1	31	1024	1	96	1330.6705434769392	160.222054021433
D2OP-bin-0.5	31	1024	0.5	96	1511.2729900944978	140.81778188981116
D2FSS-bin-8	31	1024	8	96	1930.814604561776	348.7857789620757
D2FSS-bin-4	31	1024	4	96	2097.7495503872633	276.0893473215401
D2FSS-bin-2	31	1024	2	96	2263.436224080622	185.48288104869425
D2FSS-bin-1	31	1024	1	96	2419.4566551595926	152.3024206031114
D2FSS-bin-0.5	31	1024	0.5	96	2588.319319235161	136.18700480647385
D2OP-txt-8	31	1024	8	96	2558.877528592944	494.0708935931325
D2OP-txt-4	31	1024	4	96	2697.997220011428	336.43619302101433
D2OP-txt-2	31	1024	2	96	2856.5537421032786	300.6062382571399
D2OP-txt-1	31	1024	1	96	3006.3836674652994	279.9352859072387
D2OP-txt-0.5	31	1024	0.5	96	3084.230766028166	294.12400268390775
D2FSS-txt-8	31	1024	8	96	2839.518939776346	355.07931780815125
D2FSS-txt-4	31	1024	4	96	3463.090462692082	2378.602921307087
D2FSS-txt-2	31	1024	2	96	3665.232410956174	519.4172259476036
D2FSS-txt-1	31	1024	1	96	3616.9607226252556	530.2805352341384
D2FSS-txt-0.5	31	1024	0.5	96	994.1420388687402	246.45095834322274
