##Options: Namespace(fnames='fns.txt', k=['31'], nrepeat=2, nthreads=['272'], sketchsize=['512'])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	512	8	272	6277.8051208257675	13936.634689807892
Bindash-8	31	512	8	272	5971.435375571251	664.5966181755066
Bindash-4	31	512	4	272	6005.373589515686	672.3440961837769
Bindash-2	31	512	2	272	6029.648440718651	675.0433526039124
Bindash-1	31	512	1	272	5992.450997471809	677.6283398866653
Bindash-0.5	31	512	0.5	272	6002.73955655098	683.1965512037277
Dashing1-bin	31	512	1	272	1642.861110329628	3471.885093331337
Dashing1-txt	31	512	1	272	1513.1309934854507	9939.589518785477
D2OP-bin-8	31	512	8	272	2318.926408290863	233.8783574104309
D2OP-bin-4	31	512	4	272	2320.6657799482346	336.2633544206619
D2OP-bin-2	31	512	2	272	2309.660462975502	314.6682051420212
D2OP-bin-1	31	512	1	272	2310.1405534744263	343.4502353668213
D2OP-bin-0.5	31	512	0.5	272	2311.9207196235657	301.72830069065094
D2FSS-bin-8	31	512	8	272	2402.96762239933	220.34054481983185
