##Options: Namespace(fnames='fns.txt', k=['31'], nrepeat=3, nthreads=['96'], sketchsize=['1024'])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	1024	8	96	1567.4518476426601	156.20596973970532
PMH-bin-8-2500000	31	1024	8	96	2351.5270950868726	165.01576996594667
PMH-bin-8-10000000	31	1024	8	96	2799.2859443090856	246.13279246538877
PMH-bin-4-500000	31	1024	4	96	1775.2074369117618	342.5990365669131
PMH-bin-4-2500000	31	1024	4	96	2732.332482755184	351.7030495069921
PMH-bin-4-10000000	31	1024	4	96	3356.7145104706287	382.73046739026904
PMH-bin-2-500000	31	1024	2	96	2240.047349087894	290.36676864326
PMH-bin-2-2500000	31	1024	2	96	3139.7949980683625	298.43931514397264
PMH-bin-2-10000000	31	1024	2	96	3411.780766017735	280.53796868771315
PMH-bin-1-500000	31	1024	1	96	2183.5176265500486	266.9524642005563
PMH-bin-1-2500000	31	1024	1	96	2948.8991483077407	275.78401459008455
PMH-bin-1-10000000	31	1024	1	96	3219.720038279891	275.5319970175624
PMH-bin-0.5-500000	31	1024	0.5	96	1501.5574710555375	240.36869383975863
PMH-bin-0.5-2500000	31	1024	0.5	96	2300.234350439161	243.22948826476932
PMH-bin-0.5-10000000	31	1024	0.5	96	2716.4629214331508	240.78749208152294
PMH-txt-8-500000	31	1024	8	96	2460.760577213019	438.32040129601955
PMH-txt-8-2500000	31	1024	8	96	2299.3688904866576	341.91525941342115
PMH-txt-8-10000000	31	1024	8	96	3407.367494676262	355.93532564118505
PMH-txt-4-500000	31	1024	4	96	2538.6189456768334	477.61012755706906
