##Options: Namespace(fnames='sampled_fns.txt', k=[31], nrepeat=2, nthreads=[268], sketchsize=[8192])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	8192	8	268	6387.329105051234	40819.74668986164
Bindash-8	31	8192	8	268	5823.321302685887	2619.4118175171316
Bindash-4	31	8192	4	268	5809.277633396909	2629.2797753270715
Bindash-2	31	8192	2	268	5821.277283530682	2629.279287485406
Bindash-1	31	8192	1	268	5841.87526942417	2631.8616291172802
Bindash-0.5	31	8192	0.5	268	2021.7558976337314	122.40052242577076
Dashing1-bin	31	8192	1	268	415.5740285720676	1362.502862483263
Dashing1-txt	31	8192	1	268	405.703362705186	614.2742485422641
D2OP-bin-8	31	8192	8	268	663.4560890756547	174.3395635485649
D2OP-bin-4	31	8192	4	268	651.9389223884791	104.51131604798138
D2OP-bin-2	31	8192	2	268	663.2593408692628	36.3886360488832
D2OP-bin-1	31	8192	1	268	646.6660875231028	32.82220749370754
D2OP-bin-0.5	31	8192	0.5	268	653.5742193553597	39.865193109959364
D2FSS-bin-8	31	8192	8	268	712.3491604812443	174.04555481299758
D2FSS-bin-4	31	8192	4	268	672.8925427533686	104.49498883262277
D2FSS-bin-2	31	8192	2	268	651.5468956064433	35.9624506123364
D2FSS-bin-1	31	8192	1	268	718.3766524419188	32.05688787251711
D2FSS-bin-0.5	31	8192	0.5	268	664.9703176617622	42.70766141079366
