##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=2, nthreads=['268'], sketchsize=['256'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	256	8	268	1117.6536494493484	18.22872941568494
PMH-bin-8-2500000	31	256	8	268	1274.1077945940197	18.132001208141446
PMH-bin-8-10000000	31	256	8	268	1354.8371024113148	24.28290500305593
PMH-bin-4-500000	31	256	4	268	1097.0332996305078	24.99095084145665
PMH-bin-4-2500000	31	256	4	268	1280.2142874076962	26.10105475783348
PMH-bin-4-10000000	31	256	4	268	1356.1530825663358	29.020565398037434
PMH-bin-2-500000	31	256	2	268	1113.9371566548944	24.97151931747794
PMH-bin-2-2500000	31	256	2	268	1266.2287967633456	27.54902047291398
PMH-bin-2-10000000	31	256	2	268	1344.8766968473792	29.880047351121902
PMH-bin-1-500000	31	256	1	268	1112.3756314180791	28.080710971727967
PMH-bin-1-2500000	31	256	1	268	1283.434270054102	27.014975668862462
PMH-bin-1-10000000	31	256	1	268	1340.4911138210446	28.94000043720007
PMH-bin-0.5-500000	31	256	0.5	268	1099.7212835997343	26.050800882279873
PMH-bin-0.5-2500000	31	256	0.5	268	1282.4013985954225	26.684037206694484
PMH-bin-0.5-10000000	31	256	0.5	268	1346.8490028064698	28.852064721286297
