##Options: Namespace(fnames='sampled_fns.txt', k=[31], nrepeat=3, nthreads=[272], sketchsize=[2048])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	2048	8	272	2002.9467760398984	866.1282053869218
Bindash-8	31	2048	8	272	2452.0560319256037	48.52310378663242
Bindash-4	31	2048	4	272	2430.5810019839555	48.77275353111327
Bindash-2	31	2048	2	272	2470.0467286799103	48.407452665269375
Bindash-1	31	2048	1	272	2442.9201564434916	49.157146805897355
Bindash-0.5	31	2048	0.5	272	2424.499976599589	49.52041122317314
Dashing1-bin	31	2048	1	272	396.41667128913105	431.35491897165775
Dashing1-txt	31	2048	1	272	394.8077105078846	681.4934091214091
D2OP-bin-8	31	2048	8	272	635.7607909161597	17.799393482506275
D2OP-bin-4	31	2048	4	272	628.2601821050048	27.390017202124
D2OP-bin-2	31	2048	2	272	628.6614425685257	21.12867960333824
D2OP-bin-1	31	2048	1	272	632.0540220234543	22.3959869928658
D2OP-bin-0.5	31	2048	0.5	272	633.4733698870987	24.455159604549408
D2FSS-bin-8	31	2048	8	272	625.2110208123922	17.691720781847835
D2FSS-bin-4	31	2048	4	272	608.0137438606471	27.453429182991385
D2FSS-bin-2	31	2048	2	272	659.0158301852643	21.79231139086187
D2FSS-bin-1	31	2048	1	272	603.1799110360444	22.977415449917316
D2FSS-bin-0.5	31	2048	0.5	272	660.3275859002024	24.54751529544592
