##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=2, nthreads=['268'], sketchsize=['32768'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	32768	8	268	1325.7490903232247	1916.7944028377533
PMH-bin-8-2500000	31	32768	8	268	1478.6994518060237	1920.714242361486
PMH-bin-8-10000000	31	32768	8	268	1572.0533394496888	1926.768981700763
PMH-bin-4-500000	31	32768	4	268	1325.6471377220005	678.8205294907093
PMH-bin-4-2500000	31	32768	4	268	1474.3674111664295	670.9548228839412
PMH-bin-4-10000000	31	32768	4	268	1560.1613394767046	674.0498325927183
PMH-bin-2-500000	31	32768	2	268	1314.070748209022	222.9478078763932
PMH-bin-2-2500000	31	32768	2	268	1486.9651067974046	223.94767674058676
PMH-bin-2-10000000	31	32768	2	268	1557.7729866299778	229.27745726704597
PMH-bin-1-500000	31	32768	1	268	1297.695673598908	100.21029369346797
PMH-bin-1-2500000	31	32768	1	268	1456.5825161868706	101.30713068228215
PMH-bin-1-10000000	31	32768	1	268	1558.226707371883	103.90231367759407
PMH-bin-0.5-500000	31	32768	0.5	268	1313.5856733461842	58.09039459191263
PMH-bin-0.5-2500000	31	32768	0.5	268	1463.924261461012	59.57050702068955
PMH-bin-0.5-10000000	31	32768	0.5	268	1558.486836064607	59.95538445934653
