##Options: Namespace(fnames='sampled_fns.txt', k=[31], nrepeat=3, nthreads=[272], sketchsize=[1024])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	1024	8	272	1990.9058477506042	723.7130884863436
Bindash-8	31	1024	8	272	2443.0814229398966	36.91778573021293
Bindash-4	31	1024	4	272	2464.426533665508	36.93920091539621
Bindash-2	31	1024	2	272	2442.6777438744903	37.68114519119263
Bindash-1	31	1024	1	272	2441.2260340489447	37.10762246698141
Bindash-0.5	31	1024	0.5	272	2433.372824255377	37.391103722155094
Dashing1-bin	31	1024	1	272	400.83158922567964	269.5189515389502
Dashing1-txt	31	1024	1	272	396.8636851198971	671.4572696089745
D2OP-bin-8	31	1024	8	272	631.6481866650283	13.861047312617302
D2OP-bin-4	31	1024	4	272	635.172030005604	23.012151312083006
D2OP-bin-2	31	1024	2	272	624.6515138745308	20.369507994502783
D2OP-bin-1	31	1024	1	272	630.2776313312352	20.53335064277053
D2OP-bin-0.5	31	1024	0.5	272	625.145253367722	20.57910729199648
D2FSS-bin-8	31	1024	8	272	629.9560160785913	13.871298875659704
D2FSS-bin-4	31	1024	4	272	684.935730624944	21.69429986178875
D2FSS-bin-2	31	1024	2	272	596.9835704602301	20.546430375427008
D2FSS-bin-1	31	1024	1	272	619.9775223359466	20.693494237959385
D2FSS-bin-0.5	31	1024	0.5	272	606.6537419259548	19.3822332136333
##Options: Namespace(fnames='sampled_fns.txt', k=[31], nrepeat=3, nthreads=[272], sketchsize=[16384])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	16384	8	272	2021.408643776551	2959.03982055746
Bindash-8	31	16384	8	272	2531.396560896188	206.92848177999258
Bindash-4	31	16384	4	272	2519.920132016763	211.52918717823923
Bindash-2	31	16384	2	272	2536.5097591280937	207.07314459234476
Bindash-1	31	16384	1	272	2504.625878436491	211.3768970631063
Bindash-0.5	31	16384	0.5	272	2503.156328322366	208.86539596877992
Dashing1-bin	31	16384	1	272	398.69288057647645	2525.305714448914
Dashing1-txt	31	16384	1	272	399.1366446726024	752.2407671157271
D2OP-bin-8	31	16384	8	272	702.9551252312958	546.4846795387566
D2OP-bin-4	31	16384	4	272	709.0052299648523	277.01192777976394
D2OP-bin-2	31	16384	2	272	697.6709815803915	78.99776951782405
D2OP-bin-1	31	16384	1	272	690.87474873662	40.07475174963474
D2OP-bin-0.5	31	16384	0.5	272	686.1577975023538	62.30373998172581
D2FSS-bin-8	31	16384	8	272	749.4612596184015	560.7337783165276
D2FSS-bin-4	31	16384	4	272	726.2832680568099	275.7923463638872
D2FSS-bin-2	31	16384	2	272	732.1368228159845	80.23706735484302
D2FSS-bin-1	31	16384	1	272	753.337282480672	44.90563154220581
D2FSS-bin-0.5	31	16384	0.5	272	813.662062374875	68.73745218850672
##Options: Namespace(fnames='sampled_fns.txt', k=[31], nrepeat=3, nthreads=[272], sketchsize=[2048])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	2048	8	272	2002.9467760398984	866.1282053869218
Bindash-8	31	2048	8	272	2452.0560319256037	48.52310378663242
Bindash-4	31	2048	4	272	2430.5810019839555	48.77275353111327
Bindash-2	31	2048	2	272	2470.0467286799103	48.407452665269375
Bindash-1	31	2048	1	272	2442.9201564434916	49.157146805897355
Bindash-0.5	31	2048	0.5	272	2424.499976599589	49.52041122317314
Dashing1-bin	31	2048	1	272	396.41667128913105	431.35491897165775
Dashing1-txt	31	2048	1	272	394.8077105078846	681.4934091214091
D2OP-bin-8	31	2048	8	272	635.7607909161597	17.799393482506275
D2OP-bin-4	31	2048	4	272	628.2601821050048	27.390017202124
D2OP-bin-2	31	2048	2	272	628.6614425685257	21.12867960333824
D2OP-bin-1	31	2048	1	272	632.0540220234543	22.3959869928658
D2OP-bin-0.5	31	2048	0.5	272	633.4733698870987	24.455159604549408
D2FSS-bin-8	31	2048	8	272	625.2110208123922	17.691720781847835
D2FSS-bin-4	31	2048	4	272	608.0137438606471	27.453429182991385
D2FSS-bin-2	31	2048	2	272	659.0158301852643	21.79231139086187
D2FSS-bin-1	31	2048	1	272	603.1799110360444	22.977415449917316
D2FSS-bin-0.5	31	2048	0.5	272	660.3275859002024	24.54751529544592
##Options: Namespace(fnames='sampled_fns.txt', k=[31], nrepeat=3, nthreads=[272], sketchsize=[32768])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	32768	8	272	2080.213279634714	5845.668576363474
Bindash-8	31	32768	8	272	2611.4854278229177	364.7273148559034
Bindash-4	31	32768	4	272	2581.726918792352	375.02130571752787
Bindash-2	31	32768	2	272	2616.752635544166	375.40972108207643
Bindash-1	31	32768	1	272	2573.4739807248116	374.8198177088052
Bindash-0.5	31	32768	0.5	272	2592.206722021103	375.0659130103886
Dashing1-bin	31	32768	1	272	405.14945949986577	4789.375931039453
Dashing1-txt	31	32768	1	272	401.45263761654496	878.1186223868281
D2OP-bin-8	31	32768	8	272	800.5903297681361	1936.1469866745174
D2OP-bin-4	31	32768	4	272	773.0337769798934	781.0846745744348
D2OP-bin-2	31	32768	2	272	782.2775392401963	233.70779968984425
D2OP-bin-1	31	32768	1	272	761.2464726045728	119.38620404154062
D2OP-bin-0.5	31	32768	0.5	272	778.6063875798136	104.91548569686711
D2FSS-bin-8	31	32768	8	272	923.8248650692403	1961.0073156636208
D2FSS-bin-4	31	32768	4	272	1015.9547890536487	793.3162042200565
D2FSS-bin-2	31	32768	2	272	960.5935962107033	236.01501264609396
D2FSS-bin-1	31	32768	1	272	952.3110647648573	124.05941567011178
D2FSS-bin-0.5	31	32768	0.5	272	949.4885629862547	109.10287755541503
##Options: Namespace(fnames='sampled_fns.txt', k=[31], nrepeat=3, nthreads=[272], sketchsize=[4096])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	4096	8	272	2004.327112916857	1192.1844544410706
Bindash-8	31	4096	8	272	2473.9681429490447	74.60079520195723
Bindash-4	31	4096	4	272	2469.4950062148273	73.67512172460556
Bindash-2	31	4096	2	272	2486.0221753567457	74.07169575616717
Bindash-1	31	4096	1	272	2452.9605505354702	74.03940650448203
Bindash-0.5	31	4096	0.5	272	2461.903629414737	74.38406277447939
Dashing1-bin	31	4096	1	272	397.9339049346745	742.9994316808879
Dashing1-txt	31	4096	1	272	396.878445956856	693.8443140275776
D2OP-bin-8	31	4096	8	272	628.6761397533119	47.533921647816896
D2OP-bin-4	31	4096	4	272	642.71570847556	35.37942276149988
D2OP-bin-2	31	4096	2	272	638.5654599629343	24.885346859693527
D2OP-bin-1	31	4096	1	272	632.6690101772547	24.85798767209053
D2OP-bin-0.5	31	4096	0.5	272	634.230118457228	30.37753540277481
D2FSS-bin-8	31	4096	8	272	644.0204168595374	48.65786253660917
D2FSS-bin-4	31	4096	4	272	631.6678315326571	38.85114320367575
D2FSS-bin-2	31	4096	2	272	632.0231304168701	26.368924401700497
D2FSS-bin-1	31	4096	1	272	617.6012104786932	27.35716425254941
D2FSS-bin-0.5	31	4096	0.5	272	629.1365536786616	31.442094158381224
##Options: Namespace(fnames='sampled_fns.txt', k=[31], nrepeat=3, nthreads=[272], sketchsize=[512])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	512	8	272	1997.8787517659366	641.9840653203428
Bindash-8	31	512	8	272	2450.578794531524	30.48970814049244
Bindash-4	31	512	4	272	2463.2527893297374	30.762030098587275
Bindash-2	31	512	2	272	2440.474217161536	30.80937983840704
Bindash-1	31	512	1	272	2424.902407769114	31.20482312515378
Bindash-0.5	31	512	0.5	272	2409.598651971668	31.21279852837324
Dashing1-bin	31	512	1	272	398.21298940107226	188.33652810007334
Dashing1-txt	31	512	1	272	401.59969110414386	668.9025635123253
D2OP-bin-8	31	512	8	272	620.6911422237754	13.735855907201767
D2OP-bin-4	31	512	4	272	619.3220753706992	19.820684265345335
D2OP-bin-2	31	512	2	272	629.4831253290176	18.86651150137186
D2OP-bin-1	31	512	1	272	627.4526661112905	18.51944564655423
D2OP-bin-0.5	31	512	0.5	272	623.933318734169	17.751648668199778
D2FSS-bin-8	31	512	8	272	680.5197305455804	13.35082184895873
D2FSS-bin-4	31	512	4	272	614.1143416315317	19.591890297830105
