##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=2, nthreads=['268'], sketchsize=['1024'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	1024	8	268	1099.8866034320017	20.801172472496546
PMH-bin-8-2500000	31	1024	8	268	1284.9132509070005	20.182380785001442
PMH-bin-8-10000000	31	1024	8	268	1366.2875669034984	26.025157137497445
PMH-bin-4-500000	31	1024	4	268	1123.661390704503	27.43201395900178
PMH-bin-4-2500000	31	1024	4	268	1280.4634675140005	28.83636626349835
PMH-bin-4-10000000	31	1024	4	268	1363.659643034498	31.033899398000358
PMH-bin-2-500000	31	1024	2	268	1111.4758364559966	27.54351334900275
PMH-bin-2-2500000	31	1024	2	268	1282.0469924710014	29.840316087997053
PMH-bin-2-10000000	31	1024	2	268	1372.5960677280018	32.1261533729994
PMH-bin-1-500000	31	1024	1	268	1113.2330497360017	28.43508804150042
PMH-bin-1-2500000	31	1024	1	268	1287.4855825920022	27.813696028999402
PMH-bin-1-10000000	31	1024	1	268	1371.9858706630039	30.63701877749554
PMH-bin-0.5-500000	31	1024	0.5	268	1102.4504348755072	29.16449217900663
PMH-bin-0.5-2500000	31	1024	0.5	268	1275.4474008635007	29.15733673399518
PMH-bin-0.5-10000000	31	1024	0.5	268	1380.0519155690054	30.880198077000387
PMH-bin-8-500000	31	16384	8	268	1220.2350230067968	569.1884641963989
PMH-bin-8-2500000	31	16384	8	268	1366.2170354593545	569.4740051645786
PMH-bin-8-10000000	31	16384	8	268	1439.3943543117493	571.9310188442469
PMH-bin-4-500000	31	16384	4	268	1214.3304292913526	236.25071597471833
PMH-bin-4-2500000	31	16384	4	268	1358.8238658402115	237.48437683843076
PMH-bin-4-10000000	31	16384	4	268	1444.7754219230264	242.97349252551794
PMH-bin-2-500000	31	16384	2	268	1204.978057121858	80.82802875712514
PMH-bin-2-2500000	31	16384	2	268	1363.4871664084494	78.83763049915433
PMH-bin-2-10000000	31	16384	2	268	1452.167332848534	83.02367629855871
PMH-bin-1-500000	31	16384	1	268	1202.6708266492933	44.06750964559615
PMH-bin-1-2500000	31	16384	1	268	1369.0808135345578	44.580142149701715
PMH-bin-1-10000000	31	16384	1	268	1452.3345976956189	47.20246101729572
PMH-bin-0.5-500000	31	16384	0.5	268	1200.796162724495	42.55627011321485
PMH-bin-0.5-2500000	31	16384	0.5	268	1371.930123411119	42.86818413250148
PMH-bin-0.5-10000000	31	16384	0.5	268	1448.0853189025074	43.82516445033252
PMH-bin-8-500000	31	2048	8	268	1108.294627835974	25.56597052142024
PMH-bin-8-2500000	31	2048	8	268	1265.7655611019582	23.614215839654207
PMH-bin-8-10000000	31	2048	8	268	1349.9465942336246	29.49438182171434
PMH-bin-4-500000	31	2048	4	268	1083.682089202106	31.074076398275793
PMH-bin-4-2500000	31	2048	4	268	1288.2398563446477	31.68865812011063
