##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=3, nthreads=['96'], sketchsize=['4096'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	4096	8	96	318.5418821424246	23.045066844671965
PMH-bin-8-2500000	31	4096	8	96	452.36894761025906	23.399583000689745
PMH-bin-8-10000000	31	4096	8	96	519.011504098773	22.93602278828621
PMH-bin-4-500000	31	4096	4	96	318.8086441271007	24.138592682778835
PMH-bin-4-2500000	31	4096	4	96	451.92891412600875	24.044699128717184
PMH-bin-4-10000000	31	4096	4	96	524.9727090857923	24.906959757208824
PMH-bin-2-500000	31	4096	2	96	311.8236885815859	15.715856604278088
PMH-bin-2-2500000	31	4096	2	96	453.5383171029389	16.437576361000538
PMH-bin-2-10000000	31	4096	2	96	532.2705981433392	16.210590049624443
PMH-bin-1-500000	31	4096	1	96	316.96001367270947	14.858427166938782
PMH-bin-1-2500000	31	4096	1	96	455.45347772166133	14.897291950881481
PMH-bin-1-10000000	31	4096	1	96	528.6015039682388	15.576514691114426
PMH-bin-0.5-500000	31	4096	0.5	96	318.84071085602045	14.104631468653679
PMH-bin-0.5-2500000	31	4096	0.5	96	457.99518862366676	14.185163587331772
PMH-bin-0.5-10000000	31	4096	0.5	96	533.9309197850525	16.768560141324997
PMH-txt-8-500000	31	4096	8	96	333.4728354625404	29.95905999839306
PMH-txt-8-2500000	31	4096	8	96	459.80295004323125	32.40452182292938
PMH-txt-8-10000000	31	4096	8	96	523.688251439482	32.68014092743397
PMH-txt-4-500000	31	4096	4	96	322.8285706564784	32.099970139563084
PMH-txt-4-2500000	31	4096	4	96	464.14114040881395	32.50205531343818
PMH-txt-4-10000000	31	4096	4	96	531.2205442935228	31.7785237506032
PMH-txt-2-500000	31	4096	2	96	330.9563008695841	25.212741650640965
PMH-txt-2-2500000	31	4096	2	96	464.43979815393686	25.37226812914014
PMH-txt-2-10000000	31	4096	2	96	531.785796739161	25.286148004233837
PMH-txt-1-500000	31	4096	1	96	326.84147657826543	63.95882808417082
PMH-txt-1-2500000	31	4096	1	96	488.13857655227184	24.990927539765835
PMH-txt-1-10000000	31	4096	1	96	543.188232973218	26.78159800171852
PMH-txt-0.5-500000	31	4096	0.5	96	335.7498405762017	24.23650797456503
PMH-txt-0.5-2500000	31	4096	0.5	96	475.85217939317226	24.89938486367464
PMH-txt-0.5-10000000	31	4096	0.5	96	633.839922145009	23.902728479355574
