##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=3, nthreads=['96'], sketchsize=['4096'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	4096	8	96	319.45281099528074	24.711477752774954
PMH-bin-8-2500000	31	4096	8	96	452.75994984060526	72.44039364159107
PMH-bin-8-10000000	31	4096	8	96	522.491700541228	25.986273985356092
PMH-bin-4-500000	31	4096	4	96	323.2264458537102	27.68709607422352
PMH-bin-4-2500000	31	4096	4	96	456.0026579760015	25.802331399172544
PMH-bin-4-10000000	31	4096	4	96	527.9529626742005	27.918286055326462
PMH-bin-2-500000	31	4096	2	96	323.56518548727036	15.489186190068722
PMH-bin-2-2500000	31	4096	2	96	453.8141855187714	15.523121353238821
PMH-bin-2-10000000	31	4096	2	96	533.2103913500905	16.308106627315283
PMH-bin-1-500000	31	4096	1	96	324.79798479378223	14.652482606470585
