##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=3, nthreads=['96'], sketchsize=['32768'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	32768	8	96	424.504353441298	640.3291688589379
PMH-bin-8-2500000	31	32768	8	96	611.2170348074287	630.4407339161262
PMH-bin-8-10000000	31	32768	8	96	716.642509280704	640.5706009762362
PMH-bin-4-500000	31	32768	4	96	437.4011440416798	209.37003550678492
PMH-bin-4-2500000	31	32768	4	96	623.8627776112407	209.20982028450817
PMH-bin-4-10000000	31	32768	4	96	730.2479864116758	207.65226814057678
PMH-bin-2-500000	31	32768	2	96	451.80207311268896	63.13537896424532
PMH-bin-2-2500000	31	32768	2	96	633.6505370885134	66.76381086930633
PMH-bin-2-10000000	31	32768	2	96	744.5831101806834	63.745723778381944
PMH-bin-1-500000	31	32768	1	96	462.73969144467264	32.52731968462467
PMH-bin-1-2500000	31	32768	1	96	642.7139292592183	33.4027658784762
PMH-bin-1-10000000	31	32768	1	96	749.1365582533181	43.16990042850375
PMH-bin-0.5-500000	31	32768	0.5	96	472.72216181177646	27.04452442098409
PMH-bin-0.5-2500000	31	32768	0.5	96	664.1510589336976	28.954700019210577
PMH-bin-0.5-10000000	31	32768	0.5	96	861.0190108073875	29.642410898581147
PMH-txt-8-500000	31	32768	8	96	484.7916571525857	2156.9476964417845
PMH-txt-8-2500000	31	32768	8	96	706.4093232303858	2534.791184520349
PMH-txt-8-10000000	31	32768	8	96	765.1973128793761	637.5445266151801
PMH-txt-4-500000	31	32768	4	96	477.3322815988213	3220.8523165630177
PMH-txt-4-2500000	31	32768	4	96	685.1370889181271	3301.459433359094
