#Tool	k	numregs	regsize	nthreads	sketchtime	disttime
D2FSS-txt-1	31	256	1	96	4082.3951960019767	325.4655121602118
D2FSS-txt-8	31	256	8	96	3227.143369346857	161.30063910409808
D2OP-txt-1	31	256	1	96	3182.050968857482	289.3140006195754
D2OP-txt-8	31	256	8	96	1983.4129678718746	170.51150932349265
Dashing1-txt	31	256	1	96	1792.6788072027266	2870.2958989962935
PMH-txt-1-500000	31	256	1	96	2436.9019730873406	287.8984926789999
PMH-txt-8-500000	31	256	8	96	2005.5448328219354	176.99351777136326
Dashing1-txt	31	512	1	96	5680.92711802572	3069.805205607787
Mash	31	512	8	96	2354.5192096512765	2843.832827007398
PMH-txt-1-500000	31	512	1	96	2454.549382582307	530.195464361459
PMH-txt-1-5000000	31	512	1	96	2951.2188394106925	260.5491739027202
PMH-txt-8-2500000	31	512	8	96	3152.2787572965026	202.10864366963506
PMH-txt-8-500000	31	512	8	96	2380.8955473303795	184.93009287118912
PMH-txt-8-5000000	31	512	8	96	3104.0801149383187	249.72201386094093
Dashing1-txt	31	1024	1	96	4358.262601567432	5199.8729440793395
PMH-txt-1-500000	31	1024	1	96	2411.9906709119678	299.0383346863091
PMH-txt-1-5000000	31	1024	1	96	3032.8636634964496	284.26916958764195
PMH-txt-8-500000	31	1024	8	96	2019.2922030873597	370.91496945917606
PMH-txt-8-5000000	31	1024	8	96	3306.875630889088	489.06565873511136
D2OP-txt-8	31	2048	8	96	2687.256559636444	1155.726680073887
Dashing1-txt	31	2048	1	96	1718.4493232108653	2912.057610683143
Mash	31	2048	8	96	4651.616566639394	5122.92306708172
PMH-txt-1-2500000	31	2048	1	96	3607.3747431859374	318.6179389730096
PMH-txt-1-500000	31	2048	1	96	2190.1994036100805	671.4618726596236
PMH-txt-1-5000000	31	2048	1	96	3293.2126955725253	320.06524775363505
PMH-txt-8-2500000	31	2048	8	96	2977.014881771058	780.9411221072078
PMH-txt-8-500000	31	2048	8	96	1973.751256968826	354.6977357007563
PMH-txt-8-5000000	31	2048	8	96	3275.864196948707	898.8942034821957
Dashing1-txt	31	4096	1	96	681.6676744483411	2986.137601453811
PMH-txt-8-500000	31	4096	8	96	2116.9428846351802	2373.369189951569
Bindash-1	31	8192	1	96	2545.811131902039	1075.0640257894993
Bindash-8	31	8192	8	96	2542.4257463142276	1114.4486827254295
Dashing1-txt	31	8192	1	96	5451.716008588672	3306.5214891061187
PMH-txt-1-500000	31	8192	1	96	2077.297932110727	812.6812742166221
PMH-txt-1-500000	31	8192	1	96	2233.9438351094723	1040.6651024073362
PMH-txt-8-2500000	31	8192	8	96	2847.031569890678	21905.350229613483
PMH-txt-8-500000	31	8192	8	96	1941.3027075864375	7533.588270813227
PMH-txt-8-500000	31	8192	8	96	2027.803176537156	4480.934924161062
Dashing1-txt	31	16384	1	96	5233.339727025479	5424.388561114669
Dashing1-txt	31	32768	1	96	2429.8043255414814	5123.173642709851
PMH-txt-8-500000	31	32768	8	96	2470.5566484332085	33301.70813554153
