#Tool	k	numregs	regsize	nthreads	sketchtime	disttime
D2FSS-bin-0.5	31	256	0.5	96	3044.5883487053216	125.39415642619133
D2FSS-bin-1	31	256	1	96	2113.2037621960044	236.20708525553346
D2FSS-bin-2	31	256	2	96	2380.975326281041	131.36523950845003
D2FSS-bin-4	31	256	4	96	2287.605833183974	124.08231856673956
D2FSS-bin-8	31	256	8	96	2042.260286591947	64.16684610024095
D2FSS-txt-0.5	31	256	0.5	96	4356.261833831668	273.1056631170213
D2FSS-txt-1	31	256	1	96	4082.3951960019767	325.4655121602118
D2FSS-txt-2	31	256	2	96	3785.3164140172303	210.24435206875205
D2FSS-txt-4	31	256	4	96	3493.2190761342645	219.45729664713144
D2FSS-txt-8	31	256	8	96	3227.143369346857	161.30063910409808
D2OP-bin-0.5	31	256	0.5	96	1823.847516734153	150.7774177212268
D2OP-bin-1	31	256	1	96	1650.3318267948925	128.96296427212656
D2OP-bin-2	31	256	2	96	1383.9228150118142	129.75326336547732
D2OP-bin-4	31	256	4	96	1093.944619519636	124.19695134460926
D2OP-bin-8	31	256	8	96	834.8735274672508	61.15034298598766
D2OP-txt-0.5	31	256	0.5	96	3208.332763519138	244.06270156800747
D2OP-txt-1	31	256	1	96	3182.050968857482	289.3140006195754
D2OP-txt-2	31	256	2	96	2512.4109957311302	214.0918946247548
D2OP-txt-4	31	256	4	96	2231.385562222451	230.41838726773858
D2OP-txt-8	31	256	8	96	1983.4129678718746	170.51150932349265
Dashing1-bin	31	256	1	96	537.6035369671881	494.9569965787232
Dashing1-txt	31	256	1	96	1792.6788072027266	2870.2958989962935
PMH-bin-0.5-500000	31	256	0.5	96	1907.1618965789676	138.83543016016483
PMH-bin-1-500000	31	256	1	96	1783.663259088993	158.91432698443532
PMH-bin-2-500000	31	256	2	96	1718.8948331028223	154.2293355539441
PMH-bin-4-500000	31	256	4	96	1645.680171854794	151.64471589028835
PMH-bin-8-500000	31	256	8	96	1549.4038868397474	79.68745716661215
PMH-txt-0.5-500000	31	256	0.5	96	2208.869661655277	237.92759007960558
PMH-txt-1-500000	31	256	1	96	2436.9019730873406	287.8984926789999
PMH-txt-2-500000	31	256	2	96	2373.551715962589	221.3466857932508
PMH-txt-4-500000	31	256	4	96	2126.886124420911	249.87030224874616
PMH-txt-8-500000	31	256	8	96	2005.5448328219354	176.99351777136326
Bindash-0.5	31	256	0.5	272	5972.188374973834	531.1009752564132
Bindash-1	31	256	1	272	6006.767442855984	528.4247041791677
Bindash-2	31	256	2	272	5999.681444786489	525.2855563126504
Bindash-4	31	256	4	272	5983.936448916793	522.3265697881579
Bindash-8	31	256	8	272	5992.838459458202	518.0276482366025
D2FSS-bin-0.5	31	256	0.5	272	2406.1225257366896	350.6517738364637
D2FSS-bin-1	31	256	1	272	2511.3302300795913	374.4639365784824
D2FSS-bin-2	31	256	2	272	2396.703579928726	368.20030972361565
D2FSS-bin-4	31	256	4	272	2444.3223547786474	345.42068948969245
D2FSS-bin-8	31	256	8	272	2754.453887782991	236.50194366276264
Mash	31	256	8	272	6294.970141872764	12979.965330462903
PMH-bin-0.5-2500000	31	256	0.5	272	4007.1482979469	319.8078630939126
PMH-bin-0.5-500000	31	256	0.5	272	3661.9990303702652	289.03718519210815
PMH-bin-1-2500000	31	256	1	272	4019.124469745904	1325.229905653745
PMH-bin-1-500000	31	256	1	272	3668.3068696781993	312.07914412021637
PMH-bin-1-500000	31	256	1	272	3691.5438206270337	475.65680880844593
PMH-bin-2-2500000	31	256	2	272	4012.9093630835414	337.13252759352326
PMH-bin-2-500000	31	256	2	272	3672.7277964018285	403.2172608971596
PMH-bin-2-500000	31	256	2	272	3679.5778574831784	356.9381444826722
PMH-bin-4-2500000	31	256	4	272	4045.0490533187985	275.79836862906814
PMH-bin-4-500000	31	256	4	272	3661.125537008047	1449.519498936832
