#Tool	k	numregs	regsize	nthreads	sketchtime	disttime
PMH-bin-8-2500000	31	16384	8	96	672.1192234419286	194.82709421217442
PMH-bin-4-2500000	31	16384	4	96	606.4319286495447	78.32776546105742
PMH-bin-2-2500000	31	16384	2	96	664.5229481048882	29.699251491576433
PMH-bin-1-2500000	31	16384	1	96	583.5112460963428	35.13604735583067
PMH-bin-0.5-2500000	31	16384	0.5	96	641.8818561173975	14.064499322324991
PMH-txt-8-2500000	31	16384	8	96	606.3259505778551	184.56434416025877
PMH-txt-4-2500000	31	16384	4	96	651.894066143781	79.90388957038522
PMH-txt-2-2500000	31	16384	2	96	646.6834824681282	38.18046027049422
PMH-txt-1-2500000	31	16384	1	96	621.9994563274086	28.198452297598124
PMH-txt-0.5-2500000	31	16384	0.5	96	649.0907830558717	26.65493220463395
PMH-txt-4-2500000	31	32768	4	96	729.3360068164766	207.2515700533986
PMH-txt-2-2500000	31	32768	2	96	766.8385884948075	68.95107612758875
PMH-txt-1-2500000	31	32768	1	96	754.6608037240803	42.482203625142574
PMH-txt-0.5-2500000	31	32768	0.5	96	722.7608105577528	32.13218307495117
PMH-bin-8-5000000	31	16384	8	96	718.2306943498552	419.14098554477096
PMH-bin-4-5000000	31	16384	4	96	750.5897393301129	69.8851140961051
PMH-bin-2-5000000	31	16384	2	96	702.1120148785412	33.926713932305574
PMH-bin-1-5000000	31	16384	1	96	717.2623826749623	27.885743342339993
PMH-bin-0.5-5000000	31	16384	0.5	96	704.0851461477578	21.71145821362734
PMH-txt-8-5000000	31	16384	8	96	717.8734796606004	1429.9314960688353
PMH-txt-4-5000000	31	16384	4	96	890.1379623152316	73.64809393510222
PMH-txt-2-5000000	31	16384	2	96	809.3434025868773	46.91787392646074
PMH-txt-1-5000000	31	16384	1	96	838.8820487819612	44.307682029902935
PMH-txt-0.5-5000000	31	16384	0.5	96	671.6716860681772	34.19561593607068
PMH-bin-8-5000000	31	32768	8	96	672.5836049951613	653.5929919108748
PMH-bin-4-5000000	31	32768	4	96	1240.0113549120724	237.49295719340444
PMH-bin-2-5000000	31	32768	2	96	670.9179865512997	57.607472997158766
PMH-bin-1-5000000	31	32768	1	96	670.7315925676376	32.86464759521186
PMH-bin-0.5-5000000	31	32768	0.5	96	668.7871497888118	22.53811506740749
PMH-txt-8-5000000	31	32768	8	96	669.5388103723526	650.8562631998211
PMH-txt-4-5000000	31	32768	4	96	4426.891509799287	955.1487061195076
PMH-txt-2-5000000	31	32768	2	96	897.8672644197941	117.41668614000082
PMH-txt-1-5000000	31	32768	1	96	904.4045118037611	139.3516067508608
PMH-txt-0.5-5000000	31	32768	0.5	96	2398.6329272277653	32.019051648676395
Bindash-8	31	16384	8	96	574.8366438895464	88.28840012475848
Bindash-4	31	16384	4	96	574.6923701763153	84.89234581589699
Bindash-2	31	16384	2	96	571.1164375469089	87.05546704679728
Bindash-1	31	16384	1	96	575.2884892299771	90.41841027140617
Bindash-0.5	31	16384	0.5	96	573.0157118886709	90.41561492532492
Bindash-8	31	32768	8	96	592.7405361458659	189.52626423491165
Bindash-4	31	32768	4	96	578.3711404241621	184.0902152173221
Bindash-2	31	32768	2	96	582.1336077386513	179.0547510208562
Bindash-1	31	32768	1	96	589.3327417182736	187.43536276882514
Bindash-0.5	31	32768	0.5	96	576.7423183610663	187.93929661391303
Dashing1-bin	31	16384	1	96	105.86560668796301	295.98240368813276
Dashing1-txt	31	16384	1	96	104.92836967110634	242.21457831189036
Dashing1-bin	31	32768	1	96	109.93884184584022	489.72009475529194
Dashing1-txt	31	32768	1	96	106.12421451881528	281.31271386519074
D2FSS-bin-8	31	16384	8	96	380.4639818947762	192.32419414632022
D2FSS-bin-4	31	16384	4	96	394.73303375579417	78.32623013667762
D2FSS-bin-2	31	16384	2	96	424.27960329689085	29.377096259966493
D2FSS-bin-1	31	16384	1	96	408.27835807576776	18.918971821665764
D2FSS-bin-0.5	31	16384	0.5	96	416.29464219138026	26.51668932661414
D2FSS-txt-8	31	16384	8	96	434.01748574897647	186.1730949189514
D2FSS-txt-4	31	16384	4	96	454.2727782689035	79.7348787970841
D2FSS-txt-2	31	16384	2	96	457.799865366891	38.86390266008675
D2FSS-txt-1	31	16384	1	96	465.7610743381083	26.56176553480327
D2FSS-txt-0.5	31	16384	0.5	96	414.3288601189852	27.243390252813697
D2FSS-bin-8	31	32768	8	96	488.82411359995604	639.7415606305003
D2FSS-bin-4	31	32768	4	96	499.49000633507967	239.9330507554114
D2FSS-bin-2	31	32768	2	96	519.0319145955145	62.02749378979206
D2FSS-bin-1	31	32768	1	96	531.9691297672689	28.714021004736423
D2FSS-bin-0.5	31	32768	0.5	96	532.8834560625255	21.657783795148134
D2FSS-txt-8	31	32768	8	96	553.3386868275702	659.9249435551465
D2FSS-txt-4	31	32768	4	96	559.4870841093361	239.76528771594167
D2FSS-txt-2	31	32768	2	96	565.2494129873812	61.26813292875886
D2FSS-txt-1	31	32768	1	96	582.0374697782099	37.03058077394962
D2FSS-txt-0.5	31	32768	0.5	96	597.0336545966566	29.7254537679255
D2OP-bin-8	31	16384	8	96	472.75876938551664	181.4949540682137
D2OP-bin-4	31	16384	4	96	476.18493081629276	79.97854121029377
D2OP-bin-2	31	16384	2	96	479.8118115514517	32.266932383179665
D2OP-bin-1	31	16384	1	96	167.009300917387	21.196099933236837
D2OP-bin-0.5	31	16384	0.5	96	167.56976817175746	17.385760750621557
D2OP-txt-8	31	16384	8	96	165.79838632047176	185.08341285586357
D2OP-txt-4	31	16384	4	96	166.67155419662595	80.68349922820926
D2OP-txt-2	31	16384	2	96	168.94912600144744	44.15486264973879
D2OP-txt-1	31	16384	1	96	489.1489388793707	27.36885116994381
D2OP-txt-0.5	31	16384	0.5	96	501.7480250634253	26.5457761362195
D2OP-bin-8	31	32768	8	96	185.31356471404433	641.9429709948599
D2OP-bin-4	31	32768	4	96	177.13785577565432	236.15777791664004
D2OP-bin-2	31	32768	2	96	178.157794252038	60.296692188829184
D2OP-bin-1	31	32768	1	96	182.8212992362678	28.885234963148832
D2OP-bin-0.5	31	32768	0.5	96	194.47890313714743	21.90709649026394
D2OP-txt-8	31	32768	8	96	203.65470280125737	634.642835535109
D2OP-txt-4	31	32768	4	96	226.3670263439417	241.23087150231004
D2OP-txt-2	31	32768	2	96	240.32535560429096	59.460012428462505
D2OP-txt-1	31	32768	1	96	245.89409882947803	43.54617812857032
D2OP-txt-0.5	31	32768	0.5	96	212.44264486432076	33.05268155783415
Mash	31	16384	8	96	586.1756636202335	1336.7234764657915
Mash	31	32768	8	96	592.5165337268263	2648.6634888090193
PMH-bin-8-500000	31	16384	8	96	490.85327327623963	2477.704209174961
PMH-bin-4-500000	31	16384	4	96	449.0904247201979	258.32944671437144
PMH-bin-2-500000	31	16384	2	96	476.07006695494056	100.09326230362058
PMH-bin-1-500000	31	16384	1	96	444.0703706257045	64.31647700071335
PMH-bin-0.5-500000	31	16384	0.5	96	462.2577318623662	39.73648601770401
PMH-txt-8-500000	31	16384	8	96	471.8344959653914	2477.5309276282787
PMH-txt-4-500000	31	16384	4	96	475.724861048162	400.16948387026787
PMH-txt-2-500000	31	16384	2	96	446.90326483920217	123.73530774191022
PMH-txt-1-500000	31	16384	1	96	429.012013271451	72.57630526646972
PMH-txt-0.5-500000	31	16384	0.5	96	464.67022854834795	50.37981295213103
PMH-bin-8-500000	31	32768	8	96	549.0839960426092	660.6124387271702
PMH-bin-4-500000	31	32768	4	96	526.8928821198642	202.13170955702662
PMH-bin-2-500000	31	32768	2	96	556.9705456458032	64.61747648194432
PMH-bin-1-500000	31	32768	1	96	570.1936289407313	34.403103191405535
PMH-bin-0.5-500000	31	32768	0.5	96	567.746041983366	23.429321732372046
PMH-txt-8-500000	31	32768	8	96	520.0125268474221	649.371081251651
PMH-txt-4-500000	31	32768	4	96	538.6383831016719	219.02300760895014
PMH-txt-2-500000	31	32768	2	96	429.06344993785024	66.33616436645389
PMH-txt-1-500000	31	32768	1	96	431.0658860914409	45.46800795197487
PMH-txt-0.5-500000	31	32768	0.5	96	544.3804642483592	33.039489679038525
PMH-bin-8-2500000	31	16384	8	272	1374.256646785885	549.2153104618192
PMH-bin-4-2500000	31	16384	4	272	1371.4408971518278	221.99237151816487
PMH-bin-8-5000000	31	16384	8	272	1394.497940313071	551.588047940284
PMH-bin-4-5000000	31	16384	4	272	1413.3256696276367	219.44811646267772
PMH-bin-2-5000000	31	16384	2	272	1408.0802062153816	74.63408767804503
PMH-bin-1-5000000	31	16384	1	272	1399.7685785144567	40.20460604131222
PMH-bin-0.5-5000000	31	16384	0.5	272	1403.4674962610006	96.80118951946497
PMH-txt-8-5000000	31	16384	8	272	1418.299727935344	581.6031846702099
PMH-txt-4-5000000	31	16384	4	272	1392.1699686348438	216.22669418528676
PMH-txt-2-5000000	31	16384	2	272	1390.3109041079879	101.06000546738505
PMH-txt-1-5000000	31	16384	1	272	1401.497777543962	69.37592422962189
PMH-txt-0.5-5000000	31	16384	0.5	272	1388.8454639911652	72.85342059656978
PMH-bin-8-500000	31	16384	8	272	1218.4562485851347	553.0841212384403
PMH-bin-4-500000	31	16384	4	272	1191.2028911169618	681.4869577307254
PMH-bin-2-500000	31	16384	2	272	1207.538543464616	2133.724108098075
PMH-bin-1-500000	31	16384	1	272	3811.936581887305	47.504093289375305
PMH-bin-0.5-500000	31	16384	0.5	272	1181.5994218923151	540.7161935567856
PMH-txt-8-500000	31	16384	8	272	2399.153560841456	2498.184497082606
PMH-txt-4-500000	31	16384	4	272	1428.0245331600308	713.7863398529589
PMH-txt-2-500000	31	16384	2	272	1187.5485912356526	87.85695921629667
PMH-txt-1-500000	31	16384	1	272	1204.1492026746273	67.79896059259772
PMH-txt-0.5-500000	31	16384	0.5	272	1185.628729512915	71.39252176322043
PMH-bin-8-500000	31	32768	8	272	1313.6016446091235	1972.9896287471056
PMH-bin-4-500000	31	32768	4	272	1298.143898177892	653.88374607265
PMH-bin-2-500000	31	32768	2	272	1273.9620621018112	219.26626017689705
PMH-bin-1-500000	31	32768	1	272	1291.8643877357244	95.39014439284801
PMH-bin-0.5-500000	31	32768	0.5	272	1305.0290671437979	53.834042843431234
