##Options: Namespace(executable='dashing2', fnames='fns.txt', k=[31], nrepeat=1, nthreads=[96], only_cssize=[500000], only_type='d2op', pmhbbitsigs=False, sketchsize=[1024, 2048])
##Results for fns.txt
#Method k   NumReg  RegisterSize    NumThreads  SketchTime  DistanceTime
Mash    31  1024    8   96  2301.2221159171313  3527.7809157818556
Mash    31  2048    8   96  2282.661855114624   5172.643566546962
D2OP-bin-8  31  1024    8   96  1136.4431854188442  182.54605497047305
D2OP-bin-4  31  1024    4   96  901.622817505151    202.1607445552945
D2OP-bin-2  31  1024    2   96  973.4105144701898   161.4370993487537
D2OP-bin-1  31  1024    1   96  1116.8104149997234  157.7464381940663
D2OP-bin-0.5    31  1024    0.5 96  1243.1770500987768  146.61527466401458
D2OP-txt-8  31  1024    8   96  1385.8020053133368  244.12004747241735
D2OP-txt-4  31  1024    4   96  1516.3153917603195  285.53249480202794
D2OP-txt-2  31  1024    2   96  1609.4964215867221  593.4868791811168
D2OP-txt-1  31  1024    1   96  1907.6614628694952  493.56437585502863
D2OP-txt-0.5    31  1024    0.5 96  2024.0434216670692  369.50864823162556
D2OP-bin-8  31  2048    8   96  1988.6531288288534  480.291004922241
D2OP-bin-4  31  2048    4   96  1972.9462162591517  530.0482132136822
D2OP-bin-2  31  2048    2   96  2075.5202808193862  278.831615075469
D2OP-bin-1  31  2048    1   96  2301.731307785958   457.43973786756396
D2OP-bin-0.5    31  2048    0.5 96  2336.6983737647533  196.36783669516444
D2OP-txt-8  31  2048    8   96  2439.2802819013596  856.6959368065
D2OP-txt-4  31  2048    4   96  2920.269274163991   1031.0352790951729
D2OP-txt-2  31  2048    2   96  2821.2983511313796  393.4527553804219
D2OP-txt-1  31  2048    1   96  2862.7082186564803  334.19943277165294
D2OP-txt-0.5    31  2048    0.5 96  2895.9993389621377  302.804103218019
D2FSS-bin-8 31  1024    8   96  1175.822847712785   167.34991931542754
D2FSS-bin-4 31  1024    4   96  1150.7278175354004  201.96856167539954
D2FSS-bin-2 31  1024    2   96  1277.286778550595   164.82112368568778
D2FSS-bin-1 31  1024    1   96  1363.643172584474   159.53440073505044
D2FSS-bin-0.5   31  1024    0.5 96  1473.3985105343163  150.86836464330554
D2FSS-txt-8 31  1024    8   96  1612.8898503668606  229.4825336970389
D2FSS-txt-4 31  1024    4   96  1746.69130358845    1041.3307384550571
D2FSS-txt-2 31  1024    2   96  1924.3204364217818  381.58430333435535
D2FSS-txt-1 31  1024    1   96  2058.165200676769   352.72837284207344
D2FSS-txt-0.5   31  1024    0.5 96  2063.7806407772005  234.06879659742117
D2FSS-bin-8 31  2048    8   96  2273.190813422203   516.435585167259
D2FSS-bin-4 31  2048    4   96  2320.2730466909707  652.9320567287505
D2FSS-bin-2 31  2048    2   96  2695.7035947553813  470.0693054869771
D2FSS-bin-1 31  2048    1   96  2592.4489495158195  226.28569370508194
D2FSS-bin-0.5   31  2048    0.5 96  2647.287855055183   175.73997294157743
D2FSS-txt-8 31  2048    8   96  3102.3644535802305  1197.2698490731418
D2FSS-txt-4 31  2048    4   96  3012.8901678174734  688.5525090619922
D2FSS-txt-2 31  2048    2   96  3078.4684899263084  354.93037816882133
D2FSS-txt-1 31  2048    1   96  3107.8082570955157  317.3328328356147
D2FSS-txt-0.5   31  2048    0.5 96  3221.6174559630454  261.33179012313485
PMH-bin-8-5000000   31  1024    8   96  2660.7507365196943  177.89003579691052
PMH-bin-4-5000000   31  1024    4   96  2563.1721715666354  211.85297077521682
