##Options: Namespace(fnames='fns.txt', k=['31'], nrepeat=1, nthreads=['96'], sketchsize=['1024'])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	1024	8	96	2311.4570605754852	3630.228404045105
Bindash-8	31	1024	8	96	2397.504446744919	219.23190784454346
Bindash-4	31	1024	4	96	2406.894611120224	235.4698522090912
Bindash-2	31	1024	2	96	2475.7979357242584	215.81257843971252
Bindash-1	31	1024	1	96	2491.339898109436	227.24520635604858
Bindash-0.5	31	1024	0.5	96	2436.621912717819	211.90610790252686
Dashing1-bin	31	1024	1	96	501.6793541908264	765.9828863143921
Dashing1-txt	31	1024	1	96	504.18472385406494	2877.636025905609
D2OP-bin-8	31	1024	8	96	750.8750762939453	163.1798119544983
D2OP-bin-4	31	1024	4	96	842.3800489902496	192.36080241203308
D2OP-bin-2	31	1024	2	96	965.4577252864838	154.6539912223816
D2OP-bin-1	31	1024	1	96	1083.64421749115	156.1231665611267
D2OP-bin-0.5	31	1024	0.5	96	1200.9943397045135	136.53612899780273
D2FSS-bin-8	31	1024	8	96	964.2478003501892	171.4545533657074
D2FSS-bin-4	31	1024	4	96	952.9647326469421	196.47915244102478
D2FSS-bin-2	31	1024	2	96	945.0680527687073	199.05687832832336
D2FSS-bin-1	31	1024	1	96	946.9559104442596	176.39860916137695
D2FSS-bin-0.5	31	1024	0.5	96	1543.1200065612793	151.19993114471436
D2OP-txt-8	31	1024	8	96	1462.8314321041107	423.9054081439972
D2OP-txt-4	31	1024	4	96	1540.588323354721	394.3779807090759
D2OP-txt-2	31	1024	2	96	1688.8942527770996	324.4983742237091
D2OP-txt-1	31	1024	1	96	1809.1139197349548	295.1377046108246
D2OP-txt-0.5	31	1024	0.5	96	1920.7495548725128	298.4928979873657
D2FSS-txt-8	31	1024	8	96	2052.8094947338104	1078.2131774425507
D2FSS-txt-4	31	1024	4	96	2270.009881734848	384.8494999408722
D2FSS-txt-2	31	1024	2	96	2358.5454359054565	319.8080008029938
D2FSS-txt-1	31	1024	1	96	2491.0834395885468	328.8807451725006
D2FSS-txt-0.5	31	1024	0.5	96	2563.324047088623	277.73499393463135
