##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=1, nthreads=['96'], sketchsize=['4096'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	4096	8	96	541.0783171653748	161.37998008728027
Bindash-8	31	4096	8	96	545.4892461299896	24.019798755645752
Bindash-4	31	4096	4	96	549.205394744873	23.243164539337158
Bindash-2	31	4096	2	96	542.8048830032349	22.8379385471344
Bindash-1	31	4096	1	96	544.8928723335266	22.69297742843628
Bindash-0.5	31	4096	0.5	96	567.6998772621155	22.52594542503357
Dashing1-bin	31	4096	1	96	103.31904125213623	107.06941080093384
Dashing1-txt	31	4096	1	96	102.18696141242981	211.68901133537292
D2OP-bin-8	31	4096	8	96	160.00090551376343	30.420214891433716
D2OP-bin-4	31	4096	4	96	158.90285563468933	25.99499773979187
D2OP-bin-2	31	4096	2	96	159.57155656814575	15.592921733856201
D2OP-bin-1	31	4096	1	96	159.6162395477295	14.821193933486938
D2OP-bin-0.5	31	4096	0.5	96	157.5583620071411	14.307206392288208
D2FSS-bin-8	31	4096	8	96	255.92486333847046	30.492851734161377
D2FSS-bin-4	31	4096	4	96	301.75215554237366	27.104875087738037
D2FSS-bin-2	31	4096	2	96	300.4496839046478	16.25108242034912
D2FSS-bin-1	31	4096	1	96	288.0885407924652	14.421582698822021
D2FSS-bin-0.5	31	4096	0.5	96	279.10019636154175	15.986625671386719
D2OP-txt-8	31	4096	8	96	160.16200160980225	33.81458234786987
D2OP-txt-4	31	4096	4	96	157.88847041130066	33.830909729003906
D2OP-txt-2	31	4096	2	96	157.33336448669434	26.756688594818115
D2OP-txt-1	31	4096	1	96	162.077712059021	25.64631485939026
D2OP-txt-0.5	31	4096	0.5	96	160.08666443824768	21.121030569076538
D2FSS-txt-8	31	4096	8	96	287.05342984199524	34.79603457450867
D2FSS-txt-4	31	4096	4	96	297.2139549255371	34.95816993713379
D2FSS-txt-2	31	4096	2	96	261.6167356967926	25.989126682281494
D2FSS-txt-1	31	4096	1	96	279.73793721199036	26.75447654724121
D2FSS-txt-0.5	31	4096	0.5	96	287.946058511734	22.378873348236084
