#Calling Dashing2 version v2.1.5.1-7-gaf30 with command '/scratch4/blangme2/dnb/dashing2-experiments/allpairs/thresholded/dashing2 dashing2 sketch --cache -k 10 -o uniprot_sprot.fasta.gz.LSH-assisted.sketches.bin --cmpout uniprot_sprot.fasta.gz.LSH-assisted.topk.matrix -p48 -S256 --protein14 --nLSH 2 --topk 256 --sig-ram-limit 300000 --parse-by-seq uniprot_sprot.fasta.gz'
Parsing amino acid sequences with 14-letter compressed alphabet.
Index building took 29.4728s. KNN Generation took 13.6619s
List refinement took 5.09448s.
Emitting list took 128.004s.
#Calling Dashing2 version v2.1.5.1-7-gaf30 with command '/scratch4/blangme2/dnb/dashing2-experiments/allpairs/thresholded/dashing2 dashing2 sketch --cache -k 10 -o uniprot_sprot.fasta.gz.exact.sketches.bin --cmpout uniprot_sprot.fasta.gz.exact.topk.matrix -p48 -S256 --protein14 --nLSH 2 --topk 256 --sig-ram-limit 300000 --parse-by-seq uniprot_sprot.fasta.gz'
Parsing amino acid sequences with 14-letter compressed alphabet.
Finished processing 256/565254 lines; estimated 234023s left
Finished processing 512/565254 lines; estimated 118983s left
Finished processing 768/565254 lines; estimated 80584.7s left
Finished processing 1024/565254 lines; estimated 61308.4s left
Finished processing 1280/565254 lines; estimated 49810.6s left
Finished processing 1536/565254 lines; estimated 42094.8s left
Finished processing 1792/565254 lines; estimated 36586.7s left
Finished processing 2048/565254 lines; estimated 32364.4s left
Finished processing 2304/565254 lines; estimated 29138.9s left
Finished processing 2560/565254 lines; estimated 26499.3s left
Finished processing 2816/565254 lines; estimated 24371.2s left
Finished processing 3072/565254 lines; estimated 22585.9s left
Finished processing 3328/565254 lines; estimated 21058.8s left
Finished processing 3584/565254 lines; estimated 19775.4s left
Finished processing 3840/565254 lines; estimated 18653.6s left
Finished processing 4096/565254 lines; estimated 17658.1s left
Finished processing 4352/565254 lines; estimated 16799.6s left
Finished processing 4608/565254 lines; estimated 16030.5s left
Finished processing 4864/565254 lines; estimated 15329.8s left
Finished processing 5120/565254 lines; estimated 14716s left
Finished processing 5376/565254 lines; estimated 14155.7s left
Finished processing 5632/565254 lines; estimated 13650.8s left
Finished processing 5888/565254 lines; estimated 13175.3s left
Finished processing 6144/565254 lines; estimated 12750.2s left
Finished processing 6400/565254 lines; estimated 12361.5s left
Finished processing 6656/565254 lines; estimated 12000.9s left
Finished processing 6912/565254 lines; estimated 11657.1s left
Finished processing 7168/565254 lines; estimated 11350.4s left
Finished processing 7424/565254 lines; estimated 11062s left
Finished processing 7680/565254 lines; estimated 10783.6s left
Finished processing 7936/565254 lines; estimated 10532.4s left
Finished processing 8192/565254 lines; estimated 10296.8s left
Finished processing 8448/565254 lines; estimated 10075.7s left
Finished processing 8704/565254 lines; estimated 9858.75s left
Finished processing 8960/565254 lines; estimated 9662.32s left
Finished processing 9216/565254 lines; estimated 9476.34s left
Finished processing 9472/565254 lines; estimated 9300.83s left
Finished processing 9728/565254 lines; estimated 9126.91s left
Finished processing 9984/565254 lines; estimated 8968.39s left
Finished processing 10240/565254 lines; estimated 8819.23s left
Finished processing 10496/565254 lines; estimated 8669.42s left
Finished processing 10752/565254 lines; estimated 8533.23s left
Finished processing 11008/565254 lines; estimated 8403.91s left
Finished processing 11264/565254 lines; estimated 8273.86s left
Finished processing 11520/565254 lines; estimated 8155.44s left
Finished processing 11776/565254 lines; estimated 8042.3s left
Finished processing 12032/565254 lines; estimated 7934.13s left
Finished processing 12288/565254 lines; estimated 7824.37s left
Finished processing 12544/565254 lines; estimated 7724.1s left
Finished processing 12800/565254 lines; estimated 7629.51s left
Finished processing 13056/565254 lines; estimated 7535.49s left
Finished processing 13312/565254 lines; estimated 7440.99s left
Finished processing 13568/565254 lines; estimated 7358.75s left
Finished processing 13824/565254 lines; estimated 7274.69s left
Finished processing 14080/565254 lines; estimated 7190.38s left
Finished processing 14336/565254 lines; estimated 7116.5s left
Finished processing 14592/565254 lines; estimated 7040.41s left
Finished processing 14848/565254 lines; estimated 6964.11s left
Finished processing 15104/565254 lines; estimated 6898.7s left
Finished processing 15360/565254 lines; estimated 6828.07s left
Finished processing 15616/565254 lines; estimated 6758.96s left
Finished processing 15872/565254 lines; estimated 6700.58s left
Finished processing 16128/565254 lines; estimated 6636.04s left
Finished processing 16384/565254 lines; estimated 6581.27s left
Finished processing 16640/565254 lines; estimated 6520.13s left
Finished processing 16896/565254 lines; estimated 6462.85s left
Finished processing 17152/565254 lines; estimated 6412.88s left
Finished processing 17408/565254 lines; estimated 6362.37s left
Finished processing 17664/565254 lines; estimated 6310.34s left
Finished processing 17920/565254 lines; estimated 6257.12s left
Finished processing 18176/565254 lines; estimated 6214.47s left
Finished processing 18432/565254 lines; estimated 6164.08s left
Finished processing 18688/565254 lines; estimated 6120.89s left
Finished processing 18944/565254 lines; estimated 6074.86s left
Finished processing 19200/565254 lines; estimated 6028.27s left
Finished processing 19456/565254 lines; estimated 5989.13s left
Finished processing 19712/565254 lines; estimated 5945.17s left
Finished processing 19968/565254 lines; estimated 5901.39s left
Finished processing 20224/565254 lines; estimated 5865.35s left
Finished processing 20480/565254 lines; estimated 5823.37s left
Finished processing 20736/565254 lines; estimated 5782.41s left
Finished processing 20992/565254 lines; estimated 5749.11s left
Finished processing 21248/565254 lines; estimated 5709.96s left
Finished processing 21504/565254 lines; estimated 5671.72s left
Finished processing 21760/565254 lines; estimated 5640.76s left
Finished processing 22016/565254 lines; estimated 5604.18s left
Finished processing 22272/565254 lines; estimated 5568.37s left
Finished processing 22528/565254 lines; estimated 5539.5s left
Finished processing 22784/565254 lines; estimated 5505.23s left
Finished processing 23040/565254 lines; estimated 5471.65s left
Finished processing 23296/565254 lines; estimated 5444.69s left
Finished processing 23552/565254 lines; estimated 5412.49s left
Finished processing 23808/565254 lines; estimated 5383.69s left
Finished processing 24064/565254 lines; estimated 5356.43s left
Finished processing 24320/565254 lines; estimated 5326.04s left
Finished processing 24576/565254 lines; estimated 5301.9s left
Finished processing 24832/565254 lines; estimated 5272.67s left
Finished processing 25088/565254 lines; estimated 5243.98s left
Finished processing 25344/565254 lines; estimated 5221.26s left
Finished processing 25600/565254 lines; estimated 5193.67s left
Finished processing 25856/565254 lines; estimated 5166.52s left
Finished processing 26112/565254 lines; estimated 5145.16s left
Finished processing 26368/565254 lines; estimated 5118.98s left
Finished processing 26624/565254 lines; estimated 5093.33s left
Finished processing 26880/565254 lines; estimated 5073.18s left
Finished processing 27136/565254 lines; estimated 5048.33s left
Finished processing 27392/565254 lines; estimated 5023.95s left
Finished processing 27648/565254 lines; estimated 5004.98s left
Finished processing 27904/565254 lines; estimated 4981.43s left
Finished processing 28160/565254 lines; estimated 4958.23s left
Finished processing 28416/565254 lines; estimated 4940.56s left
Finished processing 28672/565254 lines; estimated 4918.49s left
Finished processing 28928/565254 lines; estimated 4896.72s left
Finished processing 29184/565254 lines; estimated 4880.26s left
Finished processing 29440/565254 lines; estimated 4858.97s left
Finished processing 29696/565254 lines; estimated 4842.48s left
Finished processing 29952/565254 lines; estimated 4821.68s left
Finished processing 30208/565254 lines; estimated 4801.27s left
Finished processing 30464/565254 lines; estimated 4785.68s left
Finished processing 30720/565254 lines; estimated 4765.81s left
Finished processing 30976/565254 lines; estimated 4746.25s left
Finished processing 31232/565254 lines; estimated 4731.42s left
Finished processing 31488/565254 lines; estimated 4712.41s left
Finished processing 31744/565254 lines; estimated 4693.68s left
Finished processing 32000/565254 lines; estimated 4679.51s left
Finished processing 32256/565254 lines; estimated 4661.34s left
Finished processing 32512/565254 lines; estimated 4643.4s left
Finished processing 32768/565254 lines; estimated 4629.87s left
Finished processing 33024/565254 lines; estimated 4612.44s left
Finished processing 33280/565254 lines; estimated 4595.26s left
Finished processing 33536/565254 lines; estimated 4582.38s left
Finished processing 33792/565254 lines; estimated 4565.62s left
Finished processing 34048/565254 lines; estimated 4549.15s left
Finished processing 34304/565254 lines; estimated 4536.8s left
Finished processing 34560/565254 lines; estimated 4520.72s left
Finished processing 34816/565254 lines; estimated 4504.91s left
Finished processing 35072/565254 lines; estimated 4493.33s left
Finished processing 35328/565254 lines; estimated 4477.86s left
Finished processing 35584/565254 lines; estimated 4466.37s left
Finished processing 35840/565254 lines; estimated 4451.29s left
Finished processing 36096/565254 lines; estimated 4436.44s left
Finished processing 36352/565254 lines; estimated 4425.41s left
Finished processing 36608/565254 lines; estimated 4410.82s left
Finished processing 36864/565254 lines; estimated 4396.49s left
Finished processing 37120/565254 lines; estimated 4385.89s left
Finished processing 37376/565254 lines; estimated 4371.82s left
Finished processing 37632/565254 lines; estimated 4357.95s left
Finished processing 37888/565254 lines; estimated 4347.81s left
Finished processing 38144/565254 lines; estimated 4334.22s left
Finished processing 38400/565254 lines; estimated 4320.81s left
Finished processing 38656/565254 lines; estimated 4311.08s left
Finished processing 38912/565254 lines; estimated 4297.96s left
Finished processing 39168/565254 lines; estimated 4286.11s left
Finished processing 39424/565254 lines; estimated 4276.54s left
Finished processing 39680/565254 lines; estimated 4266.29s left
Finished processing 39936/565254 lines; estimated 4254.15s left
Finished processing 40192/565254 lines; estimated 4243.78s left
Finished processing 40448/565254 lines; estimated 4233.92s left
Finished processing 40704/565254 lines; estimated 4223.49s left
Finished processing 40960/565254 lines; estimated 4211.59s left
Finished processing 41216/565254 lines; estimated 4202.22s left
Finished processing 41472/565254 lines; estimated 4191.78s left
Finished processing 41728/565254 lines; estimated 4180.42s left
Finished processing 41984/565254 lines; estimated 4171.86s left
Finished processing 42240/565254 lines; estimated 4161.12s left
Finished processing 42496/565254 lines; estimated 4149.97s left
Finished processing 42752/565254 lines; estimated 4142.07s left
Finished processing 43008/565254 lines; estimated 4130.95s left
Finished processing 43264/565254 lines; estimated 4122.82s left
Finished processing 43520/565254 lines; estimated 4112.2s left
Finished processing 43776/565254 lines; estimated 4101.4s left
Finished processing 44032/565254 lines; estimated 4093.75s left
Finished processing 44288/565254 lines; estimated 4083.17s left
Finished processing 44544/565254 lines; estimated 4072.68s left
Finished processing 44800/565254 lines; estimated 4065.26s left
Finished processing 45056/565254 lines; estimated 4054.98s left
Finished processing 45312/565254 lines; estimated 4044.81s left
