#Calling Dashing2 version v2.1.5.1-7-gaf30 with command '/scratch4/blangme2/dnb/dashing2-experiments/allpairs/thresholded/dashing2 dashing2 sketch --cache -k 11 -o uniprot_sprot.fasta.gz.LSH-assisted.sketches.bin --cmpout uniprot_sprot.fasta.gz.LSH-assisted.topk.matrix -p48 -S1024 --protein14 --nLSH 3 --topk 512 --sig-ram-limit 21474836480 --parse-by-seq uniprot_sprot.fasta.gz'
Parsing amino acid sequences with 14-letter compressed alphabet.
Index building took 143.169s. KNN Generation took 32.8672s
List refinement took 13.2497s.
Emitting list took 120.043s.
#Calling Dashing2 version v2.1.5.1-7-gaf30 with command '/scratch4/blangme2/dnb/dashing2-experiments/allpairs/thresholded/dashing2 dashing2 sketch --cache -k 11 -o uniprot_sprot.fasta.gz.exact.sketches.bin --cmpout uniprot_sprot.fasta.gz.exact.topk.matrix -p48 -S1024 --protein14 --nLSH 3 --topk 512 --sig-ram-limit 21474836480 --parse-by-seq uniprot_sprot.fasta.gz'
Parsing amino acid sequences with 14-letter compressed alphabet.
Finished processing 256/565254 lines; estimated 19153.3s left
Finished processing 512/565254 lines; estimated 19186.5s left
Finished processing 768/565254 lines; estimated 18965s left
Finished processing 1024/565254 lines; estimated 18997s left
Finished processing 1280/565254 lines; estimated 18949.1s left
Finished processing 1536/565254 lines; estimated 18922.9s left
Finished processing 1792/565254 lines; estimated 18828.6s left
Finished processing 2048/565254 lines; estimated 18712.3s left
Finished processing 2304/565254 lines; estimated 18742.3s left
Finished processing 2560/565254 lines; estimated 18928.7s left
Finished processing 2816/565254 lines; estimated 18790.9s left
Finished processing 3072/565254 lines; estimated 18732.2s left
Finished processing 3328/565254 lines; estimated 18847.1s left
Finished processing 3584/565254 lines; estimated 18726.9s left
Finished processing 3840/565254 lines; estimated 18726.9s left
Finished processing 4096/565254 lines; estimated 18748.9s left
Finished processing 4352/565254 lines; estimated 18614.8s left
Finished processing 4608/565254 lines; estimated 18646.3s left
Finished processing 4864/565254 lines; estimated 18502.1s left
Finished processing 5120/565254 lines; estimated 18353.2s left
Finished processing 5376/565254 lines; estimated 18353.5s left
Finished processing 5632/565254 lines; estimated 18223.2s left
Finished processing 5888/565254 lines; estimated 18192.6s left
Finished processing 6144/565254 lines; estimated 18128.2s left
Finished processing 6400/565254 lines; estimated 18019.7s left
Finished processing 6656/565254 lines; estimated 18025.8s left
Finished processing 6912/565254 lines; estimated 17903.6s left
Finished processing 7168/565254 lines; estimated 17805.4s left
Finished processing 7424/565254 lines; estimated 17807.8s left
Finished processing 7680/565254 lines; estimated 17706.9s left
Finished processing 7936/565254 lines; estimated 17612.8s left
Finished processing 8192/565254 lines; estimated 17610.1s left
Finished processing 8448/565254 lines; estimated 17517s left
Finished processing 8704/565254 lines; estimated 17439.8s left
Finished processing 8960/565254 lines; estimated 17429.8s left
Finished processing 9216/565254 lines; estimated 17353.3s left
Finished processing 9472/565254 lines; estimated 17275.8s left
Finished processing 9728/565254 lines; estimated 17275.6s left
Finished processing 9984/565254 lines; estimated 17204.1s left
Finished processing 10240/565254 lines; estimated 17131.6s left
Finished processing 10496/565254 lines; estimated 17131.9s left
Finished processing 10752/565254 lines; estimated 17063.6s left
Finished processing 11008/565254 lines; estimated 16999.9s left
Finished processing 11264/565254 lines; estimated 16967.9s left
Finished processing 11520/565254 lines; estimated 16928.7s left
Finished processing 11776/565254 lines; estimated 16873.5s left
Finished processing 12032/565254 lines; estimated 16797.3s left
Finished processing 12288/565254 lines; estimated 16800.7s left
Finished processing 12544/565254 lines; estimated 16773.3s left
Finished processing 12800/565254 lines; estimated 16742.1s left
Finished processing 13056/565254 lines; estimated 16740.9s left
Finished processing 13312/565254 lines; estimated 16734.4s left
Finished processing 13568/565254 lines; estimated 16665.8s left
