Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 1 [0.0->0.0078125]	0:10	0:11	0:12	0:13	0:14
Bucket 2 [0.0078125->0.015625]	0:1	0:2	0:3	0:4	0:5
Bucket 3 [0.015625->0.0234375]	0:1511	0:3075	0:3464	0:3466	1:3075
Bucket 4 [0.0234375->0.03125]	1:1511	2:1511	3:1511	12:14	13:14
Bucket 5 [0.03125->0.0390625]	1:3	2:3	130:175	130:200	130:209
Bucket 6 [0.0390625->0.046875]	10:11	130:153	153:236	153:242	154:181
Bucket 7 [0.046875->0.0546875]	156:173	156:185	156:195	159:187	190:206
Bucket 8 [0.0546875->0.0625]	12:13	159:178	159:193	177:188	215:223
Bucket 9 [0.0625->0.0703125]	6:8	7:8	72:80	73:83	76:84
Bucket 10 [0.0703125->0.078125]	6:7	79:87	175:182	181:199	184:186
Bucket 11 [0.078125->0.0859375]	114:120	184:199	215:217	216:217	217:223
Bucket 12 [0.0859375->0.09375]	1:2	182:192	186:199	215:216	311:413
Bucket 13 [0.09375->0.1015625]	173:185	178:187	185:195	328:413	343:413
Bucket 14 [0.1015625->0.109375]	187:193	311:350	311:426	311:427	343:350
Bucket 15 [0.109375->0.1171875]	176:202	178:193	311:328	311:363	328:355
Bucket 16 [0.1171875->0.125]	175:192	328:343	328:352	328:353	328:357
Bucket 17 [0.125->0.1328125]	316:375	316:416	317:375	317:416	363:393
Bucket 18 [0.1328125->0.140625]	75:82	102:108	310:375	310:416	310:424
Bucket 19 [0.140625->0.1484375]	310:545	531:539	556:570	556:573	564:606
Bucket 20 [0.1484375->0.15625]	381:386	381:390	381:391	535:537	537:542
Bucket 21 [0.15625->0.1640625]	423:531	429:537	531:535	556:594	556:669
Bucket 22 [0.1640625->0.171875]	200:236	200:242	423:537	531:542	556:568
Bucket 23 [0.171875->0.1796875]	143:198	394:529	429:531	528:537	556:593
Bucket 24 [0.1796875->0.1875]	383:540	421:533	425:533	528:531	562:625
Bucket 25 [0.1875->0.1953125]	420:533	525:537	562:624	581:754	597:1271
Bucket 26 [0.1953125->0.203125]	26:27	283:308	383:544	394:521	421:537
Bucket 27 [0.203125->0.2109375]	162:198	209:236	209:242	224:241	433:531
Bucket 28 [0.2109375->0.21875]	383:433	383:531	421:531	425:531	562:598
