Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 1 [0.0->0.001953125]	0:29	0:30	0:31	0:32	0:34
Bucket 2 [0.001953125->0.00390625]	0:17	0:18	0:19	0:21	0:22
Bucket 3 [0.00390625->0.005859375]	0:10	0:11	0:16	0:20	0:2489
Bucket 4 [0.005859375->0.0078125]	0:12	0:13	0:14	0:15	0:1312
Bucket 5 [0.0078125->0.009765625]	0:5	0:6	0:7	0:8	0:9
Bucket 6 [0.009765625->0.01171875]	0:3	0:4	0:1821	0:2044	0:2727
Bucket 7 [0.01171875->0.013671875]	0:1	0:2	0:2095	1:2727	1:3488
Bucket 8 [0.013671875->0.015625]	1:2095	2:2095	5:3464	5:3466	26:28
Bucket 9 [0.015625->0.017578125]	0:3075	0:3464	0:3466	3:3464	3:3466
Bucket 10 [0.017578125->0.01953125]	1:3075	1:3464	1:3466	2:3464	2:3466
Bucket 11 [0.01953125->0.021484375]	2:3075	5:1511	158:181	158:184	158:186
Bucket 12 [0.021484375->0.0234375]	0:1511	163:176	165:209	175:200	189:238
Bucket 13 [0.0234375->0.025390625]	3:1511	117:130	141:145	141:149	141:152
Bucket 14 [0.025390625->0.02734375]	1:1511	2:1511	153:192	162:179	164:168
Bucket 15 [0.02734375->0.029296875]	130:192	143:179	153:165	154:158	179:198
Bucket 16 [0.029296875->0.03125]	12:14	13:14	130:165	130:182	147:166
Bucket 17 [0.03125->0.033203125]	130:175	130:200	159:241	168:180	171:178
Bucket 18 [0.033203125->0.03515625]	130:209	130:236	130:242	177:235	177:239
Bucket 19 [0.03515625->0.037109375]	1:3	2:3	188:247	205:238	205:251
Bucket 20 [0.037109375->0.0390625]	150:226	153:200	153:209	165:192	177:247
Bucket 21 [0.0390625->0.041015625]	10:11	153:236	153:242	159:171	165:175
Bucket 22 [0.041015625->0.04296875]	154:181	154:199	165:182	247:255	529:580
Bucket 23 [0.04296875->0.044921875]	130:153	154:184	381:580	595:1298	596:1070
Bucket 24 [0.044921875->0.046875]	154:186	245:256	255:257	413:415	413:434
Bucket 25 [0.046875->0.048828125]	343:415	350:415	350:434	352:415	353:415
Bucket 26 [0.048828125->0.05078125]	311:415	328:415	328:434	363:434	372:434
Bucket 27 [0.05078125->0.052734375]	156:173	156:195	159:187	352:434	353:434
Bucket 28 [0.052734375->0.0546875]	156:185	190:206	311:434	343:434	393:434
Bucket 29 [0.0546875->0.056640625]	12:13	159:178	235:247	239:247	240:247
Bucket 30 [0.056640625->0.05859375]	159:193	215:223	595:1544	596:1399	665:1399
Bucket 31 [0.05859375->0.060546875]	596:1088	621:746	665:1088	714:980	715:980
Bucket 32 [0.060546875->0.0625]	177:188	216:223	583:1544	596:785	596:819
Bucket 33 [0.0625->0.064453125]	6:8	7:8	73:83	76:84	181:184
Bucket 34 [0.064453125->0.06640625]	235:257	239:257	240:257	582:1544	583:1563
