Bucket 0 [0.]	0:110	0:113	0:121	0:130	0:138
Bucket 1 [0->0.000976562]	0:45	0:47	0:48	0:49	0:50
Bucket 2 [0.000976562->0.00195312]	0:29	0:30	0:31	0:32	0:34
Bucket 3 [0.00195312->0.00292969]	0:21	0:22	0:23	0:24	0:25
Bucket 4 [0.00292969->0.00390625]	0:17	0:18	0:19	0:1857	0:1967
Bucket 5 [0.00390625->0.00488281]	0:16	0:20	0:2736	0:3300	0:3335
Bucket 6 [0.00488281->0.00585938]	0:10	0:11	0:2489	0:2655	1:29811
Bucket 7 [0.00585938->0.00683594]	0:12	0:13	0:14	0:1312	0:1814
Bucket 8 [0.00683594->0.0078125]	0:15	0:1329	0:3308	0:3431	0:3446
Bucket 9 [0.0078125->0.00878906]	0:9	0:1590	0:1828	0:1900	0:1932
Bucket 10 [0.00878906->0.00976562]	0:5	0:6	0:7	0:8	0:2386
Bucket 11 [0.00976562->0.0107422]	0:4	0:1821	0:2044	0:3703	0:9502
Bucket 12 [0.0107422->0.0117188]	0:3	0:2727	0:3488	0:10399	1:29806
Bucket 13 [0.0117188->0.0126953]	0:1	0:2	0:7535	1:39303	1:40200
Bucket 14 [0.0126953->0.0136719]	0:2095	1:32528	1:33289	1:37336	2:62329
Bucket 15 [0.0136719->0.0146484]	1:31896	2:61697	2:67137	12:58195	38:13618
Bucket 16 [0.0146484->0.015625]	7:8590	7:8592	36:55709	36:55714	39:43429
Bucket 17 [0.015625->0.0166016]	0:3464	0:3466	4:20925	4:20927	7:8201
Bucket 18 [0.0166016->0.0175781]	0:3075	5:48774	12:53915	21:16961	159:64404
Bucket 19 [0.0175781->0.0185547]	0:5791	1:33265	1:33267	4:20536	4:23252
Bucket 20 [0.0185547->0.0195312]	1:32876	2:63066	2:63068	179:51681	266:8739
Bucket 21 [0.0195312->0.0205078]	1:35592	2:62677	7:6637	223:44667	223:44682
Bucket 22 [0.0205078->0.0214844]	2:65393	223:44664	223:44669	230:50582	236:26660
Bucket 23 [0.0214844->0.0224609]	230:50556	307:15558	463:14623	473:9756	473:9764
Bucket 24 [0.0224609->0.0234375]	0:1511	233:38612	247:50491	267:38662	267:38675
Bucket 25 [0.0234375->0.0244141]	4:18972	165:40231	199:39107	233:38603	233:38645
Bucket 26 [0.0244141->0.0253906]	199:39111	199:39114	230:50583	232:8714	233:38639
Bucket 27 [0.0253906->0.0263672]	1:31312	2:61113	216:38802	232:8702	257:44541
Bucket 28 [0.0263672->0.0273438]	229:20691	236:26605	290:15128	300:9358	304:27406
Bucket 29 [0.0273438->0.0283203]	216:38775	217:68632	266:8788	440:36013	463:14653
Bucket 30 [0.0283203->0.0292969]	183:69505	202:27115	253:26594	294:33101	294:33110
Bucket 31 [0.0292969->0.0302734]	183:69478	208:3065	216:38785	216:38792	250:38584
Bucket 32 [0.0302734->0.03125]	16:69900	18:27777	183:69495	225:2852	242:2689
Bucket 33 [0.03125->0.0322266]	225:2869	242:2680	242:2695	285:68739	338:28639
Bucket 34 [0.0322266->0.0332031]	183:69488	183:69513	237:56481	250:38596	305:57270
Bucket 35 [0.0332031->0.0341797]	183:69522	183:69555	266:8800	304:27380	910:59532
Bucket 36 [0.0341797->0.0351562]	183:69549	250:38576	250:38580	250:38581	266:8780
Bucket 37 [0.0351562->0.0361328]	1:29804	344:5046	826:63635	845:26971	849:46066
Bucket 38 [0.0361328->0.0371094]	2:59605	266:8792	290:15113	290:15126	336:70356
Bucket 39 [0.0371094->0.0380859]	212:20977	216:38810	250:38588	697:35660	851:5192
Bucket 40 [0.0380859->0.0390625]	216:38819	233:38595	332:52276	338:28651	339:58551
Bucket 41 [0.0390625->0.0400391]	225:2799	233:38578	266:8802	510:2169	517:9261
Bucket 42 [0.0400391->0.0410156]	14:10287	216:38846	216:38852	250:38598	368:12322
Bucket 43 [0.0410156->0.0419922]	217:68655	349:53057	828:21966	1091:50759	1114:38020
Bucket 44 [0.0419922->0.0429688]	217:68673	233:38585	750:6683	851:5764	1051:58266
Bucket 45 [0.0429688->0.0439453]	217:68658	539:60052	851:5779	1091:50817	1114:37359
Bucket 46 [0.0439453->0.0449219]	183:69466	843:68721	845:27441	892:24710	943:41398
Bucket 47 [0.0449219->0.0458984]	346:64851	361:5937	585:19430	1001:68125	1013:25155
Bucket 48 [0.0458984->0.046875]	217:68660	585:19449	588:8029	588:8030	851:5468
Bucket 49 [0.046875->0.0478516]	495:59930	845:27183	892:23968	943:41140	1180:7556
Bucket 50 [0.0478516->0.0488281]	485:64685	495:59949	498:48374	500:6875	502:66771
Bucket 51 [0.0488281->0.0498047]	464:44411	514:20640	527:4526	892:26803	1070:24666
Bucket 52 [0.0498047->0.0507812]	440:35996	464:44430	824:3630	892:24402	892:26479
Bucket 53 [0.0507812->0.0517578]	220:56649	220:56671	502:66790	892:26119	892:26141
Bucket 54 [0.0517578->0.0527344]	225:2815	498:48393	500:6894	505:55245	806:69207
Bucket 55 [0.0527344->0.0537109]	485:64704	559:50995	561:9575	892:25424	1051:58580
Bucket 56 [0.0537109->0.0546875]	220:56661	268:68509	440:36015	556:62454	845:27755
Bucket 57 [0.0546875->0.0556641]	16:69899	338:28643	339:58543	831:10908	832:40959
Bucket 58 [0.0556641->0.0566406]	225:2806	332:52268	1164:32121	1452:53394	1452:53395
Bucket 59 [0.0566406->0.0576172]	225:2821	304:27384	845:27770	943:41727	994:59533
Bucket 60 [0.0576172->0.0585938]	843:68967	1051:58284	1127:25194	1384:13472	1452:53419
Bucket 61 [0.0585938->0.0595703]	880:67662	1023:23304	1033:21283	1051:58015	1452:53368
Bucket 62 [0.0595703->0.0605469]	845:27459	943:41416	1013:25376	1014:55476	1017:44747
Bucket 63 [0.0605469->0.0615234]	250:38529	892:24001	943:41113	943:41147	994:59767
Bucket 64 [0.0615234->0.0625]	305:57274	826:63964	845:27156	845:27190	1127:27899
Bucket 65 [0.0625->0.0634766]	8:34937	9:64740	103:19831	1127:25222	1127:25623
Bucket 66 [0.0634766->0.0644531]	107:37486	256:14640	880:67896	1057:37405	1153:1626
Bucket 67 [0.0644531->0.0654297]	332:52278	338:28653	339:58553	825:33920	826:63983
Bucket 68 [0.0654297->0.0664062]	994:59623	1013:25188	1013:25197	1013:25198	1013:25230
Bucket 69 [0.0664062->0.0673828]	101:61841	824:3876	824:3895	825:33939	892:25946
Bucket 70 [0.0673828->0.0683594]	349:53059	825:33674	831:10959	892:26338	994:59579
Bucket 71 [0.0683594->0.0693359]	256:14642	826:63717	839:49020	946:30200	946:30201
Bucket 72 [0.0693359->0.0703125]	880:67752	994:59595	1057:37159	1163:1941	1174:30284
Bucket 73 [0.0703125->0.0712891]	8:34936	880:67750	892:26273	946:30187	1070:24665
Bucket 74 [0.0712891->0.0722656]	880:67704	880:67708	880:67717	880:67718	1127:26941
Bucket 75 [0.0722656->0.0732422]	247:50473	880:67699	880:67700	880:67705	880:67707
Bucket 76 [0.0732422->0.0742188]	256:14655	824:3401	892:26772	1070:24437	1077:32997
Bucket 77 [0.0742188->0.0751953]	824:3629	825:33445	892:23994	1048:68851	1131:44405
Bucket 78 [0.0751953->0.0761719]	515:50526	880:67583	946:30245	1078:63630	1164:32726
Bucket 79 [0.0761719->0.0771484]	260:32584	825:33673	892:25035	892:25825	892:26126
Bucket 80 [0.0771484->0.078125]	111:55150	1127:26934	1127:26956	1519:65381	1846:17933
Bucket 81 [0.078125->0.0791016]	260:32597	304:27378	1127:26239	1524:15922	1524:15935
Bucket 82 [0.0791016->0.0800781]	826:63489	892:24638	1057:36930	1164:31588	1846:17891
Bucket 83 [0.0800781->0.0810547]	1164:31980	1174:30163	1714:35776	1714:35798	1754:41002
Bucket 84 [0.0810547->0.0820312]	161:22458	1174:29048	1174:29146	1174:30464	1524:15469
