Bucket 0 [0.]	0:110	0:113	0:121	0:130	0:138	0:141	0:142	0:143	0:146	0:148	0:149	0:150	0:152	0:154	0:157	0:158	0:159	0:161	0:162	0:163
Bucket 1 [0->0.000488281]	0:52	0:53	0:54	0:55	0:57	0:58	0:59	0:60	0:61	0:62	0:63	0:64	0:65	0:66	0:67	0:68	0:69	0:70	0:71	0:72
Bucket 2 [0.000488281->0.000976562]	0:45	0:47	0:48	0:49	0:50	0:51	0:56	0:787	0:1327	0:1568	0:1596	0:1598	0:1702	0:1870	0:1889	0:2040	0:2220	0:2426	0:2654	0:2814
Bucket 3 [0.000976562->0.00146484]	0:43	0:44	0:46	0:1593	0:1756	0:2208	0:2364	0:3188	0:3595	0:3692	0:3756	0:3801	0:3830	0:3907	0:3962	0:4227	0:5372	0:5637	0:5826	0:5828
Bucket 4 [0.00146484->0.00195312]	0:29	0:30	0:31	0:32	0:34	0:35	0:36	0:37	0:38	0:39	0:40	0:41	0:42	0:1944	0:1980	0:2390	0:4645	0:5476	0:6082	0:6095
Bucket 5 [0.00195312->0.00244141]	0:24	0:25	0:26	0:27	0:28	0:33	0:3432	0:3618	0:3663	0:3793	0:3828	0:3835	0:3903	0:3976	0:4313	0:4318	0:4336	0:4366	0:4580	0:19636
Bucket 6 [0.00244141->0.00292969]	0:21	0:22	0:23	0:750	0:2127	0:3502	0:3619	0:3651	0:3657	0:3688	0:3877	0:4000	0:4040	0:4793	0:18471	0:23455	0:25344	0:27786	1:30551	1:31928
Bucket 7 [0.00292969->0.00341797]	0:17	0:19	0:1857	0:2906	1:29822	1:29823	1:29824	1:31658	1:33452	1:33678	1:41954	1:48272	1:57587	2:59623	2:59624	2:59625	2:61459	2:61729	2:63253	2:63479
Bucket 8 [0.00341797->0.00390625]	0:18	0:1967	0:12153	0:20265	0:34447	1:31768	1:55145	1:64248	2:59621	2:61569	2:71755	3:13003	4:17481	4:19428	4:20796	4:32796	4:37726	5:49752	5:50719	7:5142
Bucket 9 [0.00390625->0.00439453]	0:16	0:20	0:3335	0:3487	0:4066	0:15335	1:29817	1:29818	1:29819	1:29820	1:33136	1:45136	1:50066	2:59618	2:59619	2:59620	2:62937	3:2994	3:7924	3:22106
Bucket 10 [0.00439453->0.00488281]	0:2736	0:3300	0:3456	0:4017	1:29821	1:33288	2:59622	2:63089	4:20197	4:20917	5:47275	5:47276	5:47277	5:48575	5:49077	5:49221	5:50709	5:50710	5:52548	7:7615
