Bucket 0 [0.]	0:20	0:319	0:694	0:833	0:1121	0:1232	0:1323	0:1327	0:1331	0:1332
Bucket 1 [0->0.00390625]	0:1	0:2	0:3	0:5	0:15	0:44	0:46	0:47	0:48	0:49
Bucket 2 [0.00390625->0.0078125]	0:12	0:13	0:14	0:18	0:43	0:62	0:97	0:98	0:101	0:109
Bucket 3 [0.0078125->0.0117188]	0:21	0:22	0:23	0:24	0:25	0:26	0:27	0:28	0:29	0:30
Bucket 4 [0.0117188->0.015625]	0:17	0:42	0:57	0:58	0:61	0:63	0:64	0:65	0:66	0:67
Bucket 5 [0.015625->0.0195312]	0:10	0:11	0:16	0:19	0:72	0:73	0:75	0:76	0:78	7:17662
Bucket 6 [0.0195312->0.0234375]	0:45	7:17668	7:17697	25:34152	29:15232	31:5779	32:51923	82:20052	82:20054	82:20056
Bucket 7 [0.0234375->0.0273438]	18:16407	20:6938	49:22580	62:12234	106:9442	106:9444	106:9445	109:46816	109:47723	109:49626
Bucket 8 [0.0273438->0.03125]	43:50870	104:18760	106:9422	106:9423	106:9435	109:47415	109:47420	109:49492	109:49816	115:18266
Bucket 9 [0.03125->0.0351562]	0:8	21:53094	21:53095	23:43629	23:43630	25:34167	25:34168	32:51938	32:51939	106:9420
Bucket 10 [0.0351562->0.0390625]	0:6	0:7	0:9	7:17660	106:9417	106:9418	117:8924	120:45778	128:8548	129:54731
Bucket 11 [0.0390625->0.0429688]	7:17658	7:17659	7:17661	71:20789	73:11397	75:2014	109:47014	109:47392	109:48959	109:49132
Bucket 12 [0.0429688->0.046875]	21:53076	23:43611	25:34149	109:46302	109:46981	109:47007	109:48048	109:48437	109:49139	109:49286
Bucket 13 [0.046875->0.0507812]	21:53078	21:53084	21:53090	21:53091	21:53092	21:53093	23:43613	23:43619	23:43625	23:43626
Bucket 14 [0.0507812->0.0546875]	0:4	21:53077	21:53080	21:53081	21:53083	21:53085	21:53086	21:53087	21:53088	23:43612
Bucket 15 [0.0546875->0.0585938]	32:51921	38:23603	118:55107	118:55108	118:55111	118:55113	124:27141	128:8516	128:8523	129:54700
Bucket 16 [0.0585938->0.0625]	80:29414	118:55105	118:55118	128:8517	128:8518	128:8519	128:8521	128:8522	128:8524	129:54712
Bucket 17 [0.0625->0.0664062]	42:4726	69:30184	118:55115	118:55119	118:55120	122:36458	129:54703	129:54708	129:54710	131:45404
Bucket 18 [0.0664062->0.0703125]	40:14163	47:32007	51:13156	53:3735	54:49884	56:40467	58:31053	60:21642	64:2829	65:48983
Bucket 19 [0.0703125->0.0742188]	45:41437	131:45395	131:45402	135:26795	135:26800	137:17491	139:8205	140:54388	142:45101	144:35807
Bucket 20 [0.0742188->0.078125]	118:55122	131:45407	133:36102	144:35812	293:12642	307:50838	317:5583	318:51856	318:51864	318:51873
Bucket 21 [0.078125->0.0820312]	140:54393	210:36590	285:48939	285:48974	304:13592	317:5589	317:5593	318:51871	318:51877	320:42823
Bucket 22 [0.0820312->0.0859375]	162:54007	162:54008	208:45083	285:48985	318:51863	320:42838	326:15748	337:16954	390:33202	396:6427
Bucket 23 [0.0859375->0.0898438]	21:53097	23:43632	25:34170	161:7809	161:7810	285:48968	326:15744	329:53010	337:16960	337:16966
Bucket 24 [0.0898438->0.09375]	115:18251	128:8528	128:8532	317:5591	317:5595	333:34978	333:34981	348:18272	355:37600	449:24884
Bucket 25 [0.09375->0.0976562]	117:8923	151:54156	326:15750	333:34972	333:34973	340:54228	340:54233	340:54236	340:54240	346:27264
Bucket 26 [0.0976562->0.101562]	32:51941	122:36459	128:8525	128:8530	153:44880	317:5608	333:34985	340:54234	346:27262	357:28603
Bucket 27 [0.101562->0.105469]	118:55106	129:54707	151:54153	153:44878	155:35607	317:5587	317:5594	326:15746	326:15759	333:34971
Bucket 28 [0.105469->0.109375]	129:54702	137:17501	146:26526	317:5602	326:15751	326:15756	333:34979	339:7955	342:45233	351:55543
Bucket 29 [0.109375->0.113281]	137:17497	146:26523	150:7959	150:7963	326:15749	326:15763	482:31664	570:53360	652:4692	652:4693
Bucket 30 [0.113281->0.117188]	43:50867	43:50868	129:54705	137:17499	326:15757	401:34935	541:27230	545:9817	552:30096	570:53324
Bucket 31 [0.117188->0.121094]	192:17080	317:5584	322:33817	602:16472	602:16512	602:16514	602:16515	618:49024	629:52485	629:52486
Bucket 32 [0.121094->0.125]	128:8527	137:17494	150:7961	192:17082	194:7865	195:54079	320:42832	320:42837	320:42840	348:18278
Bucket 33 [0.125->0.128906]	146:26521	150:7960	186:44745	541:27189	541:27359	545:9776	545:9946	552:30055	552:30104	552:30225
Bucket 34 [0.128906->0.132812]	339:7948	558:4037	580:10071	580:10120	582:1420	582:1461	582:1469	788:38482	982:52439	988:28255
Bucket 35 [0.132812->0.136719]	186:44747	558:3988	558:4158	569:6987	569:7028	690:45594	772:3957	786:46738	977:22009	1070:4355
Bucket 36 [0.136719->0.140625]	137:17496	186:44746	186:44748	569:7036	580:10241	582:1590	703:41288	977:22004	1034:46174	1070:4899
Bucket 37 [0.140625->0.144531]	751:41465	786:46836	1038:30189	1070:4995	1070:5047	1071:51609	1096:2906	1096:2914	1096:2934	1096:2961
Bucket 38 [0.144531->0.148438]	168:26246	170:16995	172:7747	346:27260	346:27263	569:7157	786:46842	855:13673	895:51764	901:27197
