Bucket 0 [0.]	0:20	0:319	0:694	0:833	0:1121	0:1232	0:1323	0:1327	0:1331	0:1332	0:1334	0:1337	0:1510	0:1540	0:1555	0:1568	0:1598	0:1609	0:1621	0:1624	0:1632	0:1643	0:1646	0:1655	0:1667
Bucket 1 [0->0.00390625]	0:1	0:2	0:3	0:5	0:15	0:44	0:46	0:47	0:48	0:49	0:50	0:51	0:52	0:53	0:54	0:55	0:56	0:60	0:112	0:115	0:118	0:119	0:122	0:123	0:124
Bucket 2 [0.00390625->0.0078125]	0:12	0:13	0:14	0:18	0:43	0:62	0:97	0:98	0:101	0:109	0:111	0:116	0:117	0:127	0:128	0:144	0:147	0:148	0:149	0:150	0:157	0:158	0:161	0:162	0:163
Bucket 3 [0.0078125->0.0117188]	0:21	0:22	0:23	0:24	0:25	0:26	0:27	0:28	0:29	0:30	0:31	0:32	0:33	0:34	0:35	0:36	0:37	0:38	0:39	0:40	0:41	0:59	0:68	0:69	0:81
Bucket 4 [0.0117188->0.015625]	0:17	0:42	0:57	0:58	0:61	0:63	0:64	0:65	0:66	0:67	0:70	0:71	0:74	0:77	0:79	0:80	0:82	0:83	0:84	0:85	0:87	0:102	0:105	0:106	0:107
Bucket 5 [0.015625->0.0195312]	0:10	0:11	0:16	0:19	0:72	0:73	0:75	0:76	0:78	7:17557	7:17558	7:17566	7:17604	7:17605	7:17610	7:17619	7:17620	7:17622	7:17623	7:17625	7:17627	7:17629	7:17631	7:17632	7:17634
Bucket 6 [0.0195312->0.0234375]	0:45	7:17563	7:17592	25:33777	29:14797	31:5314	32:51443	82:18822	82:18824	82:18826	82:18827	82:18828	104:17196	104:17197	104:17201	106:7825	106:7837	106:7839	106:7842	106:7850	106:7853	111:35248	111:35252	115:16558	118:53362
Bucket 7 [0.0234375->0.0273438]	18:16137	20:6638	49:21845	62:11304	106:7852	106:7854	106:7855	109:45181	109:46088	109:47991	118:53361	120:43992	120:43999	120:44000	122:34641	128:6621	129:52789	135:24784	137:15456	140:52302	144:33661	150:5723	151:51900	153:42594	159:14694
Bucket 8 [0.0273438->0.03125]	43:50225	104:17200	106:7832	106:7833	106:7845	109:45780	109:45785	109:47857	109:48181	115:16541	115:16549	115:16550	115:16551	117:7183	117:7190	117:7191	117:7192	117:7193	118:53367	118:53370	118:53371	118:53373	120:43979	120:43980	120:44001
Bucket 9 [0.03125->0.0351562]	0:8	21:52779	21:52780	23:43284	23:43285	25:33792	25:33793	32:51458	32:51459	106:7830	106:7831	109:46186	115:16528	115:16529	115:16548	117:7170	117:7171	118:53368	118:53372	122:34648	122:34649	122:34650	122:34651	126:15955	128:6627
Bucket 10 [0.0351562->0.0390625]	0:6	0:7	0:9	7:17555	106:7827	106:7828	117:7169	120:43978	128:6628	129:52796	131:43462	133:34122	133:34125	133:34127	137:15461	137:15462	137:15466	139:6138	139:6140	142:42989	142:42991	146:24352	150:5728	150:5731	150:5733
Bucket 11 [0.0390625->0.0429688]	7:17553	7:17554	7:17556	71:19724	73:10302	75:889	109:45379	109:45757	109:47324	109:47497	109:47519	109:48150	109:48462	115:16527	139:6136	142:42987	150:5729	210:33853	238:5584	238:5589	238:5632	280:16646	280:16710	280:16727	280:16731
Bucket 12 [0.0429688->0.046875]	21:52761	23:43266	25:33774	109:44667	109:45346	109:45372	109:46413	109:46802	109:47504	109:47651	131:43458	133:34123	159:14701	210:33848	210:35392	210:35784	210:36530	238:5583	238:5586	282:7537	282:7540	282:7545	282:7546	282:7547	282:7556
Bucket 13 [0.046875->0.0507812]	21:52763	21:52769	21:52775	21:52776	21:52777	21:52778	23:43268	23:43274	23:43280	23:43281	23:43282	23:43283	25:33791	32:51440	109:45866	109:46016	109:47203	109:47716	210:33447	210:34254	210:34481	282:7550	282:7554	282:7557	282:7565
Bucket 14 [0.0507812->0.0546875]	0:4	21:52762	21:52765	21:52766	21:52768	21:52770	21:52771	21:52772	21:52773	23:43267	23:43270	23:43271	23:43273	23:43275	23:43276	23:43277	23:43278	25:33775	25:33776	25:33778	25:33779	25:33781	25:33782	25:33783	25:33784
Bucket 15 [0.0546875->0.0585938]	32:51441	38:23033	118:53337	118:53338	118:53341	118:53343	124:25281	128:6596	128:6603	129:52765	129:52766	129:52776	131:43429	133:34094	139:6110	140:52284	210:33825	210:35572	210:35719	285:44671	285:44678	285:44681	285:44682	285:44689	291:17345
Bucket 16 [0.0585938->0.0625]	80:28214	118:53335	118:53348	128:6597	128:6598	128:6599	128:6601	128:6602	128:6604	129:52777	129:52778	131:43432	131:43434	131:43438	133:34097	133:34099	133:34103	135:24771	139:6116	139:6117	139:6118	140:52289	142:42967	142:42968	142:42969
Bucket 17 [0.0625->0.0664062]	42:4096	69:29149	118:53345	118:53349	118:53350	122:34628	129:52768	129:52773	129:52775	131:43439	131:43440	133:34100	133:34104	133:34105	135:24772	135:24773	137:15435	137:15437	139:6113	140:52286	140:52291	142:42964	142:42966	144:33649	144:33650
Bucket 18 [0.0664062->0.0703125]	40:13563	47:31302	51:12391	53:2940	54:49074	56:39627	58:30183	60:20742	64:1869	65:48008	67:38577	118:53340	118:53347	129:52780	131:43435	133:34095	133:34102	135:24763	135:24768	137:15438	139:6115	140:52290	144:33645	307:46222	329:48066
Bucket 19 [0.0703125->0.0742188]	45:40762	131:43430	131:43437	135:24770	135:24775	137:15436	139:6120	140:52288	142:42971	144:33647	285:44655	291:17369	307:46216	317:835	318:47090	318:47095	318:47100	320:38029	329:48068	329:48077	331:39022	331:39027	331:39030	331:39034	370:15544
Bucket 20 [0.0742188->0.078125]	118:53352	131:43442	133:34107	144:33652	293:8247	307:46233	317:828	318:47086	318:47094	318:47103	320:38027	320:38031	326:10855	329:48069	329:48074	331:39020	331:39028	337:11898	346:22047	346:22051	346:22063	377:34880	430:51815	436:25124	438:16233
Bucket 21 [0.078125->0.0820312]	140:52293	210:33440	285:44664	285:44699	304:9032	317:834	317:838	318:47101	318:47107	320:38023	320:38030	320:38044	329:48064	329:48067	329:48081	333:29975	337:11897	337:11904	337:11907	394:9439	397:46783	751:30211	1073:27034	1143:53128	1158:46004
Bucket 22 [0.0820312->0.0859375]	162:51577	162:51578	208:41963	285:44710	318:47093	320:38038	326:10858	337:11899	390:27352	396:487	449:18153	1158:45607	1514:9831	1514:11139	1527:12525	1801:48432	1985:30783	1985:30785	2062:29473	2235:31327	2235:31500	2235:31522	2288:16311	2352:20440	2410:46149
Bucket 23 [0.0859375->0.0898438]	21:52782	23:43287	25:33795	161:5394	161:5395	285:44693	326:10854	329:48075	337:11905	337:11911	390:27350	394:9438	425:23333	694:18235	733:4869	738:34402	786:35058	806:52696	808:44344	810:35995	814:19306	816:10966	818:2629	819:49112	821:40779
Bucket 24 [0.0898438->0.09375]	115:16526	128:6608	128:6612	317:836	317:840	333:29983	333:29986	348:13052	355:32275	449:18149	570:44859	618:39804	642:37829	646:20708	648:12123	655:32794	683:14434	721:55567	725:38618	727:30148	758:51261	758:51262	855:859	895:38350	906:43793
Bucket 25 [0.09375->0.0976562]	117:7168	151:51891	326:10860	333:29977	333:29978	340:49128	340:49133	340:49136	340:49140	346:22074	618:39741	629:43100	642:37846	642:37887	651:49947	651:49960	651:49961	666:36377	668:27821	683:14447	683:14448	1053:5182	1092:1630	1093:48239	1229:21179
Bucket 26 [0.0976562->0.101562]	32:51461	122:34629	128:6605	128:6610	153:42585	317:853	333:29990	340:49134	346:22072	357:23248	570:44872	570:44873	602:7502	629:43037	629:43113	629:43114	642:37826	642:37827	642:37831	642:37852	642:37867	642:37869	642:37870	646:20721	646:20722
Bucket 27 [0.101562->0.105469]	118:53336	129:52772	151:51888	153:42583	155:33282	317:832	317:839	326:10856	326:10869	333:29976	339:2864	339:2869	339:2872	339:2876	342:40109	351:50284	353:41265	407:2104	425:23321	570:44796	618:39817	618:39818	694:18248	694:18249	854:55637
Bucket 28 [0.105469->0.109375]	129:52767	137:15446	146:24336	317:847	326:10861	326:10866	333:29984	339:2870	342:40103	351:50278	602:7444	602:7461	721:55580	721:55581	725:38631	725:38632	727:30161	727:30162	751:30207	786:35055	806:52692	808:44340	810:35991	814:19302	816:10962
Bucket 29 [0.109375->0.113281]	137:15442	146:24333	150:5709	150:5713	326:10859	326:10873	482:24434	570:44810	651:49897	651:49898	666:36336	668:27780	964:9480	1023:24175	1099:25154	1391:10785	1391:11069	1402:20366	1443:18453	1448:50974	1512:17071	1979:50733	1979:52960	2032:26879	2062:29169
Bucket 30 [0.113281->0.117188]	43:50222	43:50223	129:52770	137:15444	326:10867	401:28920	541:19115	545:1642	552:21816	570:44774	570:44809	602:7426	602:7432	602:7441	602:7446	602:7467	618:39755	975:15453	1069:43295	1181:6139	1402:20184	1406:4792	1523:27013	1801:48735	1801:50962
Bucket 31 [0.117188->0.121094]	192:14200	317:829	322:28987	602:7442	602:7482	602:7484	602:7485	618:39754	629:43050	629:43051	646:20658	646:20659	648:12074	655:32744	655:32745	666:36342	668:27786	786:35061	805:6207	1069:43011	1069:43113	1071:35043	1071:35145	1071:35327	1095:40769
Bucket 32 [0.121094->0.125]	128:6607	137:15439	150:5711	192:14202	194:4955	195:51154	320:38032	320:38037	320:38040	348:13058	355:32281	541:19123	545:1650	557:50738	648:12073	666:36359	666:36360	668:27801	668:27803	668:27804	788:26603	788:26625	788:26628	788:26629	788:26631
Bucket 33 [0.125->0.128906]	146:24331	150:5710	186:41955	541:19074	541:19244	545:1601	545:1771	552:21775	552:21824	552:21945	580:1412	666:36357	751:30096	786:35059	788:26577	788:26578	788:26579	788:26581	788:26582	788:26583	788:26584	788:26585	788:26586	788:26587	788:26588
Bucket 34 [0.128906->0.132812]	339:2863	557:50746	580:1371	580:1420	581:47745	581:47786	581:47794	788:26662	982:37709	988:13435	1199:36463	1391:11190	1391:11286	1391:11338	1391:13417	1402:19943	1417:14206	2008:5230	2024:52981	2032:26743	2032:26763	2032:26764	2032:26765	2032:26766	2032:26767
Bucket 35 [0.132812->0.136719]	186:41957	557:50697	557:50867	568:53520	568:53561	690:35244	771:47242	786:34948	977:7354	1069:42872	1071:34904	1095:40674	1199:36465	1255:22047	1374:23991	1391:11103	1391:11106	1402:20487	1402:22714	1433:55635	1949:49484	2032:26689	2032:26995	2271:18226	2271:18270
Bucket 36 [0.136719->0.140625]	137:15441	186:41956	186:41958	568:53569	580:1541	581:47915	703:30743	977:7349	1034:30664	1069:43416	1069:45643	1071:35448	1071:35596	1071:37675	1095:40990	1134:37983	1134:37998	1134:38000	1134:38019	1134:38067	1160:37021	1160:37069	1164:21354	1164:21402	1374:24535
Bucket 37 [0.140625->0.144531]	751:30200	786:35046	1038:14619	1069:43512	1069:43564	1071:35544	1095:41007	1095:41015	1095:41035	1095:41062	1095:41068	1099:25468	1251:37448	1374:24448	1374:24451	1374:24631	1391:10956	1391:10982	1402:20320	1402:20400	1402:20526	1406:4788	1811:13757	1989:17677	2008:4735
Bucket 38 [0.144531->0.148438]	168:23726	170:14445	172:5167	346:22070	346:22073	568:53690	786:35052	854:55630	895:38339	901:13682	903:5469	906:43782	908:35576	910:27373	912:19173	914:10976	916:2782	921:32933	923:24749	925:16568	927:8390	928:54923	930:46749	932:38578	934:30410
