Bucket 0 [0.]	0:20	0:319	0:694	0:833	0:1121	0:1232	0:1323	0:1327	0:1331	0:1332	0:1334	0:1337	0:1510	0:1540	0:1555	0:1568	0:1598	0:1609	0:1621	0:1624	0:1632	0:1643	0:1646	0:1655	0:1667	0:1674	0:1683	0:1700	0:1718	0:1719	0:1733	0:1760	0:1769	0:1772	0:1789	0:1795	0:1824	0:1853	0:1870	0:1889	0:1892	0:1909	0:1930	0:1944	0:1952	0:1960	0:2040	0:2074	0:2198	0:2266
Bucket 1 [0->0.00390625]	0:1	0:2	0:3	0:5	0:15	0:44	0:46	0:47	0:48	0:49	0:50	0:51	0:52	0:53	0:54	0:55	0:56	0:60	0:112	0:115	0:118	0:119	0:122	0:123	0:124	0:125	0:129	0:131	0:132	0:133	0:134	0:135	0:136	0:137	0:138	0:140	0:141	0:142	0:151	0:155	0:183	0:191	0:196	0:200	0:203	0:204	0:207	0:208	0:209	0:211
Bucket 2 [0.00390625->0.0078125]	0:12	0:13	0:14	0:18	0:43	0:62	0:97	0:98	0:101	0:109	0:111	0:116	0:117	0:127	0:128	0:144	0:147	0:148	0:149	0:150	0:157	0:158	0:161	0:162	0:163	0:164	0:165	0:166	0:167	0:168	0:169	0:170	0:171	0:172	0:173	0:174	0:175	0:176	0:178	0:179	0:180	0:181	0:182	0:184	0:185	0:186	0:187	0:188	0:189	0:190
Bucket 3 [0.0078125->0.0117188]	0:21	0:22	0:23	0:24	0:25	0:26	0:27	0:28	0:29	0:30	0:31	0:32	0:33	0:34	0:35	0:36	0:37	0:38	0:39	0:40	0:41	0:59	0:68	0:69	0:81	0:86	0:88	0:89	0:90	0:91	0:92	0:93	0:94	0:95	0:96	0:99	0:100	0:103	0:104	0:110	0:113	0:114	0:120	0:121	0:126	0:130	0:139	0:143	0:145	0:146
Bucket 4 [0.0117188->0.015625]	0:17	0:42	0:57	0:58	0:61	0:63	0:64	0:65	0:66	0:67	0:70	0:71	0:74	0:77	0:79	0:80	0:82	0:83	0:84	0:85	0:87	0:102	0:105	0:106	0:107	0:108	7:17410	7:17417	7:17425	7:17426	7:17435	7:17454	7:17457	7:17458	7:17459	7:17460	7:17463	7:17464	7:17467	7:17470	7:17472	7:17474	7:17476	7:17488	7:17495	7:17498	7:17499	7:17500	7:17501	7:17519
Bucket 5 [0.015625->0.0195312]	0:10	0:11	0:16	0:19	0:72	0:73	0:75	0:76	0:78	7:17403	7:17404	7:17412	7:17450	7:17451	7:17456	7:17465	7:17466	7:17468	7:17469	7:17471	7:17473	7:17475	7:17477	7:17478	7:17480	18:15740	18:15743	18:15769	18:15797	18:15799	18:15802	18:15804	18:15811	20:6197	20:6200	20:6226	20:6254	20:6256	20:6259	20:6261	20:6268	21:52302	21:52305	21:52312	23:42763	23:42766	23:42773	25:33230	25:33237	29:14157
Bucket 6 [0.0195312->0.0234375]	0:45	7:17409	7:17438	25:33227	29:14159	31:4632	32:50739	82:17018	82:17020	82:17022	82:17023	82:17024	104:14908	104:14909	104:14913	106:5493	106:5505	106:5507	106:5510	106:5518	106:5521	111:32806	111:32810	115:14028	118:50766	118:50770	124:22565	126:13176	128:3806	128:3810	129:49952	129:49956	131:40570	131:40574	133:31191	133:31195	135:21815	135:21819	137:12446	139:3072	139:3076	140:49223	142:39857	142:39861	144:30494	144:30498	146:21134	146:21138	148:11768	148:11770
Bucket 7 [0.0234375->0.0273438]	18:15741	20:6198	49:20767	62:9940	106:5520	106:5522	106:5523	109:42783	109:43690	109:45593	118:50765	120:41352	120:41359	120:41360	122:31957	128:3805	129:49951	135:21814	137:12442	140:49222	144:30493	150:2423	151:48578	153:39228	159:11196	175:38232	175:38233	175:38236	175:38237	175:38238	175:38239	188:28565	188:28567	190:19319	206:46651	206:46657	206:46667	206:46696	208:37397	208:37423	212:18866	212:18892	214:9605	219:37279	221:28028	221:28057	234:18803	234:18805	234:18808	238:357
Bucket 8 [0.0273438->0.03125]	43:49279	104:14912	106:5500	106:5501	106:5513	109:43382	109:43387	109:45459	109:45783	115:14011	115:14019	115:14020	115:14021	117:4609	117:4616	117:4617	117:4618	117:4619	118:50771	118:50774	118:50775	118:50777	120:41339	120:41340	120:41361	120:41362	124:22572	124:22573	124:22574	124:22575	126:13184	126:13185	126:13186	128:3814	128:3815	128:3817	129:49957	129:49960	129:49961	129:49963	131:40569	133:31190	135:21824	135:21826	137:12441	139:3071	140:49232	140:49234	142:39856	144:30503
Bucket 9 [0.03125->0.0351562]	0:8	21:52317	21:52318	23:42778	23:42779	25:33242	25:33243	32:50754	32:50755	106:5498	106:5499	109:43788	115:13998	115:13999	115:14018	117:4596	117:4597	118:50772	118:50776	122:31964	122:31965	122:31966	122:31967	126:13183	128:3811	128:3816	129:49962	131:40575	131:40578	131:40579	131:40581	133:31200	133:31202	135:21820	135:21821	135:21823	135:21825	137:12450	137:12451	137:12453	139:3077	139:3081	139:3083	140:49228	140:49229	140:49231	140:49233	142:39862	142:39866	142:39868
Bucket 10 [0.0351562->0.0390625]	0:6	0:7	0:9	7:17401	106:5495	106:5496	117:4595	120:41338	128:3812	129:49958	131:40580	133:31196	133:31199	133:31201	137:12447	137:12448	137:12452	139:3080	139:3082	142:39865	142:39867	146:21140	150:2428	150:2431	150:2433	151:48585	153:39235	155:29888	159:11202	159:11205	159:11207	238:370	238:403	238:430	261:46943	263:37753	265:28566	267:19382	269:10201	271:1023	272:47234	274:38060	278:19721	280:10484	280:10489	280:10506	280:10530	280:10532	280:10539	280:10554
