Bucket 0 [0.]	0:110
Bucket 1 [0->0.00195312]	0:29
Bucket 2 [0.00195312->0.00390625]	0:17
Bucket 3 [0.00390625->0.00585938]	0:10
Bucket 4 [0.00585938->0.0078125]	0:12
Bucket 5 [0.0078125->0.00976562]	0:5
Bucket 6 [0.00976562->0.0117188]	0:3
Bucket 7 [0.0117188->0.0136719]	0:1
Bucket 8 [0.0136719->0.015625]	1:31896
Bucket 9 [0.015625->0.0175781]	0:3075
Bucket 10 [0.0175781->0.0195312]	0:5791
Bucket 11 [0.0195312->0.0214844]	1:35592
Bucket 12 [0.0214844->0.0234375]	0:1511
Bucket 13 [0.0234375->0.0253906]	4:18972
Bucket 14 [0.0253906->0.0273438]	1:31312
Bucket 15 [0.0273438->0.0292969]	183:69505
Bucket 16 [0.0292969->0.03125]	16:69900
Bucket 17 [0.03125->0.0332031]	183:69488
Bucket 18 [0.0332031->0.0351562]	183:69522
Bucket 19 [0.0351562->0.0371094]	1:29804
Bucket 20 [0.0371094->0.0390625]	212:20977
Bucket 21 [0.0390625->0.0410156]	14:10287
Bucket 22 [0.0410156->0.0429688]	217:68655
Bucket 23 [0.0429688->0.0449219]	183:69466
Bucket 24 [0.0449219->0.046875]	217:68660
Bucket 25 [0.046875->0.0488281]	485:64685
Bucket 26 [0.0488281->0.0507812]	440:35996
Bucket 27 [0.0507812->0.0527344]	220:56649
Bucket 28 [0.0527344->0.0546875]	220:56661
Bucket 29 [0.0546875->0.0566406]	16:69899
Bucket 30 [0.0566406->0.0585938]	225:2821
Bucket 31 [0.0585938->0.0605469]	845:27459
Bucket 32 [0.0605469->0.0625]	250:38529
Bucket 33 [0.0625->0.0644531]	8:34937
Bucket 34 [0.0644531->0.0664062]	332:52278
Bucket 35 [0.0664062->0.0683594]	101:61841
Bucket 36 [0.0683594->0.0703125]	256:14642
Bucket 37 [0.0703125->0.0722656]	8:34936
Bucket 38 [0.0722656->0.0742188]	247:50473
Bucket 39 [0.0742188->0.0761719]	515:50526
Bucket 40 [0.0761719->0.078125]	111:55150
Bucket 41 [0.078125->0.0800781]	260:32597
Bucket 42 [0.0800781->0.0820312]	161:22458
Bucket 43 [0.0820312->0.0839844]	305:57268
Bucket 44 [0.0839844->0.0859375]	1164:30280
Bucket 45 [0.0859375->0.0878906]	304:27377
Bucket 46 [0.0878906->0.0898438]	498:48372
Bucket 47 [0.0898438->0.0917969]	1:29803
Bucket 48 [0.0917969->0.09375]	257:44524
Bucket 49 [0.09375->0.0957031]	485:64683
Bucket 50 [0.0957031->0.0976562]	244:62431
Bucket 51 [0.0976562->0.0996094]	495:59870
Bucket 52 [0.0996094->0.101562]	251:68402
Bucket 53 [0.101562->0.103516]	440:36007
Bucket 54 [0.103516->0.105469]	264:50540
Bucket 55 [0.105469->0.107422]	440:35931
Bucket 56 [0.107422->0.109375]	1048:68707
Bucket 57 [0.109375->0.111328]	464:44368
Bucket 58 [0.111328->0.113281]	249:8669
Bucket 59 [0.113281->0.115234]	464:44351
Bucket 60 [0.115234->0.117188]	440:35909
Bucket 61 [0.117188->0.119141]	247:50483
Bucket 62 [0.119141->0.121094]	464:44349
Bucket 63 [0.121094->0.123047]	485:64633
Bucket 64 [0.123047->0.125]	1057:36974
Bucket 65 [0.125->0.126953]	514:20599
Bucket 66 [0.126953->0.128906]	907:70384
Bucket 67 [0.128906->0.130859]	447:42607
Bucket 68 [0.130859->0.132812]	447:42648
Bucket 69 [0.132812->0.134766]	447:42656
Bucket 70 [0.134766->0.136719]	439:6067
Bucket 71 [0.136719->0.138672]	439:6026
Bucket 72 [0.138672->0.140625]	106:7652
Bucket 73 [0.140625->0.142578]	752:66686
Bucket 74 [0.142578->0.144531]	824:3998
Bucket 75 [0.144531->0.146484]	439:6196
Bucket 76 [0.146484->0.148438]	799:61330
Bucket 77 [0.148438->0.150391]	788:34572
Bucket 78 [0.150391->0.152344]	797:1260
Bucket 79 [0.152344->0.154297]	824:3626
Bucket 80 [0.154297->0.15625]	539:59858
Bucket 81 [0.15625->0.158203]	824:3642
Bucket 82 [0.158203->0.160156]	599:33882
Bucket 83 [0.160156->0.162109]	788:34498
Bucket 84 [0.162109->0.164062]	607:71071
Bucket 85 [0.164062->0.166016]	752:66689
Bucket 86 [0.166016->0.167969]	599:33888
Bucket 87 [0.167969->0.169922]	788:34476
Bucket 88 [0.169922->0.171875]	283:9004
Bucket 89 [0.171875->0.173828]	558:21125
Bucket 90 [0.173828->0.175781]	607:71065
Bucket 91 [0.175781->0.177734]	886:45751
Bucket 92 [0.177734->0.179688]	202:27134
Bucket 93 [0.179688->0.181641]	797:1277
Bucket 94 [0.181641->0.183594]	596:45279
Bucket 95 [0.183594->0.185547]	602:22494
Bucket 96 [0.185547->0.1875]	542:48526
Bucket 97 [0.1875->0.189453]	744:28953
Bucket 98 [0.189453->0.191406]	595:15303
Bucket 99 [0.191406->0.193359]	846:57692
Bucket 100 [0.193359->0.195312]	797:1276
Bucket 101 [0.195312->0.197266]	596:45286
Bucket 102 [0.197266->0.199219]	36:55708
Bucket 103 [0.199219->0.201172]	400:56323
Bucket 104 [0.201172->0.203125]	824:3077
Bucket 105 [0.203125->0.205078]	229:20710
Bucket 106 [0.205078->0.207031]	846:57730
Bucket 107 [0.207031->0.208984]	295:63010
Bucket 108 [0.208984->0.210938]	295:63004
Bucket 109 [0.210938->0.212891]	542:48419
Bucket 110 [0.212891->0.214844]	602:22492
Bucket 111 [0.214844->0.216797]	797:1328
Bucket 112 [0.216797->0.21875]	797:1487
Bucket 113 [0.21875->0.220703]	542:48522
Bucket 114 [0.220703->0.222656]	595:15310
Bucket 115 [0.222656->0.224609]	542:48523
Bucket 116 [0.224609->0.226562]	463:14393
Bucket 117 [0.226562->0.228516]	546:66987
Bucket 118 [0.228516->0.230469]	532:52922
Bucket 119 [0.230469->0.232422]	402:14682
Bucket 120 [0.232422->0.234375]	519:68990
Bucket 121 [0.234375->0.236328]	811:17106
Bucket 122 [0.236328->0.238281]	399:26390
Bucket 123 [0.238281->0.240234]	846:57726
Bucket 124 [0.240234->0.242188]	797:1278
Bucket 125 [0.242188->0.244141]	761:33261
Bucket 126 [0.244141->0.246094]	833:71002
Bucket 127 [0.246094->0.248047]	797:1271
Bucket 128 [0.248047->0.25]	1449:63490
Bucket 129 [0.25->0.251953]	376:48679
Bucket 130 [0.251953->0.253906]	521:27493
Bucket 131 [0.253906->0.255859]	539:60013
Bucket 132 [0.255859->0.257812]	329:64149
Bucket 133 [0.257812->0.259766]	477:27915
Bucket 134 [0.259766->0.261719]	758:44398
Bucket 135 [0.261719->0.263672]	849:46140
Bucket 136 [0.263672->0.265625]	797:1275
Bucket 137 [0.265625->0.267578]	788:34469
Bucket 138 [0.267578->0.269531]	283:8977
Bucket 139 [0.269531->0.271484]	797:1259
Bucket 140 [0.271484->0.273438]	464:44422
Bucket 141 [0.273438->0.275391]	546:66904
Bucket 142 [0.275391->0.277344]	514:20632
Bucket 143 [0.277344->0.279297]	558:21034
Bucket 144 [0.279297->0.28125]	532:53029
Bucket 145 [0.28125->0.283203]	861:2325
Bucket 146 [0.283203->0.285156]	389:31644
Bucket 147 [0.285156->0.287109]	799:61313
Bucket 148 [0.287109->0.289062]	788:34492
Bucket 149 [0.289062->0.291016]	595:15312
Bucket 150 [0.291016->0.292969]	740:10114
Bucket 151 [0.292969->0.294922]	471:51084
Bucket 152 [0.294922->0.296875]	868:10531
Bucket 153 [0.296875->0.298828]	802:50225
Bucket 154 [0.298828->0.300781]	244:62441
Bucket 155 [0.300781->0.302734]	861:2129
Bucket 156 [0.302734->0.304688]	542:48411
Bucket 157 [0.304688->0.306641]	595:15298
Bucket 158 [0.306641->0.308594]	542:48513
Bucket 159 [0.308594->0.310547]	517:9067
Bucket 160 [0.310547->0.3125]	532:53046
Bucket 161 [0.3125->0.314453]	596:45273
Bucket 162 [0.314453->0.316406]	464:44346
Bucket 163 [0.316406->0.318359]	202:27098
Bucket 164 [0.318359->0.320312]	595:15309
Bucket 165 [0.320312->0.322266]	607:70967
Bucket 166 [0.322266->0.324219]	495:59878
Bucket 167 [0.324219->0.326172]	595:15295
Bucket 168 [0.326172->0.328125]	517:9075
Bucket 169 [0.328125->0.330078]	797:1264
Bucket 170 [0.330078->0.332031]	532:53039
Bucket 171 [0.332031->0.333984]	532:53044
Bucket 172 [0.333984->0.335938]	870:70349
Bucket 173 [0.335938->0.337891]	866:51302
Bucket 174 [0.337891->0.339844]	372:30523
Bucket 175 [0.339844->0.341797]	612:18236
Bucket 176 [0.341797->0.34375]	866:51458
Bucket 177 [0.34375->0.345703]	794:12324
Bucket 178 [0.345703->0.347656]	592:26610
Bucket 179 [0.347656->0.349609]	592:26611
Bucket 180 [0.349609->0.351562]	517:9119
Bucket 181 [0.351562->0.353516]	552:44062
Bucket 182 [0.353516->0.355469]	744:28960
Bucket 183 [0.355469->0.357422]	468:62683
Bucket 184 [0.357422->0.359375]	596:45282
Bucket 185 [0.359375->0.361328]	617:66896
Bucket 186 [0.361328->0.363281]	542:48415
Bucket 187 [0.363281->0.365234]	836:61005
Bucket 188 [0.365234->0.367188]	788:34470
Bucket 189 [0.367188->0.369141]	532:53030
Bucket 190 [0.369141->0.371094]	485:64642
Bucket 191 [0.371094->0.373047]	542:48528
Bucket 192 [0.373047->0.375]	794:12320
Bucket 193 [0.375->0.376953]	764:22133
Bucket 194 [0.376953->0.378906]	500:6832
Bucket 195 [0.378906->0.380859]	498:48331
Bucket 196 [0.380859->0.382812]	440:35953
Bucket 197 [0.382812->0.384766]	440:35936
Bucket 198 [0.384766->0.386719]	527:4487
Bucket 199 [0.386719->0.388672]	527:4485
Bucket 200 [0.388672->0.390625]	500:6815
Bucket 201 [0.390625->0.392578]	502:66749
Bucket 202 [0.392578->0.394531]	707:31991
Bucket 203 [0.394531->0.396484]	517:9210
Bucket 204 [0.396484->0.398438]	498:48314
Bucket 205 [0.398438->0.400391]	471:51065
Bucket 206 [0.400391->0.402344]	842:38042
Bucket 207 [0.402344->0.404297]	848:15972
Bucket 208 [0.404297->0.40625]	768:41033
Bucket 209 [0.40625->0.408203]	474:39490
Bucket 210 [0.408203->0.410156]	805:39253
Bucket 211 [0.410156->0.412109]	744:28951
Bucket 212 [0.412109->0.414062]	592:26701
Bucket 213 [0.414062->0.416016]	468:62662
