# A tibble: 110 × 17
# Groups:   k, totbits, bin [108]
        k totbits   bin     n `BMH1-500000` `BMH1-50000000`   Dash1    FSS1   FSSN  JItrue `PMH1-500000` `PMH1-50000000`    SS1 WJItrue   FSS8  Mash    SS8
    <int>   <dbl> <dbl> <int>         <dbl>           <dbl>   <dbl>   <dbl>  <dbl>   <dbl>         <dbl>           <dbl>  <dbl>   <dbl>  <dbl> <dbl>  <dbl>
  1    21   16384  0.7     41          9.25            5.83   10.9     9.36   11.6    7.09          7.00            5.77   17.2    6.99   NA    NA     NA  
  2    21   16384  0.75   159         30.7            18.6    76.7    24.8    27.2    8.50         21.8            18.1    37.6    7.79   NA    NA     NA  
  3    21   16384  0.8   1105        168.             98.3    90.2    36.5    48.5   29.8         106.             91.2    33.8   35.2    NA    NA     NA  
  4    21   16384  0.85  1471        138.             62.3    37.7    27.6    27.3   29.0          59.9            55.7    27.4   33.2    NA    NA     NA  
  5    21   16384  0.9   6496        284.            102.     53.3    49.9    54.9   55.2          96.7            92.4    47.5   71.5    NA    NA     NA  
  6    21   16384  0.95 41978        240.             64.6    57.5    56.3    54.9   65.6        1648.             77.3    57.1   76.3    NA    NA     NA  
  7    21   32768  0.7     41          9.26            5.83    7.93   15.7    16.9    7.17          6.95            5.77   12.7    6.95   24.5  25.9   25.9
  8    21   32768  0.75   159         30.7            18.4    40.7    14.6    28.1    8.36         21.7            18.0    22.1    7.68   30.2  79.5   37.8
  9    21   32768  0.8   1105        169.             96.1    64.0    35.1    36.0   28.5         105.             90.4    33.3   32.5    49.6  37.1   34.4
 10    21   32768  0.85  1471        138.             61.6    34.3    27.5    25.4   28.2          59.5            56.5    28.5   31.1    27.9  25.6   31.7
 11    21   32768  0.9   6496        286.            103.     60.0    54.5    55.5   53.9          97.2            88.1    50.6   62.6    51.2  47.0   47.4
 12    21   32768  0.95 41978        239.             64.3    51.4    51.7    52.5   66.3        1655.             75.6    53.3   69.0    67.3  63.1   63.2
 13    21   65536  0.7     41          9.26            5.87    4.07   13.9    17.5    7.17          6.98            5.76   14.3    6.95   23.9  25.9   25.9
 14    21   65536  0.75   159         30.6            18.4    18.5    14.9    36.5    8.49         21.8            17.9    15.5    7.70   17.2  39.9   27.9
 15    21   65536  0.8   1105        169.             95.5    40.6    32.0    32.6   29.1         105.             91.2    28.4   31.4    38.9  28.7   31.9
 16    21   65536  0.85  1471        138.             61.7    30.4    28.0    26.6   28.3          59.6            56.5    28.0   31.3    28.4  25.1   28.0
 17    21   65536  0.9   6496        286.            103.     56.0    54.4    52.9   52.1          97.5            86.4    52.3   62.4    48.2  47.7   49.7
 18    21   65536  0.95 41978        237.             61.5    49.0    50.3    49.2   64.5        1652.             74.7    50.8   66.1    57.4  52.7   59.4
 19    21  131072  0.7     41          9.25            5.87    4.26   13.3    18.4    7.17          7.01            5.77   19.3    6.95   24.0  20.6   25.9
 20    21  131072  0.75   159         30.6            18.3     9.94   16.7    25.6    8.36         21.8            17.9    18.1    7.64   15.1  24.7   19.4
 21    21  131072  0.8   1105        169.             95.2    34.6    30.2    29.4   28.4         106.             91.2    28.4   32.3    35.4  32.2   28.0
 22    21  131072  0.85  1471        138.             61.6    28.3    28.4    NA     30.2          60.0            57.0    27.7   31.2    27.6  27.2   27.8
 23    21  131072  0.85  1470         NA              NA      NA      NA      27.0   NA            NA              NA      NA     NA      NA    NA     NA  
 24    21  131072  0.9   6496        285.            103.     52.9    52.8    53.0   51.0          97.0            86.9    53.0   58.4    50.3  52.4   47.8
 25    21  131072  0.95 41978        239.             62.4    49.6    49.3    49.5   63.9        1641.             75.7    49.0   63.2    55.9  54.5   56.2
 26    21  262144  0.7     41          9.24            5.88    3.60   14.0    11.0    7.17          7.03            5.77   17.3    6.95   22.8  20.2   26.0
 27    21  262144  0.75   159         30.6            18.4     8.09   12.5    23.9    8.75         21.9            17.9    18.2    7.77   14.0  18.3   15.6
 28    21  262144  0.8   1105        169.             95.3    31.6    30.1    30.7   28.5         107.             91.7    28.6   31.2    33.0  32.1   27.9
 29    21  262144  0.85  1470        138.             61.8    28.3    28.4    NA     29.2          60.8            57.3    28.2   29.3    NA    NA     NA  
 30    21  262144  0.85  1471         NA              NA      NA      NA      27.2   NA            NA              NA      NA     NA      27.6  28.2   28.5
 31    21  262144  0.9   6496        284.            103.     53.5    53.0    52.6   50.1          95.4            86.9    52.7   54.9    54.2  51.0   50.5
 32    21  262144  0.95 41978        239.             62.5    48.5    49.2    49.2   62.7        1626.             73.6    49.2   59.1    51.8  53.8   53.0
 33    21  524288  0.7     41          9.24            5.87    5.19   13.8    19.2    7.17          7.10            5.78   15.1    6.95   22.3  19.3   25.3
 34    21  524288  0.75   159         30.6            18.4     8.25   14.3    28.4    8.36         22.1            17.9    11.4    7.64   12.6  10.4   13.6
 35    21  524288  0.8   1105        169.             95.8    29.8    29.9    30.5   28.4         108.             91.6    29.6   30.8    32.1  31.3   27.7
 36    21  524288  0.85  1471        138.             62.2    28.4    28.3    27.5   27.9          63.0            57.5    28.3   29.2    28.1  28.3   28.1
 37    21  524288  0.9   6496        284.            103.     53.5    53.3    51.6   49.6          91.9            85.8    52.9   53.7    54.1  51.7   52.3
 38    21  524288  0.95 41978        238.             61.9    48.8    49.1    49.2   61.9        1593.             74.9    48.7   59.0    50.1  49.8   50.6
 39    31   16384  0.7     41          9.61            7.35   13.3    14.7    15.8    4.07          8.10            7.26   11.8    3.90   NA    NA     NA  
 40    31   16384  0.75   159         32.0            23.3    69.4    38.6    72.8    6.91         25.9            23.3    47.5    7.29   NA    NA     NA  
 41    31   16384  0.8   1105        178.            125.    170.     77.5   147.    65.7         135.            122.     90.7   65.0    NA    NA     NA  
 42    31   16384  0.85  1471        149.             86.5    64.9    51.3    56.4   52.8          96.4            86.1    53.6   54.1    NA    NA     NA  
 43    31   16384  0.9   6496        333.            165.     98.1   104.    107.   105.          102.            153.     99.0  116.     NA    NA     NA  
 44    31   16384  0.95 41978        253.            104.     98.7    98.3   101.    92.7        1001.             92.2    93.1  103.     NA    NA     NA  
 45    31   32768  0.7     41          9.62            7.31    9.71   13.6    11.1    4.07          8.08            7.22   13.7    3.90   27.6  26.3   26.3
 46    31   32768  0.75   159         32.0            23.4    46.8    32.6    51.3    6.92         25.9            23.4    29.6    7.35   71.3  68.8   60.5
 47    31   32768  0.8   1105        178.            126.    134.     64.7   128.    64.4         135.            123.     65.8   65.6    61.5 119.   149. 
 48    31   32768  0.85  1471        150.             88.1    58.0    52.0    53.9   51.8          96.8            86.3    52.2   54.0    52.5  49.9   57.7
 49    31   32768  0.9   6496        335.            165.     99.4   106.    108.   106.          102.            155.    100.   112.     96.1 107.    98.0
 50    31   32768  0.95 41978        256.            109.     96.6    99.9    98.3   91.4         996.             94.0    94.5  101.     95.0 103.   102. 
 51    31   65536  0.7     41          9.62            7.34   13.7    11.0    15.9    4.07          8.06            7.27   17.9    3.90   26.3  26.3   26.4
 52    31   65536  0.75   159         32.0            23.6    48.9    33.4    37.9    6.96         25.9            23.3    21.5    7.47   48.9  39.9   33.9
 53    31   65536  0.8   1105        178.            126.    142.     64.2    87.8   64.8         135.            123.     62.5   66.0    62.2  66.2  102. 
 54    31   65536  0.85  1471        150.             88.4    56.5    52.3    53.5   51.8          96.7            86.0    52.1   53.0    52.2  50.3   53.6
 55    31   65536  0.9   6496        334.            166.     99.2   105.    109.   106.          102.            156.    102.   109.    100.  106.    99.1
 56    31   65536  0.95 41978        256.            114.     94.4    97.9   101.    91.3         995.             90.8    97.7   98.8    91.1  93.7   91.6
