# A tibble: 56 × 18
# Groups:   k, totbits, bin [54]
       k totbits   bin     n   BD1   BD2   BD4 `BMH1-500000` `BMH1-50000000`  Dash1   FSS1 JItrue `PMH1-500000` `PMH1-50000000`    SS1 WJItrue   BD8    Mash
   <int>   <dbl> <dbl> <int> <dbl> <dbl> <dbl>         <dbl>           <dbl>  <dbl>  <dbl>  <dbl>         <dbl>           <dbl>  <dbl>   <dbl> <dbl>   <dbl>
 1    21   16384  0.85  1106  20.5  18.9  19.9          96.0            42.9   22.9   16.7   17.9          33.6            38.4   16.6    19.5  NA      NA  
 2    21   16384  0.9   6496  56.9  53.7  58.2         284.            102.    53.3   49.9   55.2          96.7            92.4   47.5    71.5  NA      NA  
 3    21   16384  0.95 41978  51.9  50.5  59.3         240.             64.6   57.5   56.3   65.6        1648.             77.3   57.1    76.3  NA      NA  
 4    21   32768  0.85  1106  20.0  18.8  18.9          96.2            43.1   21.0   17.0   17.2          33.4            39.1   17.4    19.5  19.9    15.9
 5    21   32768  0.9   6496  58.0  51.0  53.7         286.            103.    60.0   54.5   53.9          97.2            88.1   50.6    62.6  58.2    47.0
 6    21   32768  0.95 41978  51.0  52.4  51.5         239.             64.3   51.4   51.7   66.3        1655.             75.6   53.3    69.0  59.3    63.1
 7    21   65536  0.85  1106  20.0  17.5  18.8          96.3            42.7   17.6   17.7   17.2          33.6            38.9   17.3    19.4  18.9    15.6
 8    21   65536  0.9   6496  58.7  52.3  51.0         286.            103.    56.0   54.4   52.1          97.5            86.4   52.3    62.4  53.7    47.7
 9    21   65536  0.95 41978  49.3  51.8  51.4         237.             61.5   49.0   50.3   64.5        1652.             74.7   50.8    66.1  50.5    52.7
10    21  131072  0.85  1106  19.9  17.6  17.5          96.1            42.9   17.6   17.4   18.3          34.0            39.1   17.0    18.7  18.8    15.8
11    21  131072  0.9   6496  57.3  53.0  52.3         285.            103.    52.9   52.8   51.0          97.0            86.9   53.0    58.4  51.0    52.4
12    21  131072  0.95 41978  48.0  49.2  50.8         239.             62.4   49.6   49.3   63.9        1641.             75.7   49.0    63.2  51.4    54.5
