# A tibble: 110 × 17
# Groups:   k, totbits, bin [108]
        k totbits   bin     n `BMH1-500000` `BMH1-50000000`     Dash1      FSS1      FSSN   JItrue `PMH1-500000` `PMH1-50000000`      SS1  WJItrue     FSS8   Mash       SS8
    <int>   <dbl> <dbl> <int>         <dbl>           <dbl>     <dbl>     <dbl>     <dbl>    <dbl>         <dbl>           <dbl>    <dbl>    <dbl>    <dbl>  <dbl>     <dbl>
  1    21   16384  0.7     41          9.25            5.83    -8.76     -7.96     -8.64     -6.15          7.00            5.77   -16.1     -6.05    NA     NA       NA    
  2    21   16384  0.75   159         30.7            18.6    -70.1     -20.3     -16.9      -4.95         21.8            18.1    -33.5     -4.31    NA     NA       NA    
  3    21   16384  0.8   1105        168.             98.3     -6.97     32.7      39.5      23.3         106.             91.2     11.7     20.1     NA     NA       NA    
  4    21   16384  0.85  1471        138.             62.3     31.5      26.9      25.8      24.7          59.9            55.7     26.5     20.4     NA     NA       NA    
  5    21   16384  0.9   6496        284.            102.      51.7      49.8      54.5      40.6         -63.6            92.4     47.3     27.6     NA     NA       NA    
  6    21   16384  0.95 41978        -12.2           -16.5    -16.6     -12.3       0.517   -37.7       -1648.            -43.1    -16.9    -44.4     NA     NA       NA    
  7    21   32768  0.7     41          9.26            5.83    -4.68    -14.4     -14.9      -6.08          6.95            5.77   -11.5     -5.86   -23.4  -24.9    -24.9  
  8    21   32768  0.75   159         30.7            18.4    -32.3     -10.4     -21.8      -4.81         21.7            18.0    -18.4     -4.10   -26.4  -76.2    -33.7  
  9    21   32768  0.8   1105        169.             96.1     18.6      33.1      18.9      25.3         105.             90.4     18.5     23.8     29.4    3.74    26.0  
 10    21   32768  0.85  1471        138.             61.6     33.3      26.8      24.6      25.9          59.5            56.5     27.7     23.7     26.9   24.4     30.4  
 11    21   32768  0.9   6496        286.            103.      60.0      54.5      55.5      41.9         -65.1            88.1     50.5     37.6     49.3   43.8     45.8  
 12    21   32768  0.95 41978         -3.96          -15.7    -11.7      -4.15     -3.53    -38.4       -1655.            -44.1    -10.0    -36.8    -11.1  -20.1    -16.9  
 13    21   65536  0.7     41          9.26            5.87    -0.563   -12.8     -15.8      -6.08          6.98            5.76   -13.2     -5.86   -22.7  -24.9    -24.9  
 14    21   65536  0.75   159         30.6            18.4     -8.49    -11.3     -30.8      -4.94         21.8            17.9    -11.9     -4.12   -13.5  -36.6    -24.2  
 15    21   65536  0.8   1105        169.             95.5     30.8      29.7      23.5      24.8         105.             91.2     24.4     25.7     31.7   12.0     20.8  
 16    21   65536  0.85  1471        138.             61.6     29.8      27.2      25.9      25.9          59.6            56.5     27.2     23.8     27.5   24.4     27.2  
 17    21   65536  0.9   6496        286.            103.      55.9      54.4      52.9      43.7         -65.7            86.4     52.3     38.1     47.4   46.1     49.5  
 18    21   65536  0.95 41978         -3.42           -5.44    -7.89     -6.68     -2.77    -36.7       -1652.            -44.0     -7.68   -33.8     -8.64   3.13   -16.5  
 19    21  131072  0.7     41          9.25            5.87    -0.360   -12.2     -16.9      -6.08          7.01            5.77   -18.2     -5.86   -22.8  -19.5    -24.9  
 20    21  131072  0.75   159         30.6            18.3     -0.849   -13.1     -21.3      -4.81         21.8            17.9    -14.6     -4.06   -11.3  -21.2    -15.7  
 21    21  131072  0.8   1105        169.             95.2     31.2      28.0      24.2      25.3         106.             91.2     25.3     24.1     33.2   28.5     17.3  
 22    21  131072  0.85  1471        138.             61.6     27.8      27.7      NA        24.1          60.0            56.9     26.9     24.2     26.9   26.5     26.9  
 23    21  131072  0.85  1470         NA              NA       NA        NA        26.3      NA            NA              NA       NA       NA       NA     NA       NA    
 24    21  131072  0.9   6496        285.            103.      52.8      52.8      53.0      45.2         -63.0            86.9     53.0     42.6     50.3   52.3     47.7  
 25    21  131072  0.95 41978         -3.84           -6.21    -9.78     -7.47     -3.23    -36.0       -1641.            -45.4     -5.57   -30.6    -11.6   18.1    -15.5  
 26    21  262144  0.7     41          9.24            5.88    -0.108   -12.8      -9.61     -6.08          7.03            5.77   -16.2     -5.86   -21.6  -19.1    -24.9  
 27    21  262144  0.75   159         30.6            18.4     -1.46     -8.95    -19.5      -5.20         21.9            17.9    -14.7     -4.20   -10.3  -14.7    -11.9  
 28    21  262144  0.8   1105        169.             95.3     28.8      27.9      19.9      25.5         107.             91.7     25.9     25.9     31.2   29.3     22.7  
 29    21  262144  0.85  1470        138.             61.8     27.8      27.7      NA        25.2          60.8            57.3     27.4     26.5     NA     NA       NA    
 30    21  262144  0.85  1471         NA              NA       NA        NA        26.5      NA            NA              NA       NA       NA       26.8   27.4     27.6  
 31    21  262144  0.9   6496        284.            103.      53.5      53.0      52.6      46.3         -59.0            86.9     52.7     46.3     54.2   50.9     50.5  
 32    21  262144  0.95 41978         -6.60           -5.60    -4.67     -5.67     -3.70    -34.7       -1626.            -43.1     -7.34   -26.5     -3.37  12.0     -9.12 
 33    21  524288  0.7     41          9.24            5.87    -3.19    -12.7     -18.0      -6.08          7.10            5.78   -14.0     -5.86   -21.2  -18.2    -24.3  
 34    21  524288  0.75   159         30.6            18.4     -2.99    -10.7     -24.8      -4.81         22.1            17.9     -7.80    -4.06    -9.05  -6.80    -9.98 
 35    21  524288  0.8   1105        169.             95.8     25.7      27.7      21.1      25.7         108.             91.6     27.3     26.5     29.9   28.9     24.1  
 36    21  524288  0.85  1471        138.             62.2     27.6      27.6      26.7      26.5          63.0            57.5     27.4     26.3     27.3   27.5     27.2  
 37    21  524288  0.9   6496        284.            103.      53.5      53.3      51.6      46.6         -49.8            85.8     52.8     47.8     54.1   51.7     52.3  
 38    21  524288  0.95 41978         -7.52           -5.62    -4.92     -5.28     -5.45    -33.8       -1593.            -44.7     -6.34   -26.3     -6.05   4.11    -6.56 
 39    31   16384  0.7     41          9.61            7.35    -7.58    -10.8     -11.1      -2.23          8.10            7.26    -7.65    -2.07    NA     NA       NA    
 40    31   16384  0.75   159         32.0            23.3    -54.2     -25.9     -60.2       5.05         25.9            23.3    -35.7      5.38    NA     NA       NA    
 41    31   16384  0.8   1105        178.            125.     -39.2      42.3     -24.7      61.5         135.            122.      18.5     62.1     NA     NA       NA    
 42    31   16384  0.85  1471        149.             86.5     49.0      51.1      50.7      48.6          96.4            86.1     51.7     45.7     NA     NA       NA    
 43    31   16384  0.9   6496        333.            165.      97.8     104.      107.       98.3          94.6           153.      99.0     86.6     NA     NA       NA    
 44    31   16384  0.95 41978        161.             96.2     94.3      94.2      95.5      74.0        -997.             77.5     89.0     69.8     NA     NA       NA    
 45    31   32768  0.7     41          9.62            7.31    -2.24    -10.3      -5.32     -2.23          8.08            7.22   -10.4     -2.07   -26.2  -24.5    -24.5  
 46    31   32768  0.75   159         32.0            23.4    -28.3     -21.5     -33.6       4.99         25.9            23.4    -14.3      5.62   -62.2  -58.6    -48.3  
 47    31   32768  0.8   1105        178.            126.      -4.17     64.4      -1.87     63.2         135.            123.      57.1     62.9     55.0   -8.54   -32.2  
 48    31   32768  0.85  1471        150.             88.1     54.0      51.8      53.7      50.3          96.8            86.3     52.0     47.2     50.7   49.7     55.8  
