# A tibble: 56 × 18
# Groups:   k, totbits, bin [54]
       k totbits   bin     n     BD1    BD2     BD4 `BMH1-500000` `BMH1-50000000`    Dash1     FSS1  JItrue `PMH1-500000` `PMH1-50000000`      SS1 WJItrue    BD8      Mash
   <int>   <dbl> <dbl> <int>   <dbl>  <dbl>   <dbl>         <dbl>           <dbl>    <dbl>    <dbl>   <dbl>         <dbl>           <dbl>    <dbl>   <dbl>  <dbl>     <dbl>
 1    21   16384  0.85  1106  19.9    16.4   17.3           96.0            42.9     18.6     16.0     14.4          33.6            38.4    15.8     12.9  NA        NA   
 2    21   16384  0.9   6496  56.9    53.3   55.9          284.            102.      51.7     49.8     40.6         -63.6            92.4    47.3     27.6  NA        NA   
 3    21   16384  0.95 41978  -0.598   1.73   6.49         -12.2           -16.5    -16.6    -12.3    -37.7       -1648.            -43.1   -16.9    -44.4  NA        NA   
 4    21   32768  0.85  1106  19.5    16.4   16.4           96.2            43.1     20.0     16.4     15.1          33.4            39.1    16.6     13.4  17.3      14.8 
 5    21   32768  0.9   6496  58.0    51.0   53.3          286.            103.      60.0     54.5     41.9         -65.1            88.1    50.5     37.6  55.9      43.8 
 6    21   32768  0.95 41978  -5.83   -5.36   0.615         -3.96          -15.7    -11.7     -4.15   -38.4       -1655.            -44.1   -10.0    -36.8   6.49    -20.1 
 7    21   65536  0.85  1106  19.4    16.6   16.4           96.3            42.6     16.9     16.9     15.3          33.6            38.8    16.5     13.8  16.4      14.9 
 8    21   65536  0.9   6496  58.7    52.3   50.9          286.            103.      55.9     54.4     43.7         -65.7            86.4    52.3     38.1  53.3      46.1 
 9    21   65536  0.95 41978  -4.05  -10.5   -4.44          -3.42           -5.44    -7.89    -6.68   -36.7       -1652.            -44.0    -7.68   -33.8   1.61      3.13
10    21  131072  0.85  1106  19.4    16.7   16.6           96.1            42.8     17.1     16.7     14.2          34.0            39.0    16.2     14.7  16.4      15.2 
11    21  131072  0.9   6496  57.3    53.0   52.3          285.            103.      52.8     52.8     45.2         -63.0            86.9    53.0     42.6  50.9      52.3 
12    21  131072  0.95 41978   0.312  -7.79  -9.57          -3.84           -6.21    -9.78    -7.47   -36.0       -1641.            -45.4    -5.57   -30.6  -4.44     18.1 
13    21  262144  0.85  1105  19.4    NA     NA             95.9            42.8     16.8     16.5     14.3          34.5            39.3    16.4     15.5  NA        NA   
14    21  262144  0.85  1106  NA      16.7   16.7           NA              NA       NA       NA       NA            NA              NA      NA       NA    16.6      16.2 
