# A tibble: 110 × 17
# Groups:   k, totbits, bin [108]
        k totbits   bin     n `BMH1-500000` `BMH1-50000000`    Dash1    FSS1     FSSN  JItrue `PMH1-500000` `PMH1-50000000`     SS1 WJItrue    FSS8   Mash     SS8
    <int>   <dbl> <dbl> <int>         <dbl>           <dbl>    <dbl>   <dbl>    <dbl>   <dbl>         <dbl>           <dbl>   <dbl>   <dbl>   <dbl>  <dbl>   <dbl>
  1    21   16384  0.7     41          2.09           0.834    7.31    6.21     7.44    1.35           1.20           0.816  11.9     1.29   NA     NA      NA    
  2    21   16384  0.75   159          5.94           2.21    57.6    15.7     16.8     0.768          3.03           2.09   25.0     0.700  NA     NA      NA    
  3    21   16384  0.8   1105         25.8            8.82    39.7     2.06     4.82    1.41          10.3            7.61    5.88    3.41   NA     NA      NA    
  4    21   16384  0.85  1471         13.1            2.76     2.76    0.655    0.654   0.941          3.07           2.20    0.660   2.76   NA     NA      NA    
  5    21   16384  0.9   6496         13.9            1.97     0.651   0.562    0.670   3.56           1.97           1.63    0.460   7.16   NA     NA      NA    
  6    21   16384  0.95 41978          2.32           0.217    0.184   0.203    0.186   0.913         73.4            0.261   0.197   6.36   NA     NA      NA    
  7    21   32768  0.7     41          2.09           0.833    4.60   10.8     11.8     1.36           1.18           0.816   8.49    1.28   17.9   19.0    19.0  
  8    21   32768  0.75   159          5.95           2.16    27.4     7.03    18.3     0.739          2.98           2.07   12.5     0.672  19.8   59.6    25.8  
  9    21   32768  0.8   1105         25.9            8.44    18.0     1.36     5.88    1.06          10.2            7.48    4.92    2.10    9.93  10.5     2.64 
 10    21   32768  0.85  1471         13.2            2.67     1.01    0.626    0.557   0.703          3.01           2.25    0.692   1.15    0.768  0.617   0.985
 11    21   32768  0.9   6496         14.0            2.00     0.751   0.603    0.623   2.82           1.98           1.54    0.499   3.81    0.582  0.542   0.554
 12    21   32768  0.95 41978          2.34           0.239    0.154   0.175    0.188   1.69          74.0            0.250   0.182   3.96    0.259  0.206   0.224
 13    21   65536  0.7     41          2.09           0.844    1.80    9.14    12.4     1.36           1.19           0.814   9.67    1.28   17.4   19.0    19.0  
 14    21   65536  0.75   159          5.94           2.15    10.1     7.49    24.6     0.764          3.01           2.04    7.10    0.672   9.54  25.4    16.9  
 15    21   65536  0.8   1105         25.9            8.34     4.21    1.21     3.16    1.70          10.1            7.61    1.05    1.88    3.49   1.19    2.50 
 16    21   65536  0.85  1471         13.2            2.68     0.821   0.653    0.595   0.737          3.01           2.25    0.655   1.48    0.748  0.577   0.721
 17    21   65536  0.9   6496         14.0            1.97     0.658   0.587    0.551   1.62           2.00           1.48    0.525   3.77    0.538  0.516   0.539
 18    21   65536  0.95 41978          2.33           0.213    0.143   0.164    0.170   1.40          73.6            0.243   0.177   2.11    0.204  0.173   0.219
 19    21  131072  0.7     41          2.09           0.844    1.82    8.57    13.0     1.36           1.20           0.815  13.5     1.28   17.4   14.6    19.0  
 20    21  131072  0.75   159          5.93           2.14     3.92    8.61    16.1     0.739          3.02           2.04    8.72    0.667   7.79  14.3     9.28 
 21    21  131072  0.8   1105         25.9            8.27     1.90    1.12     1.70    1.05          10.3            7.60    1.09    1.69    1.36   1.29    1.71 
 22    21  131072  0.85  1471         13.2            2.67     0.672   0.679   NA       2.39           3.04           2.29    0.645   1.88    0.651  0.659   0.672
 23    21  131072  0.85  1470         NA             NA       NA      NA        0.626  NA             NA             NA      NA      NA      NA     NA      NA    
 24    21  131072  0.9   6496         13.9            1.99     0.579   0.541    0.523   1.53           1.96           1.48    0.540   2.23    0.563  0.569   0.467
 25    21  131072  0.95 41978          2.33           0.220    0.150   0.165    0.162   0.587         72.7            0.245   0.169   2.41    0.199  0.181   0.193
 26    21  262144  0.7     41          2.08           0.846    1.28    9.18     7.34    1.36           1.21           0.816  11.9     1.28   16.3   14.1    19.0  
 27    21  262144  0.75   159          5.92           2.15     2.68    4.56    15.2     0.917          3.05           2.05    9.12    0.689   6.67   9.11    6.34 
 28    21  262144  0.8   1105         25.8            8.30     1.75    1.11     3.73    1.06          10.4            7.69    1.08    1.84    1.21   1.28    1.07 
 29    21  262144  0.85  1470         13.1            2.69     0.672   0.675   NA       1.55           3.11           2.32    0.673   0.813  NA     NA      NA    
 30    21  262144  0.85  1471         NA             NA       NA      NA        0.626  NA             NA             NA      NA      NA       0.638  0.679   0.687
 31    21  262144  0.9   6496         13.8            1.99     0.576   0.538    0.520   0.743          1.89           1.47    0.532   1.26    0.595  0.541   0.503
 32    21  262144  0.95 41978          2.31           0.225    0.154   0.166    0.163   0.402         71.4            0.235   0.164   0.936   0.176  0.189   0.181
 33    21  524288  0.7     41          2.08           0.845    2.91    8.66    13.5     1.36           1.23           0.817   9.78    1.28   15.8   13.1    18.5  
 34    21  524288  0.75   159          5.92           2.15     3.23    6.17    18.2     0.739          3.11           2.05    3.38    0.667   5.05   2.83    4.63 
 35    21  524288  0.8   1105         25.8            8.39     1.65    1.11     3.07    1.06          10.7            7.67    1.09    1.26    1.20   1.21    1.04 
 36    21  524288  0.85  1471         13.1            2.72     0.712   0.673    0.664   0.671          3.28           2.34    0.673   0.847   0.660  0.679   0.668
 37    21  524288  0.9   6496         13.8            1.99     0.563   0.547    0.504   0.681          1.73           1.45    0.535   1.03    0.577  0.527   0.528
 38    21  524288  0.95 41978          2.31           0.223    0.166   0.167    0.166   0.229         68.6            0.240   0.162   1.57    0.166  0.169   0.177
 39    31   16384  0.7     41          2.25           1.32     8.15    9.67    10.3     0.432          1.60           1.29    7.46    0.406  NA     NA      NA    
 40    31   16384  0.75   159          6.45           3.45    49.0    25.4     52.6     0.525          4.25           3.44   32.9     0.535  NA     NA      NA    
 41    31   16384  0.8   1105         28.8           14.3     89.0    17.0     73.4     4.88          16.6           13.7    31.4     4.15   NA     NA      NA    
 42    31   16384  0.85  1471         15.5            5.21     8.80    2.04     4.57    2.86           6.79           5.18    2.89    3.19   NA     NA      NA    
 43    31   16384  0.9   6496         18.5            4.82     1.80    1.95     2.09    2.20           2.79           4.29    1.82    6.05   NA     NA      NA    
 44    31   16384  0.95 41978          3.73           0.674    0.540   0.513    1.49    3.34          27.7            0.538   0.456   3.66   NA     NA      NA    
 45    31   32768  0.7     41          2.26           1.31     4.92    9.07     6.45    0.432          1.59           1.27    9.10    0.406  20.2   19.1    19.1  
 46    31   32768  0.75   159          6.48           3.49    30.2    21.1     33.9     0.527          4.26           3.46   17.4     0.551  52.3   49.9    42.8  
 47    31   32768  0.8   1105         28.9           14.5     60.7     4.10    56.4     4.07          16.6           13.8     7.07    4.21    6.24  54.8    77.1  
 48    31   32768  0.85  1471         15.5            5.41     4.15    2.05     2.19    2.08           6.84           5.21    2.04    3.73    2.87   2.02    3.27 
 49    31   32768  0.9   6496         18.7            4.80     1.82    2.00     2.10    3.93           2.79           4.34    1.84    4.49    1.68   2.19    1.90 
 50    31   32768  0.95 41978          3.81           0.702    0.505   0.530    0.504   1.68          27.4            0.543   0.464   3.52    0.491  0.563   0.533
 51    31   65536  0.7     41          2.26           1.32     8.67    6.88    10.4     0.432          1.59           1.29   12.4     0.406  19.1   19.1    19.1  
 52    31   65536  0.75   159          6.47           3.52    31.7    21.4     24.0     0.528          4.24           3.45   11.3     0.566  34.4   27.0    21.8  
 53    31   65536  0.8   1105         28.8           14.4     69.3     4.02    23.9     4.06          16.6           13.7     3.83    4.26    5.09   4.86   38.6  
 54    31   65536  0.85  1471         15.5            5.45     3.29    2.07     2.16    2.08           6.81           5.16    2.04    2.83    2.82   1.93    2.15 
 55    31   65536  0.9   6496         18.7            4.87     1.83    1.99     2.12    3.81           2.78           4.35    1.89    2.60    1.83   2.09    1.90 
 56    31   65536  0.95 41978          3.82           0.749    0.463   0.504    0.531   2.41          27.3            0.527   0.480   3.85    0.461  0.474   0.463
 57    31  131072  0.7     41          2.26           1.31     6.52    9.64     6.95    0.432          1.59           1.29   12.4     0.406  19.1   19.1    19.1  
 58    31  131072  0.75   159          6.47           3.53    15.9     8.72    17.1     0.525          4.27           3.45    7.00    0.553  20.4   15.5    14.4  
 59    31  131072  0.8   1105         28.8           14.3     32.5     4.69    10.7     4.74          16.7           13.7     4.63    4.87    5.31   5.00    4.09 
 60    31  131072  0.85  1471         15.5            5.53     2.30    2.02     1.99    2.01           6.88           5.20    2.04    2.85    2.10   1.95    2.04 
