# A tibble: 56 × 18
# Groups:   k, totbits, bin [54]
       k totbits   bin     n    BD1    BD2     BD4 `BMH1-500000` `BMH1-50000000`    Dash1    FSS1  JItrue `PMH1-500000` `PMH1-50000000`     SS1 WJItrue     BD8      Mash
   <int>   <dbl> <dbl> <int>  <dbl>  <dbl>   <dbl>         <dbl>           <dbl>    <dbl>   <dbl>   <dbl>         <dbl>           <dbl>   <dbl>   <dbl>   <dbl>     <dbl>
 1    21   16384  0.85  1106  0.441  1.15    1.20           8.39           1.71     1.38    0.305   0.575          1.11           1.36    0.320   0.702  NA        NA    
 2    21   16384  0.9   6496  0.644  0.626   0.704         13.9            1.97     0.651   0.562   3.56           1.97           1.63    0.460   7.16   NA        NA    
 3    21   16384  0.95 41978  0.176  0.168   0.218          2.32           0.217    0.184   0.203   0.913         73.4            0.261   0.197   6.36   NA        NA    
 4    21   32768  0.85  1106  0.413  1.14    1.15           8.43           1.72     0.482   0.310   0.348          1.10           1.41    0.337   0.734   1.20      0.325
 5    21   32768  0.9   6496  0.630  0.539   0.625         14.0            2.00     0.751   0.603   2.82           1.98           1.54    0.499   3.81    0.704     0.542
 6    21   32768  0.95 41978  0.212  1.14    1.16           2.34           0.239    0.154   0.175   1.69          74.0            0.250   0.182   3.96    0.218     0.206
 7    21   65536  0.85  1106  0.404  0.357   1.14           8.44           1.68     0.339   0.345   0.369          1.11           1.39    0.322   0.953   1.15      0.278
 8    21   65536  0.9   6496  0.631  0.525   0.538         14.0            1.97     0.658   0.587   1.62           2.00           1.48    0.525   3.77    0.625     0.516
 9    21   65536  0.95 41978  0.163  1.13    0.174          2.33           0.213    0.143   0.164   1.40          73.6            0.243   0.177   2.11    0.168     0.173
10    21  131072  0.85  1106  0.402  0.344   0.356          8.41           1.70     0.327   0.326   1.30           1.13           1.41    0.315   0.655   1.14      0.273
11    21  131072  0.9   6496  0.609  0.524   0.524         13.9            1.99     0.579   0.541   1.53           1.96           1.48    0.540   2.23    0.538     0.569
12    21  131072  0.95 41978  0.161  0.162   0.164          2.33           0.220    0.150   0.165   0.587         72.7            0.245   0.169   2.41    0.174     0.181
13    21  262144  0.85  1105  0.399 NA      NA              8.38           1.69     0.321   0.313   1.19           1.16           1.43    0.323   0.433  NA        NA    
14    21  262144  0.85  1106 NA      0.341   0.343         NA             NA       NA      NA      NA             NA             NA      NA      NA       0.356     0.304
15    21  262144  0.9   6496  0.606  0.503   0.523         13.8            1.99     0.576   0.538   0.743          1.89           1.47    0.532   1.26    0.524     0.541
16    21  262144  0.95 41978  0.166  0.157   1.13           2.31           0.225    0.154   0.166   0.402         71.4            0.235   0.164   0.936   1.13      0.189
17    21  524288  0.85  1106  0.396 NA       0.341          8.38           1.70     0.356   0.317   0.312          1.27           1.43    0.326   0.375   0.343     0.317
18    21  524288  0.85  1105 NA      0.336  NA             NA             NA       NA      NA      NA             NA             NA      NA      NA      NA        NA    
19    21  524288  0.9   6496  0.626  0.502   0.503         13.8            1.99     0.563   0.547   0.681          1.73           1.45    0.535   1.03    0.523     0.527
20    21  524288  0.95 41978  0.166  0.164   0.157          2.31           0.223    0.166   0.167   0.229         68.6            0.240   0.162   1.57    0.162     0.169
21    31   16384  0.85  1106  1.16   0.960   1.82           9.96           3.45     4.45    1.01    1.15           3.59           3.26    1.91    2.16   NA        NA    
22    31   16384  0.9   6496  2.20   2.04    1.82          18.5            4.82     1.80    1.95    2.20           2.79           4.29    1.82    6.05   NA        NA    
23    31   16384  0.95 41978  0.543  0.499   0.434          3.73           0.674    0.540   0.513   3.34          27.7            0.538   0.456   3.66   NA        NA    
24    31   32768  0.85  1106  1.20   0.958   0.959         10.0            3.47     2.77    1.05    1.09           3.62           3.25    1.08    2.75    1.82      1.06 
25    31   32768  0.9   6496  2.26   1.96    2.04          18.7            4.80     1.82    2.00    3.93           2.79           4.34    1.84    4.49    1.82      2.19 
26    31   32768  0.95 41978  0.515  1.47    0.499          3.81           0.702    0.505   0.530   1.68          27.4            0.543   0.464   3.52    1.40      0.563
27    31   65536  0.85  1106  1.19   1.00    0.958         10.0            3.50     1.88    1.05    1.09           3.62           3.25    1.05    1.81    0.959     1.03 
28    31   65536  0.9   6496  2.20   2.00    1.96          18.7            4.87     1.83    1.99    3.81           2.78           4.35    1.89    2.60    2.04      2.09 
29    31   65536  0.95 41978  0.506  1.45    2.44           3.82           0.749    0.463   0.504   2.41          27.3            0.527   0.480   3.85    1.48      0.474
30    31  131072  0.85  1106  1.19   0.993   1.00          10.0            3.52     1.07    1.02    1.02           3.65           3.25    1.07    1.12    0.958     1.01 
31    31  131072  0.9   6496  2.22   1.95    2.00          18.6            4.91     1.94    1.96    2.15           2.82           4.27    1.92    2.43    1.96      2.00 
32    31  131072  0.95 41978  0.523  0.469   0.457          3.83           0.758    0.478   0.484   0.455         27.0            0.516   0.487   0.907   1.47      0.430
33    31  262144  0.85  1106  1.19   0.992   0.993         10.0            3.51     1.83    1.01    1.02           3.69           3.25    1.04    1.86    1.00      1.01 
34    31  262144  0.9   6496  2.22   1.98    1.95          18.6            4.93     1.95    1.95    2.81           2.90           4.26    1.93    4.15    2.00      2.02 
35    31  262144  0.95 41978  0.522  1.48    0.468          3.82           0.764    0.498   0.492   0.465         26.5            0.516   0.484   3.43    0.457     0.433
36    31  524288  0.85  1106  1.21   1.00    0.991         10.0            3.50     0.993   1.02    1.02           3.82           3.24    1.03    1.81    0.993     1.02 
37    31  524288  0.9   6496  2.21   1.98    1.98          18.5            4.91     1.94    1.94    1.91           3.11           4.24    1.93    2.18    1.95      1.93 
38    31  524288  0.95 41978  0.524  0.484   1.48           3.82           0.761    0.485   0.491   1.37          25.3            0.530   0.483   0.595   1.43      0.449
39    71   16384  0.85  1106  4.35  24.6   137.            12.2            7.48   347.    201.     13.4            8.64           7.38  204.     19.5    NA        NA    
40    71   16384  0.9   6496  7.60   6.81   10.9           25.5           10.8   1894.    259.     84.7           14.4           10.5   230.     88.2    NA        NA    
41    71   16384  0.95 41978  2.35   2.21    2.15           8.24           7.70  1418.    270.    569.             9.74           8.44  200.    567.     NA        NA    
42    71   32768  0.85  1106  4.41   5.26   25.4           12.2            7.48   292.    149.     15.0            8.66           7.39  163.     16.3   137.      871.   
43    71   32768  0.9   6496  7.70   6.91    6.81          25.5           10.9   1665.    148.     82.9           14.4           10.5   133.     92.4    10.9    5640.   
44    71   32768  0.95 41978  2.35   3.24    2.21           8.32           7.66   722.    221.    574.             9.77           8.34  170.    559.      2.15  40770.   
45    71   65536  0.85  1106  4.39   3.78    5.25          12.2            7.49   277.     99.8    13.4            8.66           7.40   92.2    18.5    25.4     871.   
46    71   65536  0.9   6496  7.64   7.02    6.91          25.5           10.9   1375.     69.8    81.1           14.4           10.6    75.4    83.9     6.81   5640.   
47    71   65536  0.95 41978  2.33   4.24    2.24           8.33           7.61   534.    143.    569.             9.78           8.30  101.    556.      2.21  40770.   
48    71  131072  0.85  1106  4.40   3.77    3.77          12.2            7.50   265.     69.7    12.6            8.69           7.40   63.1    15.5     5.25    871.   
49    71  131072  0.9   6496  7.71   6.96    7.02          25.5           10.9   1086.     30.1    81.9           14.5           10.5    38.3    81.2     6.91   5640.   
50    71  131072  0.95 41978  2.35   2.22    2.24           8.32           7.61   367.     79.7   570.             9.68           8.30   90.6   555.      2.24  40770.   
51    71  262144  0.85  1106  4.41   3.78    3.77          12.2            7.49   214.     26.0    12.6            8.72           7.40   30.1    15.5     3.77    871.   
52    71  262144  0.9   6496  7.72   7.05    6.96          25.5           10.9    731.     21.1    81.1           14.6           10.6    20.8    79.4     7.02   5640.   
53    71  262144  0.95 41978  2.36   2.24    4.18           8.29           7.58   285.     76.1   568.             9.53           8.26   46.8   550.      2.24  40770.   
54    71  524288  0.85  1106  4.40   3.79    3.78          12.2            7.49   140.     16.0    13.4            8.80           7.39   17.5    15.4     3.77    871.   
55    71  524288  0.9   6496  7.73   7.06    7.05          25.5           10.9    306.     15.9    80.2           14.9           10.6     8.83   79.3     6.96   5640.   
56    71  524288  0.95 41978  2.40   3.22    2.24           8.29           7.59   225.     51.9   569.             9.23           8.26   45.1   550.      2.22  40770.   
