# A tibble: 20 × 17
# Groups:   k, totbits, bin [18]
     bin     k totbits     n `BMH1-500000` `BMH1-50000000` Dash1  FSS1  FSSN JItrue `PMH1-500000` `PMH1-50000000`   SS1 WJItrue  FSS8  Mash   SS8
   <dbl> <int>   <dbl> <int>         <dbl>           <dbl> <dbl> <dbl> <dbl>  <dbl>         <dbl>           <dbl> <dbl>   <dbl> <dbl> <dbl> <dbl>
 1     0    21   16384 51250          870.            351.  326.  204.  224.   195.         1939.            340.  221.    231.   NA    NA    NA 
 2     0    21   32768 51250          871.            349.  258.  199.  214.   192.         1946.            334.  200.    210.  251.  278.  240.
 3     0    21   65536 51250          870.            346.  199.  194.  215.   190.         1943.            332.  189.    206.  214.  220.  223.
 4     0    21  131072 51250          870.            347.  180.  191.   NA    189.         1933.            334.  196.    200.  208.  212.  205.
 6     0    21  262144 51250          869.            347.  174.  187.   203.    186.         1918.            333.  194.    189.   204    204    201 
 8     0    21  524288 51250          869.            347.  174.  189.  206.   183.         1885.            333.  186.    187.  199.  191.  198.
 9     0    31   16384 51250          954.            511.  514.  385.  501.   327.         1369.            484.  396.    349.   NA    NA    NA 
10     0    31   32768 51250          960.            518.  445.  368.  451.   325.         1364.            489.  356.    344.  404.  474.  494.
11     0    31   65536 51250          960.            525.  454.  364.  406.   325.         1363.            486.  353.    338.  381.  382.  406.
12     0    31  131072 51250          960.            527.  396.  350.  372.   321.         1360.            483.  352.    333.  378.  365.  352.
13     0    31  262144 51250          960.            528.  374.  348.  367.   321.         1353.            483.  346.    336.  371.  357.  350.
14     0    31  524288 51250          960.            527.  359.  348.  353.   320.         1337.            484.  348.    329.  358.  353.  352.
15     0    71   16384 51250         1211.           1077. 5512. 2198. 4755.  4585.         1209.           1097. 2071.   4536.   NA    NA    NA 
16     0    71   32768 51250         1213.           1077. 4351. 1914. 3991.  4590.         1211.           1094. 1887.   4525. 3150.   NA  3019.
17     0    71   65536 51250         1214.           1076. 3765. 1692. 3399.  4581.         1211.           1093. 1622.   4516. 2090.   NA  2100.
18     0    71  131072 51250         1213.           1076. 3416. 1476. 2784.  4580.         1209.           1093. 1486.   4506. 1596.   NA  1488.
19     0    71  262144 51250         1212.           1075. 2872. 1368. 2518.  4577.         1206.           1093. 1354.   4498. 1305.   NA  1260.
20     0    71  524288 51250         1212.           1075. 2226. 1297. 2152.  4578.         1199.           1092. 1301.   4498. 1190.   NA  1175.
