# A tibble: 20 × 18
# Groups:   k, totbits, bin [18]
     bin     k totbits     n   BD1   BD2   BD4 `BMH1-500000` `BMH1-50000000` Dash1  FSS1 JItrue `PMH1-500000` `PMH1-50000000`   SS1 WJItrue   BD8   Mash
   <dbl> <int>   <dbl> <int> <dbl> <dbl> <dbl>         <dbl>           <dbl> <dbl> <dbl>  <dbl>         <dbl>           <dbl> <dbl>   <dbl> <dbl>  <dbl>
 1     0    21   16384 49580  129.  123.  137.          621.            209.  134.  123.   139.         1778.            208.  121.    167.   NA     NA 
 2     0    21   32768 49580  129.  122.  124.          621.            211.  132.  123.   137.         1786.            203.  121.    151.  137.   126.
 3     0    21   65536 49580  128.  122.  121.          620.            207.  122.  122.   134.         1783.            200.  120.    148.  123.   116.
 4     0    21  131072 49580  125.  120.  121.          620.            208.  120.  120.   133.         1772.            202.  119.    140.  121.   123.
 5     0    21  262144 49579  126.   NA    NA           619.            208.  119.  119.   131.         1756.            200.  119.    132.   NA     NA 
 6     0    21  262144 49580   NA   117.  121.           NA              NA    NA    NA     NA            NA              NA    NA      NA   122.   122.
 7     0    21  524288 49580  127.   NA   117.          618.            208.  120.  120.   128.         1721.            200.  119.    130.  120.   119.
 8     0    21  524288 49579   NA   118.   NA            NA              NA    NA    NA     NA            NA              NA    NA      NA    NA     NA 
 9     0    31   16384 49580  242.  225.  207.          690.            330.  236.  235.   231.         1166.            305.  227.    254.   NA     NA 
10     0    31   32768 49580  244.  228.  225.          695.            335.  232.  239.   231.         1161.            309.  229.    249.  208.   243.
11     0    31   65536 49580  246.  230.  229.          695.            342.  228.  237.   231.         1160.            306.  233.    242.  226.   232.
12     0    31  131072 49580  248.  232.  229.          696.            344.  233.  235.   225.         1156.            304.  235.    235.  228.   228.
13     0    31  262144 49580  249.  236.  232.          695.            344.  236.  236.   226.         1149.            303.  235.    239.  229.   228.
14     0    31  524288 49580  250.  235.  236.          695.            343.  234.  236.   225.         1131.            304.  235.    232.  233.   229.
15     0    71   16384 49580  522.  519.  640.          930.            837. 4816. 1693.  4509.          954.            857. 1609.   4454.   NA     NA 
16     0    71   32768 49580  522.  504.  520.          933.            836. 3765. 1461.  4513.          956.            855. 1418.   4447.  640. 48400.
17     0    71   65536 49580  520.  505.  503.          933.            835. 3232. 1248.  4505.          956.            854. 1207.   4436.  520. 48400.
18     0    71  131072 49580  523.  500.  503.          932.            836. 2758. 1111.  4505.          954.            854. 1125.   4427.  503. 48400.
19     0    71  262144 49580  524.  504.  502.          931.            834. 2240. 1051.  4502.          951.            853. 1029.   4420.  503. 48400.
20     0    71  524288 49580  525.  506.  504.          931.            835. 1643. 1015.  4503.          944.            853. 1001.   4419.  500. 48400.
