# A tibble: 20 × 17
# Groups:   k, totbits, bin [18]
     bin     k totbits     n `BMH1-500000` `BMH1-50000000`   Dash1    FSS1    FSSN  JItrue `PMH1-500000` `PMH1-50000000`     SS1 WJItrue    FSS8  Mash     SS8
   <dbl> <int>   <dbl> <int>         <dbl>           <dbl>   <dbl>   <dbl>   <dbl>   <dbl>         <dbl>           <dbl>   <dbl>   <dbl>   <dbl> <dbl>   <dbl>
 1     0    21   16384 51250          618.            270.   -19.3    68.9    94.9    39.7        -1516.            220.    19.1    13.3    NA    NA      NA  
 2     0    21   32768 51250          629.            269.    63.1    85.3    58.7    43.8        -1527.            215.    56.8    38.3    44.8 -49.2    26.6
 3     0    21   65536 51250          629.            279.    99.5    80.5    52.9    46.7        -1524.            214.    71.1    43.9    61.8  24.1    32.0
 4     0    21  131072 51250          627.            278.   101.     75.7    NA      47.7        -1509.            213.    66.8    50.3    64.7  84.6    35.8
 5     0    21  131072 51249           NA              NA     NA      NA      62.1    NA             NA              NA     NA      NA      NA    NA      NA  
 6     0    21  262144 51249          624.            279.   104.     81.2    NA      51.0        -1488.            217.    67.9    62.0    NA    NA      NA  
 7     0    21  262144 51250           NA              NA     NA      NA      66.2    NA             NA              NA     NA      NA      76.9  85.7    55.0
 8     0    21  524288 51250          623.            280.    95.7    79.8    51.1    54.1        -1442.            214.    79.4    64.4    75.0  87.3    62.9
 9     0    31   16384 51250          862.            503.   140.    255.    158.    285.          -637.            470.   215.    267.     NA    NA      NA  
10     0    31   32768 51250          871.            511.   211.    286.    215.    289.          -630.            475.   275.    278.    203.  163.    145. 
11     0    31   65536 51250          870.            519.   184.    287.    265.    291.          -629.            472.   288.    289.    232.  255.    208. 
12     0    31  131072 51250          869.            522.   265.    297.    291.    297.          -621.            468.   295.    295.    267.  268.    258. 
13     0    31  262144 51250          869.            522.   285.    301.    296.    296.          -608.            469.   299.    294.    282.  277.    278. 
14     0    31  524288 51250          869.            520.   304.    301.    310.    298.          -574.            471.   298.    303.    292.  284.    287. 
15     0    71   16384 51250         1086.            180. -5055.  -1811.  -4394.  -4393.           254.            141. -1670.  -4340.     NA    NA      NA  
16     0    71   32768 51250         1091.            183. -3884.  -1518.  -3636.  -4397.           254.            146. -1502.  -4327.  -2886.   NA   -2698. 
17     0    71   65536 51250         1091.            185. -3317.  -1300.  -3049.  -4389.           256.            150. -1222.  -4318.  -1737.   NA   -1724. 
18     0    71  131072 51250         1088.            187. -3049.  -1068.  -2423.  -4387.           261.            150. -1079.  -4307.  -1197.   NA   -1077. 
19     0    71  262144 51250         1086.            188. -2518.   -947.  -2189.  -4384.           271.            151.  -940.  -4298.   -874.   NA    -830. 
20     0    71  524288 51250         1086.            188. -1853.   -867.  -1812.  -4385.           292.            151.  -886.  -4298.   -751.   NA    -733. 
