# A tibble: 20 × 18
# Groups:   k, totbits, bin [18]
     bin     k totbits     n   BD1   BD2   BD4 `BMH1-500000` `BMH1-50000000`   Dash1    FSS1  JItrue `PMH1-500000` `PMH1-50000000`     SS1  WJItrue   BD8     Mash
   <dbl> <int>   <dbl> <int> <dbl> <dbl> <dbl>         <dbl>           <dbl>   <dbl>   <dbl>   <dbl>         <dbl>           <dbl>   <dbl>    <dbl> <dbl>    <dbl>
 1     0    21   16384 49580  76.1  71.5  79.7          368.           128.     53.7    53.5    17.2    -1678.                87.7    46.3    -3.98  NA       NA  
 2     0    21   32768 49580  71.6  62.0  70.3          378.           130.     68.2    66.7    18.6    -1687.                83.1    57.1    14.1   79.7     38.6
 3     0    21   65536 49580  74.0  58.5  62.9          379.           140.     64.9    64.6    22.3    -1684.                81.3    61.2    18.1   71.3     64.1
 4     0    21  131072 49580  77.0  62.0  59.3          377.           140.     60.2    62.1    23.4    -1670.                80.6    63.6    26.6   62.9     85.5
 5     0    21  262144 49579  74.5  NA    NA            374.           140.     65.6    63.9    25.9    -1650.                83.1    61.8    35.2   NA       NA  
 6     0    21  262144 49580  NA    64.4  60.9           NA             NA      NA      NA      NA         NA                 NA      NA      NA     58.4     79.0
 7     0    21  524288 49580  76.9  NA    64.3          373.           141.     65.2    64.5    28.6    -1607.                80.4    63.1    37.3   61.9     72.3
 8     0    21  524288 49579  NA    62.2  NA             NA             NA      NA      NA      NA         NA                 NA      NA      NA     NA       NA  
 9     0    31   16384 49580 236.  220.  198.           598.           322.    223.    230.    203.      -840.               290.    221.    184.    NA       NA  
10     0    31   32768 49580 239.  221.  220.           606.           328.    224.    235.    205.      -833.               295.    225.    193.   197.     238. 
11     0    31   65536 49580 242.  224.  220.           605.           336.    222.    233.    206.      -832.               292.    229.    203.   219.     228. 
12     0    31  131072 49580 245.  228.  224.           605.           338.    229.    231.    212.      -825.               288.    231.    211.   221.     223. 
13     0    31  262144 49580 245.  230.  228.           605.           338.    230.    232.    212.      -812.               289.    231.    208.   224.     224. 
14     0    31  524288 49580 246.  231.  230.           604.           337.    230.    232.    212.      -780.               290.    231.    216.   227.     225. 
15     0    71   16384 49580 521.  471.  326.           805.           -60.2 -4587.  -1536.  -4453.        -0.713            -98.6 -1451.  -4397.    NA       NA  
16     0    71   32768 49580 522.  498.  470.           810.           -57.6 -3553.  -1300.  -4456.        -0.0250           -93.1 -1261.  -4390.   326.  -48400. 
17     0    71   65536 49580 520.  501.  499.           810.           -54.9 -3048.  -1084.  -4448.         1.10             -89.5 -1045.  -4379.   470.  -48400. 
18     0    71  131072 49580 523.  500.  503.           808.           -53.7 -2592.   -945.  -4448.         6.57             -89.5  -961.  -4370.   499.  -48400. 
19     0    71  262144 49580 524.  504.  498.           806.           -51.9 -2085.   -882.  -4445.        15.8              -88.4  -863.  -4362.   503.  -48400. 
20     0    71  524288 49580 525.  504.  503.           805.           -52.1 -1473.   -844.  -4446.        36.4              -88.3  -836.  -4362.   500.  -48400. 
