# A tibble: 20 × 17
# Groups:   k, totbits, bin [18]
     bin     k totbits     n `BMH1-500000` `BMH1-50000000`   Dash1   FSS1   FSSN JItrue `PMH1-500000` `PMH1-50000000`   SS1 WJItrue   FSS8  Mash    SS8
   <dbl> <int>   <dbl> <int>         <dbl>           <dbl>   <dbl>  <dbl>  <dbl>  <dbl>         <dbl>           <dbl> <dbl>   <dbl>  <dbl> <dbl>  <dbl>
 1     0    21   16384 51250          63.1            16.8  108.     25.4   30.6   8.95          92.9            14.6  44.1   21.7    NA    NA     NA  
 2     0    21   32768 51250          63.5            16.3   51.9    20.6   37.4   8.37          93.3            14.4  27.3   13.0    49.3  90.4   49.2
 3     0    21   65536 51250          63.5            16.2   17.8    19.2   41.4   7.59          93.0            14.4  19.2   11.2    31.9  46.9   39.9
 4     0    21  131072 51250          63.3            16.1    9.04   19.7   NA     7.67          92.2            14.5  24.7   10.2    27.9  31.6   31.3
 6     0    21  262144 51250          63.1            16.2    7.11   16.2   32.1     6.03          91.1            14.6  23.5    6.82   25.6    25.9     27.8
 8     0    21  524288 51250          63.1            16.3    9.23   17.3   36.1   4.74          88.7            14.6  15.6    6.67   23.4  18.5   25.5
 9     0    31   16384 51250          75.1            29.7  157.     56.6  144.   14.2           59.8            28.4  76.9   18.0    NA    NA     NA  
10     0    31   32768 51250          75.6            30.2  102.     38.9  102.   12.7           59.5            28.6  37.9   16.9    83.8 129.   145. 
11     0    31   65536 51250          75.5            30.3  115.     36.9   63.0  13.3           59.3            28.5  32.0   14.5    63.7  55.5   84.0
12     0    31  131072 51250          75.5            30.4   59.7    27.5   39.3  10.3           59.2            28.4  28.5   12.0    49.4  44.0   41.9
13     0    31  262144 51250          75.4            30.5   43.1    25.0   34.9  10.9           59.1            28.5  24.8   16.4    41.0  37.5   34.0
14     0    31  524288 51250          75.4            30.4   29.7    25.0   24.6  10.3           58.6            28.5  26.0   11.4    32.2  33.4   31.8
15     0    71   16384 51250          94.3            61.9 4151.   1060.  3426.  675.            72.6            61.8 925.   686.     NA    NA     NA  
16     0    71   32768 51250          94.5            61.8 3071.    803.  2703.  680.            72.6            61.8 767.   676.   1951.   NA   1816. 
17     0    71   65536 51250          94.5            61.8 2531.    591.  2180.  673.            72.7            61.8 521.   668.    968.   NA    969. 
18     0    71  131072 51250          94.4            61.8 2185.    388.  1614.  672.            72.7            61.9 398.   661.    504.   NA    387. 
19     0    71  262144 51250          94.3            61.8 1676.    289.  1363.  669.            72.8            61.8 271.   653.    231.   NA    179. 
20     0    71  524288 51250          94.3            61.8 1074.    218.  1012.  670.            73.1            61.8 224.   653.    121.   NA    105. 
