# A tibble: 20 × 18
# Groups:   k, totbits, bin [18]
     bin     k totbits     n   BD1   BD2    BD4 `BMH1-500000` `BMH1-50000000`   Dash1   FSS1 JItrue `PMH1-500000` `PMH1-50000000`     SS1 WJItrue    BD8      Mash
   <dbl> <int>   <dbl> <int> <dbl> <dbl>  <dbl>         <dbl>           <dbl>   <dbl>  <dbl>  <dbl>         <dbl>           <dbl>   <dbl>   <dbl>  <dbl>     <dbl>
 1     0    21   16384 49580  1.26  1.95   2.12          24.6            3.90    2.22   1.07   5.05          76.4            3.25   0.977   14.2   NA       NA    
 2     0    21   32768 49580  1.26  2.82   2.94          24.8            3.96    1.39   1.09   4.86          77.0            3.19   1.02     8.51   2.12     1.07 
 3     0    21   65536 49580  1.20  2.02   1.86          24.8            3.87    1.14   1.10   3.40          76.7            3.11   1.02     6.83   1.95     0.967
 4     0    21  131072 49580  1.17  1.03   1.04          24.6            3.91    1.06   1.03   3.42          75.8            3.13   1.02     5.29   1.86     1.02 
 5     0    21  262144 49579  1.17 NA     NA             24.5            3.90    1.05   1.02   2.34          74.5            3.13   1.02     2.63  NA       NA    
 6     0    21  262144 49580 NA     1.00   2.00          NA             NA      NA     NA     NA             NA             NA     NA       NA      2.01     1.03 
 7     0    21  524288 49580  1.19 NA      1.00          24.5            3.91    1.08   1.03   1.22          71.6            3.12   1.02     2.98   1.03     1.01 
 8     0    21  524288 49579 NA     1.00  NA             NA             NA      NA     NA     NA             NA             NA     NA       NA     NA       NA    
 9     0    31   16384 49580  3.90  3.50   4.08          32.2            8.94    6.79   3.47   6.69          34.1            8.08   4.18    11.9   NA       NA    
10     0    31   32768 49580  3.98  4.39   3.50          32.5            8.97    5.10   3.58   6.70          33.8            8.14   3.38    10.8    5.04     3.82 
11     0    31   65536 49580  3.90  4.45   5.35          32.5            9.12    4.17   3.54   7.31          33.7            8.13   3.43     8.26   4.48     3.60 
12     0    31  131072 49580  3.93  3.41   3.46          32.5            9.19    3.49   3.46   3.62          33.5            8.04   3.48     4.45   4.39     3.43 
13     0    31  262144 49580  3.94  4.45   3.41          32.4            9.20    4.28   3.45   4.30          33.1            8.03   3.46     9.44   3.46     3.46 
14     0    31  524288 49580  3.94  3.47   4.45          32.4            9.17    3.42   3.45   4.30          32.3            8.02   3.44     4.58   4.38     3.40 
15     0    71   16384 49580 14.3  33.6  150.            46.0           26.0  3658.   729.   667.            32.8           26.3  634.     675.    NA       NA    
16     0    71   32768 49580 14.5  15.4   34.4           46.1           26.0  2680.   517.   672.            32.9           26.3  466.     668.   150.   47281.   
17     0    71   65536 49580 14.4  15.0   14.4           46.1           26.0  2186.   312.   664.            32.9           26.3  269.     659.    34.4  47281.   
18     0    71  131072 49580 14.5  12.9   13.0           46.0           26.0  1718.   179.   665.            32.9           26.2  192.     652.    14.4  47281.   
19     0    71  262144 49580 14.5  13.1   14.9           46.0           25.9  1231.   123.   662.            32.9           26.2   97.7    645.    13.0  47281.   
20     0    71  524288 49580 14.5  14.1   13.1           46.0           25.9   670.    83.9  663.            32.9           26.2   71.4    645.    12.9  47281.   
