# A tibble: 387 × 10
# Groups:   k, totbits, bin [288]
        k totbits   bin     n       Dash1       FSS1        SS1       FSS8    Mash        SS8
    <int>   <dbl> <dbl> <int>       <dbl>      <dbl>      <dbl>      <dbl>   <dbl>      <dbl>
  1    21   16384  0     1585  3.64        3.19       3.24      NA         NA      NA        
  2    21   16384  0.05  1712  1.45        0.921      0.942     NA         NA      NA        
  3    21   16384  0.1   1974  0.673       0.223      0.167     NA         NA      NA        
  4    21   16384  0.15  2040  0.621       0.328      0.235     NA         NA      NA        
  5    21   16384  0.2   2169  0.678       0.160      0.289     NA         NA      NA        
  6    21   16384  0.25  2597  1.04        0.357      0.309     NA         NA      NA        
  7    21   16384  0.3   2474  0.719       0.343      0.114     NA         NA      NA        
  8    21   16384  0.35  2840  0.788       0.406      0.167     NA         NA      NA        
  9    21   16384  0.4   2872  0.565       0.459      0.181     NA         NA      NA        
 10    21   16384  0.45  2810  0.687       0.514      0.342     NA         NA      NA        
 11    21   16384  0.5   2460  1.03        0.435      0.454     NA         NA      NA        
 12    21   16384  0.55  3340  0.853       0.627      0.711     NA         NA      NA        
 13    21   16384  0.6   2630  0.947       0.752      0.719     NA         NA      NA        
 14    21   16384  0.65  2949  1.29        1.39       1.28      NA         NA      NA        
 15    21   16384  0.7   3275  1.76        1.98       1.53      NA         NA      NA        
 16    21   16384  0.75  2934  1.71        2.35       1.96      NA         NA      NA        
 17    21   16384  0.8   3701  2.77        3.39       2.83      NA         NA      NA        
 18    21   16384  0.85  2972  3.74        4.22       3.33      NA         NA      NA        
 19    21   16384  0.9   2196  1.37        1.44       1.39      NA         NA      NA        
 20    21   16384  0.95  1720  1.02        0.954      1.01      NA         NA      NA        
 21    21   32768  0     1564  2.93        2.62       2.59      11.3       11.0    11.1        
 23    21   32768  0.05  1717  1.37        1.14       1.12      5.64       5.54    5.64        
 25    21   32768  0.1   1982  0.657       0.411      0.355     2.23         2.10      2.20        
 27    21   32768  0.15  2044  0.737       0.198      0.159     NA         NA      NA        
 28    21   32768  0.15  2012 NA          NA         NA          1.03       1.22    1.08     
 29    21   32768  0.2   2173  0.504       0.185      0.200     NA         NA      NA        
 30    21   32768  0.2   2059 NA          NA         NA          0.509      0.925   0.441    
 31    21   32768  0.25  2603  0.641       0.295      0.217     NA         NA      NA        
 32    21   32768  0.25  2495 NA          NA         NA          1.20       0.680   1.13     
 33    21   32768  0.3   2472  0.258       0.266      0.0890    NA         NA      NA        
 34    21   32768  0.3   2410 NA          NA         NA          1.31       0.375   0.612    
 35    21   32768  0.35  2838  0.545       0.547      0.313     NA         NA      NA        
 36    21   32768  0.35  2817 NA          NA         NA          1.54       0.620   0.647    
 37    21   32768  0.4   2872  0.637       0.644      0.167     NA         NA      NA        
