# A tibble: 19 × 10
# Groups:   k, totbits, bin [18]
     bin     k totbits     n Dash1  FSS1   SS1  FSS8  Mash   SS8
   <dbl> <int>   <dbl> <int> <dbl> <dbl> <dbl> <dbl> <dbl> <dbl>
 1     0    21   16384 51250  862.  754.  686.   NA    NA    NA 
 2     0    21   32768 51250  780.  776.  645.  998.  989.  931.
 3     0    21   65536 51250  734.  699.  644.  845.  929.  840.
 4     0    21  131072 51250  662.  653.  652.  757. 1079.  681.
 5     0    21  262144 51249  696.  667.  626.   NA    NA    NA 
 6     0    21  262144 51250   NA    NA    NA   778.  932.  651.
 7     0    21  524288 51250  678.  663.  641.  707.  806.  656.
 8     0    31   16384 51250  824.  640.  561.   NA    NA    NA 
 9     0    31   32768 51250  666.  570.  506.  960.  927.  850.
10     0    31   65536 51250  600.  506.  516.  712.  735.  643.
11     0    31  131072 51250  513.  472.  500.  633.  604.  557.
12     0    31  262144 51250  499.  482.  470.  557.  480.  508.
13     0    31  524288 51250  476.  480.  464.  496.  430.  516.
14     0    71   16384 51250 1552. 1385. 1347.   NA    NA    NA 
15     0    71   32768 51250 1552. 1371. 1343. 1461.   NA  1395.
16     0    71   65536 51250 1481. 1345. 1338. 1421.   NA  1362.
17     0    71  131072 51250 1396. 1332. 1325. 1371.   NA  1331.
18     0    71  262144 51250 1347. 1320. 1314. 1359.   NA  1333.
19     0    71  524288 51250 1327. 1310. 1309. 1341.   NA  1331.
