# A tibble: 20 × 14
# Groups:   k, totbits, bin [18]
     bin     k totbits     n    BD1    BD2    BD4 Dash1  FSS1   SS1    BD8  FSS8  Mash   SS8
   <dbl> <int>   <dbl> <int>  <dbl>  <dbl>  <dbl> <dbl> <dbl> <dbl>  <dbl> <dbl> <dbl> <dbl>
 1     0    21   16384 49580   800.   926.  1333.  840.  747.  680.    NA    NA    NA    NA 
 2     0    21   32768 49580   713.   753.   926.  764.  770.  642.  1333.  986.  980.  919.
 3     0    21   65536 49580   717.   660.   752.  723.  696.  642.   925.  837.  922.  834.
 4     0    21  131072 49580   766.   655.   659.  656.  651.  650.   752.  751. 1073.  677.
 5     0    21  262144 49580   725.   691    655   691.  665.  624.   659   774   928   649 
 7     0    21  524288 49580   741.   648    691.  675.  662.  640.   655.  704.  803.  654.
 9     0    31   16384 49580   551.   670.   910.  806.  635.  556.    NA    NA    NA    NA 
10     0    31   32768 49580   501.   525.   670.  651.  567.  502.   911.  954.  919.  842.
11     0    31   65536 49580   521.   460.   526.  588.  504.  514.   671.  708.  730.  638.
12     0    31  131072 49580   528.   458.   459.  505.  471.  498.   525.  629.  599.  553.
13     0    31  262144 49580   535.   448.   458.  494.  481.  468.   459.  555.  478.  506.
14     0    31  524288 49580   542.   447.   447.  472.  479.  463.   458.  494.  428.  514.
15     0    71   16384 49580 19547. 19409. 19413. 1539. 1381. 1343.    NA    NA    NA    NA 
16     0    71   32768 49580 19529. 19438. 19409. 1541. 1368. 1340. 19413. 1459. 1175. 1392.
17     0    71   65536 49580 19464. 19420. 19438. 1472. 1343. 1335. 19409. 1419. 1176. 1359.
18     0    71  131072 49580 19494. 19350. 19421. 1391. 1329. 1323. 19438. 1369. 1177. 1328.
19     0    71  262144 49580 19494. 19380. 19349. 1343. 1318. 1312. 19421. 1357. 1177. 1330.
20     0    71  524288 49580 19517. 19381. 19380. 1324. 1308. 1308. 19350. 1339. 1177. 1329.
