# A tibble: 19 × 10
# Groups:   k, totbits, bin [18]
     bin     k totbits     n Dash1  FSS1   SS1  FSS8  Mash   SS8
   <dbl> <int>   <dbl> <int> <dbl> <dbl> <dbl> <dbl> <dbl> <dbl>
 1     0    21   16384 51250  543.  587.  487.   NA    NA    NA 
 2     0    21   32768 51250  629.  713.  587.  620.  523.  532.
 3     0    21   65536 51250  650.  657.  623.  624.  771.  545.
 4     0    21  131072 51250  607.  639.  644.  600. 1010.  507.
 5     0    21  262144 51249  673.  663.  621.   NA    NA    NA 
 6     0    21  262144 51250   NA    NA    NA   718.  889.  598.
 7     0    21  524288 51250  667.  660.  637.  667.  784.  637.
 8     0    31   16384 51250  484.  496.  379.   NA    NA    NA 
 9     0    31   32768 51250  442.  500.  398.  470.  579.  540.
10     0    31   65536 51250  417.  459.  465.  373.  395.  332.
11     0    31  131072 51250  422.  448.  469.  495.  378.  368.
12     0    31  262144 51250  456.  472.  456.  494.  329.  410.
13     0    31  524288 51250  448.  474.  456.  456.  359.  469.
14     0    71   16384 51250 1383. 1317. 1279.   NA    NA    NA 
15     0    71   32768 51250 1427. 1327. 1294. 1322.   NA  1276.
16     0    71   65536 51250 1398. 1317. 1305. 1333.   NA  1279.
17     0    71  131072 51250 1331. 1311. 1302. 1307.   NA  1272.
18     0    71  262144 51250 1298. 1305. 1296. 1319.   NA  1291.
19     0    71  524288 51250 1294. 1296. 1296. 1316.   NA  1302.
