# A tibble: 20 × 14
# Groups:   k, totbits, bin [18]
     bin     k totbits     n    BD1    BD2    BD4 Dash1  FSS1   SS1    BD8  FSS8   Mash   SS8
   <dbl> <int>   <dbl> <int>  <dbl>  <dbl>  <dbl> <dbl> <dbl> <dbl>  <dbl> <dbl>  <dbl> <dbl>
 1     0    21   16384 49580   757.   826.  1085.  527.  583.  488.    NA    NA     NA    NA 
 2     0    21   32768 49580   687.   680.   824.  617.  710.  587.  1085.  610.   525.  523.
 3     0    21   65536 49580   711.   610.   680.  643.  656.  623.   824.  618.   775.  543.
 4     0    21  131072 49580   765.   636.   610.  604.  638.  645.   680.  596.  1006.  508.
 5     0    21  262144 49579   724.    NA     NA   671.  661.  620.    NA    NA     NA    NA 
 6     0    21  262144 49580    NA    684.   635.   NA    NA    NA    609.  717.   886.  598.
 7     0    21  524288 49580   740.    NA    683.  667.  659.  636.   636.  666.   782.  638.
 8     0    21  524288 49579    NA    643.    NA    NA    NA    NA     NA    NA     NA    NA 
 9     0    31   16384 49580   424.   348.   156.  474.  497.  381.    NA    NA     NA    NA 
10     0    31   32768 49580   416.   321.   348.  434.  500.  399.   155.  470.   579.  537.
11     0    31   65536 49580   503.   313.   320.  410.  459.  465.   348.  374.   394.  332.
12     0    31  131072 49580   523.   405.   313.  417.  448.  470.   321.  494.   376.  370.
13     0    31  262144 49580   534.   426.   403.  453.  472.  456.   313.  493.   328.  411.
14     0    31  524288 49580   541.   438.   425.  445.  474.  456.   403.  455.   359.  469.
15     0    71   16384 49580 19547. 19409. 19413. 1371. 1314. 1276.    NA    NA     NA    NA 
16     0    71   32768 49580 19529. 19438. 19409. 1416. 1324. 1292. 19413. 1321. -1175. 1273.
17     0    71   65536 49580 19464. 19420. 19438. 1389. 1315. 1302. 19409. 1331. -1176. 1276.
18     0    71  131072 49580 19494. 19350. 19421. 1327. 1309. 1301. 19438. 1305. -1177. 1270.
19     0    71  262144 49580 19494. 19380. 19349. 1295. 1303. 1295. 19421. 1317. -1177. 1289.
20     0    71  524288 49580 19517. 19381. 19380. 1292. 1294. 1295. 19350. 1315. -1177. 1301.
