# A tibble: 19 × 10
# Groups:   k, totbits, bin [18]
     bin     k totbits     n Dash1  FSS1   SS1  FSS8  Mash   SS8
   <dbl> <int>   <dbl> <int> <dbl> <dbl> <dbl> <dbl> <dbl> <dbl>
 1     0    21   16384 51250  27.3  24.4  21.2  NA    NA    NA  
 2     0    21   32768 51250  23.8  23.5  19.5  46.5  45.4  43.2
 3     0    21   65536 51250  20.7  19.9  17.9  29.0  31.7  28.7
 4     0    21  131072 51250  18.0  18.5  17.6  24.6  37.2  21.2
 5     0    21  262144 51250  18.3  18.1  16.5  23.6    29.5    19.6  
 7     0    21  524288 51250  18.5  18.1  17.2  20.2  23.1  18.1
 8     0    31   16384 51250  24.1  16.9  14.5  NA    NA    NA  
 9     0    31   32768 51250  17.2  14.2  12.7  36.2  34.6  31.1
10     0    31   65536 51250  15.2  12.6  13.1  20.9  22.0  18.0
11     0    31  131072 51250  11.7  11.0  11.7  16.6  15.9  14.4
12     0    31  262144 51250  11.3  11.1  11.1  13.9  12.7  12.8
13     0    31  524288 51250  10.8  10.9  10.8  12.5  11.6  13.0
14     0    71   16384 51250 101.   91.0  86.2  NA    NA    NA  
15     0    71   32768 51250 101.   91.0  87.5  95.2  NA    88.0
16     0    71   65536 51250  95.6  89.7  88.1  93.5  NA    86.5
17     0    71  131072 51250  90.4  88.8  88.0  90.3  NA    85.6
18     0    71  262144 51250  87.9  88.4  87.9  90.5  NA    87.2
19     0    71  524288 51250  87.3  88.0  88.0  89.7  NA    88.0
