# A tibble: 20 × 14
# Groups:   k, totbits, bin [18]
     bin     k totbits     n     BD1     BD2     BD4 Dash1  FSS1   SS1     BD8  FSS8  Mash   SS8
   <dbl> <int>   <dbl> <int>   <dbl>   <dbl>   <dbl> <dbl> <dbl> <dbl>   <dbl> <dbl> <dbl> <dbl>
 1     0    21   16384 49580    25.3    32.7    67.6  26.8  24.4  21.2    NA    NA    NA    NA
 2     0    21   32768 49580    22.4    24.0    33.2  23.6  23.5  19.5    67.6  46.3  45.2  43.0
 3     0    21   65536 49580    20.1    20.8    23.7  20.6  19.8  17.9    32.6  28.9  31.6  28.7
 4     0    21  131072 49580    21.0    18.8    20.5  18.0  18.5  17.6    23.7  24.6  37.2  21.2
 5     0    21  262144 49579    18.8    19.3    19.1  18.2  18.1  16.5    20.8  23.5  29.4  19.6
 6     0    21  524288 49579    19.3    17.3    19.3  18.4  18.1  17.2    18.7  20.1  23.0  18.1
 7     0    31   16384 49580    15.3    19.0    33.1  23.7  16.9  14.5    NA    NA    NA    NA
 8     0    31   32768 49580    13.3    14.3    19.0  17.0  14.2  12.7    33.3  36.2  34.5  31.0
 9     0    31   65536 49580    13.0    12.3    14.5  15.1  12.6  13.1    19.5  20.9  22.0  18.0
10     0    31  131072 49580    11.7    11.8    11.8  11.7  11.0  11.7    14.4  16.6  15.8  14.4
11     0    31  262144 49580    11.7    11.2    11.8  11.3  11.1  11.1    11.8  13.9  12.7  12.7
12     0    31  524288 49580    11.6    10.4    11.2  10.8  10.9  10.8    12.0  12.5  11.6  13.0
13     0    71   16384 49580 11562.  11495.  11538.  100.   91.0  86.2    NA    NA    NA    NA
14     0    71   32768 49580 11543.  11507.  11495.  101.   91.0  87.5 11538.   95.2 133.   88.0
15     0    71   65536 49580 11476.  11489.  11508.   95.5  89.7  88.1 11495.   93.5 133.   86.5
16     0    71  131072 49580 11490.  11419.  11490.   90.4  88.8  88.0 11508.   90.3 133.   85.5
17     0    71  262144 49580 11483.  11432.  11418.   87.9  88.4  87.9 11490.   90.5 133.   87.2
18     0    71  524288 49580 11492.  11426.  11432.   87.3  88.0  88.0 11419.   89.7 133.   88.0
